cell_line,depmap_id,dmso_6h_normal,dmso_24h_normal,trametinib_24h_normal,dmso_pooled_normal,primary_strict_eligible,reproduction_pooled_eligible
22RV1_PROSTATE,ACH-000956,101,43,69,144,True,True
42MGBA_CENTRAL_NERVOUS_SYSTEM,ACH-000323,112,77,167,189,True,True
769P_KIDNEY,ACH-000411,140,110,197,250,True,True
786O_KIDNEY,ACH-000649,135,108,254,243,True,True
8505C_THYROID,ACH-001307,104,91,116,195,True,True
A2780_OVARY,ACH-000657,118,182,206,300,True,True
A375_SKIN,ACH-000219,75,102,135,177,True,True
ACCMESO1_PLEURA,ACH-000086,129,97,183,226,True,True
AGS_STOMACH,ACH-000880,118,101,125,219,True,True
BEN_LUNG,ACH-000603,86,74,163,160,True,True
CAL120_BREAST,ACH-000212,87,67,139,154,True,True
CAL62_THYROID,ACH-000174,186,204,304,390,True,True
CAOV3_OVARY,ACH-000713,68,35,87,103,True,True
CJM_SKIN,ACH-000458,67,25,54,92,True,True
COLO668_LUNG,ACH-000803,53,25,47,78,True,True
COLO680N_OESOPHAGUS,ACH-000717,82,57,119,139,True,True
COV434_OVARY,ACH-000123,69,49,90,118,True,True
DMS273_LUNG,ACH-000749,147,124,221,271,True,True
EFM192A_BREAST,ACH-000117,73,34,53,107,True,True
G401_SOFT_TISSUE,ACH-000096,92,78,141,170,True,True
GCIY_STOMACH,ACH-000047,124,106,179,230,True,True
GP2D_LARGE_INTESTINE,ACH-000982,111,105,131,216,True,True
HCC1143_BREAST,ACH-000374,91,61,102,152,True,True
HCC1195_LUNG,ACH-000868,45,26,48,71,True,True
HCC1419_BREAST,ACH-000277,86,41,55,127,True,True
HEC1B_ENDOMETRIUM,ACH-000941,86,49,136,135,True,True
HEP3B217_LIVER,ACH-000625,35,23,22,58,True,True
HS766T_PANCREAS,ACH-000178,72,27,31,99,True,True
HS852T_SKIN,ACH-000274,57,32,44,89,True,True
HUCCT1_BILIARY_TRACT,ACH-000976,55,40,96,95,True,True
IGR1_SKIN,ACH-000882,128,106,162,234,True,True
IGROV1_OVARY,ACH-000966,130,140,237,270,True,True
ISTMES1_PLEURA,ACH-000569,64,39,94,103,True,True
J82_URINARY_TRACT,ACH-000396,155,98,228,253,True,True
JHH5_LIVER,ACH-000734,94,45,59,139,True,True
JHOM1_OVARY,ACH-000237,31,11,26,42,False,True
KNS42_CENTRAL_NERVOUS_SYSTEM,ACH-000622,89,58,122,147,True,True
KNS60_CENTRAL_NERVOUS_SYSTEM,ACH-000445,48,37,87,85,True,True
KNS81_CENTRAL_NERVOUS_SYSTEM,ACH-000479,53,54,95,107,True,True
KYSE270_OESOPHAGUS,ACH-000873,111,75,124,186,True,True
LI7_LIVER,ACH-000471,48,42,49,90,True,True
LK2_LUNG,ACH-000769,105,57,94,162,True,True
LMSU_STOMACH,ACH-000255,102,100,186,202,True,True
LN229_CENTRAL_NERVOUS_SYSTEM,ACH-000595,83,82,124,165,True,True
LNCAPCLONEFGC_PROSTATE,ACH-000977,104,51,125,155,True,True
LOVO_LARGE_INTESTINE,ACH-000950,113,79,98,192,True,True
LUDLU1_LUNG,ACH-000390,61,26,72,87,True,True
MALME3M_SKIN,ACH-000477,83,40,48,123,True,True
MDAMB435S_SKIN,ACH-000884,80,68,143,148,True,True
MDAMB468_BREAST,ACH-000849,78,74,114,152,True,True
MIAPACA2_PANCREAS,ACH-000601,99,112,165,211,True,True
MSTO211H_PLEURA,ACH-000335,80,64,121,144,True,True
NCIH1048_LUNG,ACH-000866,99,57,80,156,True,True
NCIH1299_LUNG,ACH-000510,161,119,234,280,True,True
NCIH1355_LUNG,ACH-000666,103,64,100,167,True,True
NCIH1573_LUNG,ACH-000916,48,29,58,77,True,True
NCIH1581_LUNG,ACH-000015,166,114,184,280,True,True
NCIH1650_LUNG,ACH-000035,48,36,66,84,True,True
NCIH1693_LUNG,ACH-000021,129,80,154,209,True,True
NCIH1793_LUNG,ACH-000888,65,43,66,108,True,True
NCIH1915_LUNG,ACH-000434,93,60,89,153,True,True
NCIH2126_LUNG,ACH-000785,84,49,91,133,True,True
NCIH2347_LUNG,ACH-000875,38,24,35,62,True,True
NCIH23_LUNG,ACH-000900,103,70,113,173,True,True
NCIH2444_LUNG,ACH-000186,60,46,95,106,True,True
NCIH322_LUNG,ACH-000837,60,34,76,94,True,True
NCIH522_LUNG,ACH-000343,63,45,87,108,True,True
NCIH838_LUNG,ACH-000416,191,117,273,308,True,True
NCIH841_LUNG,ACH-000292,125,101,186,226,True,True
NUGC3_STOMACH,ACH-000911,96,58,105,154,True,True
OAW42_OVARY,ACH-000704,158,148,253,306,True,True
OSRC2_KIDNEY,ACH-000159,74,35,99,109,True,True
PANC0403_PANCREAS,ACH-000235,76,37,64,113,True,True
PATU8988S_PANCREAS,ACH-000022,68,57,76,125,True,True
PC3_PROSTATE,ACH-000090,99,67,113,166,True,True
QGP1_PANCREAS,ACH-000347,31,26,33,57,True,True
RCC10RGB_KIDNEY,ACH-000189,74,53,112,127,True,True
RH30_SOFT_TISSUE,ACH-000833,112,60,123,172,True,True
SKMEL24_SKIN,ACH-000822,79,64,92,143,True,True
SKUT1_SOFT_TISSUE,ACH-000939,83,68,137,151,True,True
SNB75_CENTRAL_NERVOUS_SYSTEM,ACH-000504,71,60,90,131,True,True
SNU1041_UPPER_AERODIGESTIVE_TRACT,ACH-000618,77,52,80,129,True,True
SNU1105_CENTRAL_NERVOUS_SYSTEM,ACH-000368,48,37,67,85,True,True
SNU1214_UPPER_AERODIGESTIVE_TRACT,ACH-000715,46,21,35,67,True,True
SNU245_BILIARY_TRACT,ACH-000268,55,38,64,93,True,True
SNU410_PANCREAS,ACH-000517,35,18,40,53,False,True
SNU61_LARGE_INTESTINE,ACH-000532,32,18,31,50,False,True
SNU685_ENDOMETRIUM,ACH-000407,58,42,93,100,True,True
SW480_LARGE_INTESTINE,ACH-000842,59,23,42,82,True,True
SW48_LARGE_INTESTINE,ACH-000958,61,25,46,86,True,True
SW579_THYROID,ACH-000163,49,36,46,85,True,True
SW900_LUNG,ACH-000669,61,37,69,98,True,True
TE11_OESOPHAGUS,ACH-000488,102,84,139,186,True,True
TE6_OESOPHAGUS,ACH-000605,62,35,57,97,True,True
TEN_ENDOMETRIUM,ACH-000397,69,35,70,104,True,True
TUHR4TKB_KIDNEY,ACH-000495,65,35,88,100,True,True
UACC257_SKIN,ACH-000579,119,67,119,186,True,True
