cell_line,depmap_id,author_ccle_id,lineage,lineage_subtype,trametinib_auc,trametinib_sensitivity,prism_auc,gdsc_auc,braf_mut,kras_mut,hras_mut,nras_mut,annotation_source,sensitivity_use
22RV1_PROSTATE,ACH-000956,22RV1_PROSTATE,prostate,,0.9920530024560072,0.007946997543992751,1.24218265366475,0.925561,True,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input
42MGBA_CENTRAL_NERVOUS_SYSTEM,ACH-000323,42MGBA_CENTRAL_NERVOUS_SYSTEM,central_nervous_system,glioma,0.8224133531717482,0.17758664682825176,0.780042008409087,0.862649,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input
769P_KIDNEY,ACH-000411,769P_KIDNEY,kidney,,0.7263326203733353,0.27366737962666465,0.841792780927865,0.493203,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input
786O_KIDNEY,ACH-000649,786O_KIDNEY,kidney,,0.9650475479192104,0.034952452080789564,1.42993681354175,0.733308,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input
8505C_THYROID,ACH-001307,8505C_THYROID,thyroid,,0.5029299892855361,0.4970700107144639,0.596159424194532,0.403125,True,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input
A2780_OVARY,ACH-000657,A2780_OVARY,ovary,ovary_adenocarcinoma,0.4958855637374039,0.5041144362625961,0.544069317622124,0.499448,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input
A375_SKIN,ACH-000219,A375_SKIN,skin,melanoma,0.277066262940654,0.722933737059346,0.496151754348511,0.032979,True,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input
ACCMESO1_PLEURA,ACH-000086,ACCMESO1_PLEURA,mesothelioma,,0.8959091436980202,0.10409085630197978,0.844888613664355,,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input
AGS_STOMACH,ACH-000880,AGS_STOMACH,gastric,gastric_adenocarcinoma,0.2829364858994315,0.7170635141005686,0.457672571823393,,False,True,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input
BEN_LUNG,ACH-000603,BEN_LUNG,lung,lung_NSC,1.0784506400612672,-0.07845064006126723,1.28064202357905,0.984424,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input
CAL120_BREAST,ACH-000212,CAL120_BREAST,breast,TNBC,0.8452282039322672,0.15477179606773284,1.04812123509912,0.67427,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input
CAL62_THYROID,ACH-000174,CAL62_THYROID,thyroid,,0.5790433573278708,0.4209566426721292,0.713479691082356,0.304272,False,True,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input
