outer_fold,cell_line,depmap_id,lineage,inner_fold
0,22RV1_PROSTATE,ACH-000956,prostate,0
0,42MGBA_CENTRAL_NERVOUS_SYSTEM,ACH-000323,central_nervous_system,3
0,769P_KIDNEY,ACH-000411,kidney,0
0,786O_KIDNEY,ACH-000649,kidney,2
0,A375_SKIN,ACH-000219,skin,0
0,ACCMESO1_PLEURA,ACH-000086,mesothelioma,2
0,CAL120_BREAST,ACH-000212,breast,3
0,CAL62_THYROID,ACH-000174,thyroid,0
0,CAOV3_OVARY,ACH-000713,ovary,0
0,CJM_SKIN,ACH-000458,skin,1
0,COLO668_LUNG,ACH-000803,lung,0
0,COLO680N_OESOPHAGUS,ACH-000717,esophagus,1
0,COV434_OVARY,ACH-000123,ovary,2
0,EFM192A_BREAST,ACH-000117,breast,1
0,G401_SOFT_TISSUE,ACH-000096,rhabdoid,3
0,GCIY_STOMACH,ACH-000047,gastric,3
0,GP2D_LARGE_INTESTINE,ACH-000982,colorectal,2
0,HCC1143_BREAST,ACH-000374,breast,0
0,HCC1419_BREAST,ACH-000277,breast,2
0,HEC1B_ENDOMETRIUM,ACH-000941,uterus,3
0,HEP3B217_LIVER,ACH-000625,liver,3
0,HS766T_PANCREAS,ACH-000178,pancreas,3
0,HS852T_SKIN,ACH-000274,skin,3
0,HUCCT1_BILIARY_TRACT,ACH-000976,bile_duct,3
0,IGR1_SKIN,ACH-000882,skin,0
0,IGROV1_OVARY,ACH-000966,ovary,3
0,JHH5_LIVER,ACH-000734,liver,0
0,KNS42_CENTRAL_NERVOUS_SYSTEM,ACH-000622,central_nervous_system,2
0,KNS60_CENTRAL_NERVOUS_SYSTEM,ACH-000445,central_nervous_system,1
0,KYSE270_OESOPHAGUS,ACH-000873,esophagus,0
0,LI7_LIVER,ACH-000471,liver,2
0,LK2_LUNG,ACH-000769,lung,1
0,LMSU_STOMACH,ACH-000255,gastric,1
0,LN229_CENTRAL_NERVOUS_SYSTEM,ACH-000595,central_nervous_system,3
0,LNCAPCLONEFGC_PROSTATE,ACH-000977,prostate,1
0,LUDLU1_LUNG,ACH-000390,lung,3
0,MDAMB435S_SKIN,ACH-000884,skin,2
0,MSTO211H_PLEURA,ACH-000335,mesothelioma,1
0,NCIH1048_LUNG,ACH-000866,lung,2
0,NCIH1299_LUNG,ACH-000510,lung,0
0,NCIH1355_LUNG,ACH-000666,lung,3
0,NCIH1573_LUNG,ACH-000916,lung,0
0,NCIH1581_LUNG,ACH-000015,lung,3
0,NCIH1650_LUNG,ACH-000035,lung,2
0,NCIH1693_LUNG,ACH-000021,lung,1
0,NCIH1793_LUNG,ACH-000888,lung,0
0,NCIH1915_LUNG,ACH-000434,lung,3
0,NCIH2126_LUNG,ACH-000785,lung,3
0,NCIH2444_LUNG,ACH-000186,lung,2
0,NCIH322_LUNG,ACH-000837,lung,2
0,NCIH522_LUNG,ACH-000343,lung,2
0,NCIH838_LUNG,ACH-000416,lung,1
0,NCIH841_LUNG,ACH-000292,lung,0
0,NUGC3_STOMACH,ACH-000911,gastric,2
0,OAW42_OVARY,ACH-000704,ovary,1
0,OSRC2_KIDNEY,ACH-000159,kidney,3
0,PANC0403_PANCREAS,ACH-000235,pancreas,2
0,PATU8988S_PANCREAS,ACH-000022,pancreas,0
0,PC3_PROSTATE,ACH-000090,prostate,2
0,QGP1_PANCREAS,ACH-000347,pancreas,1
0,RH30_SOFT_TISSUE,ACH-000833,rhabdomyosarcoma,2
0,SKMEL24_SKIN,ACH-000822,skin,1
0,SKUT1_SOFT_TISSUE,ACH-000939,soft_tissue,0
0,SNB75_CENTRAL_NERVOUS_SYSTEM,ACH-000504,central_nervous_system,1
0,SNU1041_UPPER_AERODIGESTIVE_TRACT,ACH-000618,upper_aerodigestive,1
0,SNU1105_CENTRAL_NERVOUS_SYSTEM,ACH-000368,central_nervous_system,0
0,SNU1214_UPPER_AERODIGESTIVE_TRACT,ACH-000715,upper_aerodigestive,0
0,SNU245_BILIARY_TRACT,ACH-000268,bile_duct,1
0,SW480_LARGE_INTESTINE,ACH-000842,colorectal,0
0,SW48_LARGE_INTESTINE,ACH-000958,colorectal,3
0,SW579_THYROID,ACH-000163,thyroid,3
0,SW900_LUNG,ACH-000669,lung,1
0,TE11_OESOPHAGUS,ACH-000488,esophagus,2
0,TEN_ENDOMETRIUM,ACH-000397,uterus,2
0,TUHR4TKB_KIDNEY,ACH-000495,kidney,1
1,42MGBA_CENTRAL_NERVOUS_SYSTEM,ACH-000323,central_nervous_system,1
1,769P_KIDNEY,ACH-000411,kidney,2
1,786O_KIDNEY,ACH-000649,kidney,0
1,8505C_THYROID,ACH-001307,thyroid,1
1,A2780_OVARY,ACH-000657,ovary,0
1,ACCMESO1_PLEURA,ACH-000086,mesothelioma,2
1,AGS_STOMACH,ACH-000880,gastric,1
1,BEN_LUNG,ACH-000603,lung,1
1,CAL62_THYROID,ACH-000174,thyroid,2
1,CAOV3_OVARY,ACH-000713,ovary,1
1,CJM_SKIN,ACH-000458,skin,3
1,COLO680N_OESOPHAGUS,ACH-000717,esophagus,0
1,DMS273_LUNG,ACH-000749,lung,1
1,EFM192A_BREAST,ACH-000117,breast,0
1,G401_SOFT_TISSUE,ACH-000096,rhabdoid,1
1,HCC1143_BREAST,ACH-000374,breast,2
1,HCC1195_LUNG,ACH-000868,lung,1
1,HCC1419_BREAST,ACH-000277,breast,3
1,HEC1B_ENDOMETRIUM,ACH-000941,uterus,2
1,HEP3B217_LIVER,ACH-000625,liver,3
1,HS766T_PANCREAS,ACH-000178,pancreas,1
1,HS852T_SKIN,ACH-000274,skin,2
1,HUCCT1_BILIARY_TRACT,ACH-000976,bile_duct,3
1,IGR1_SKIN,ACH-000882,skin,1
1,IGROV1_OVARY,ACH-000966,ovary,2
1,ISTMES1_PLEURA,ACH-000569,mesothelioma,3
1,J82_URINARY_TRACT,ACH-000396,urinary_tract,1
1,JHH5_LIVER,ACH-000734,liver,2
1,KNS42_CENTRAL_NERVOUS_SYSTEM,ACH-000622,central_nervous_system,2
1,KNS60_CENTRAL_NERVOUS_SYSTEM,ACH-000445,central_nervous_system,0
1,KNS81_CENTRAL_NERVOUS_SYSTEM,ACH-000479,central_nervous_system,2
1,KYSE270_OESOPHAGUS,ACH-000873,esophagus,3
1,LK2_LUNG,ACH-000769,lung,3
1,LMSU_STOMACH,ACH-000255,gastric,0
1,LNCAPCLONEFGC_PROSTATE,ACH-000977,prostate,0
1,LOVO_LARGE_INTESTINE,ACH-000950,colorectal,0
1,LUDLU1_LUNG,ACH-000390,lung,3
1,MALME3M_SKIN,ACH-000477,skin,0
1,MDAMB468_BREAST,ACH-000849,breast,1
1,MIAPACA2_PANCREAS,ACH-000601,pancreas,2
1,MSTO211H_PLEURA,ACH-000335,mesothelioma,0
1,NCIH1048_LUNG,ACH-000866,lung,2
1,NCIH1299_LUNG,ACH-000510,lung,1
1,NCIH1573_LUNG,ACH-000916,lung,3
1,NCIH1581_LUNG,ACH-000015,lung,2
1,NCIH1650_LUNG,ACH-000035,lung,0
1,NCIH1693_LUNG,ACH-000021,lung,2
1,NCIH1793_LUNG,ACH-000888,lung,3
1,NCIH1915_LUNG,ACH-000434,lung,2
1,NCIH2347_LUNG,ACH-000875,lung,3
1,NCIH23_LUNG,ACH-000900,lung,1
1,NCIH2444_LUNG,ACH-000186,lung,0
1,NCIH322_LUNG,ACH-000837,lung,2
1,NCIH838_LUNG,ACH-000416,lung,0
1,NUGC3_STOMACH,ACH-000911,gastric,2
1,OAW42_OVARY,ACH-000704,ovary,3
1,OSRC2_KIDNEY,ACH-000159,kidney,1
1,PATU8988S_PANCREAS,ACH-000022,pancreas,0
1,PC3_PROSTATE,ACH-000090,prostate,1
1,QGP1_PANCREAS,ACH-000347,pancreas,3
1,RCC10RGB_KIDNEY,ACH-000189,kidney,3
1,RH30_SOFT_TISSUE,ACH-000833,rhabdomyosarcoma,3
1,SKMEL24_SKIN,ACH-000822,skin,3
1,SNB75_CENTRAL_NERVOUS_SYSTEM,ACH-000504,central_nervous_system,0
1,SNU1041_UPPER_AERODIGESTIVE_TRACT,ACH-000618,upper_aerodigestive,0
1,SNU1105_CENTRAL_NERVOUS_SYSTEM,ACH-000368,central_nervous_system,3
1,SNU245_BILIARY_TRACT,ACH-000268,bile_duct,0
1,SNU685_ENDOMETRIUM,ACH-000407,uterus,3
1,SW480_LARGE_INTESTINE,ACH-000842,colorectal,3
1,SW48_LARGE_INTESTINE,ACH-000958,colorectal,1
1,SW579_THYROID,ACH-000163,thyroid,0
1,SW900_LUNG,ACH-000669,lung,0
1,TE11_OESOPHAGUS,ACH-000488,esophagus,1
1,TE6_OESOPHAGUS,ACH-000605,esophagus,2
1,UACC257_SKIN,ACH-000579,skin,1
2,22RV1_PROSTATE,ACH-000956,prostate,2
2,769P_KIDNEY,ACH-000411,kidney,2
2,8505C_THYROID,ACH-001307,thyroid,0
2,A2780_OVARY,ACH-000657,ovary,0
2,A375_SKIN,ACH-000219,skin,2
2,ACCMESO1_PLEURA,ACH-000086,mesothelioma,1
2,AGS_STOMACH,ACH-000880,gastric,1
2,BEN_LUNG,ACH-000603,lung,3
2,CAL120_BREAST,ACH-000212,breast,3
2,CAL62_THYROID,ACH-000174,thyroid,3
2,CJM_SKIN,ACH-000458,skin,3
2,COLO668_LUNG,ACH-000803,lung,2
2,COV434_OVARY,ACH-000123,ovary,3
2,DMS273_LUNG,ACH-000749,lung,1
2,EFM192A_BREAST,ACH-000117,breast,2
2,GCIY_STOMACH,ACH-000047,gastric,2
2,GP2D_LARGE_INTESTINE,ACH-000982,colorectal,0
2,HCC1195_LUNG,ACH-000868,lung,2
2,HCC1419_BREAST,ACH-000277,breast,1
2,HEC1B_ENDOMETRIUM,ACH-000941,uterus,1
2,HEP3B217_LIVER,ACH-000625,liver,0
2,HS852T_SKIN,ACH-000274,skin,0
2,HUCCT1_BILIARY_TRACT,ACH-000976,bile_duct,2
2,IGROV1_OVARY,ACH-000966,ovary,1
2,ISTMES1_PLEURA,ACH-000569,mesothelioma,0
2,J82_URINARY_TRACT,ACH-000396,urinary_tract,2
2,JHH5_LIVER,ACH-000734,liver,2
2,KNS42_CENTRAL_NERVOUS_SYSTEM,ACH-000622,central_nervous_system,0
2,KNS60_CENTRAL_NERVOUS_SYSTEM,ACH-000445,central_nervous_system,3
2,KNS81_CENTRAL_NERVOUS_SYSTEM,ACH-000479,central_nervous_system,2
2,KYSE270_OESOPHAGUS,ACH-000873,esophagus,2
2,LI7_LIVER,ACH-000471,liver,1
2,LK2_LUNG,ACH-000769,lung,0
2,LMSU_STOMACH,ACH-000255,gastric,0
2,LN229_CENTRAL_NERVOUS_SYSTEM,ACH-000595,central_nervous_system,1
2,LNCAPCLONEFGC_PROSTATE,ACH-000977,prostate,3
2,LOVO_LARGE_INTESTINE,ACH-000950,colorectal,2
2,MALME3M_SKIN,ACH-000477,skin,1
2,MDAMB435S_SKIN,ACH-000884,skin,1
2,MDAMB468_BREAST,ACH-000849,breast,0
2,MIAPACA2_PANCREAS,ACH-000601,pancreas,2
2,NCIH1048_LUNG,ACH-000866,lung,1
2,NCIH1299_LUNG,ACH-000510,lung,1
2,NCIH1355_LUNG,ACH-000666,lung,2
2,NCIH1573_LUNG,ACH-000916,lung,2
2,NCIH1650_LUNG,ACH-000035,lung,0
2,NCIH1693_LUNG,ACH-000021,lung,3
2,NCIH2126_LUNG,ACH-000785,lung,1
2,NCIH2347_LUNG,ACH-000875,lung,3
2,NCIH23_LUNG,ACH-000900,lung,3
2,NCIH322_LUNG,ACH-000837,lung,0
2,NCIH522_LUNG,ACH-000343,lung,0
2,NCIH838_LUNG,ACH-000416,lung,2
2,NCIH841_LUNG,ACH-000292,lung,0
2,NUGC3_STOMACH,ACH-000911,gastric,3
2,OAW42_OVARY,ACH-000704,ovary,2
2,OSRC2_KIDNEY,ACH-000159,kidney,0
2,PANC0403_PANCREAS,ACH-000235,pancreas,0
2,PATU8988S_PANCREAS,ACH-000022,pancreas,1
2,QGP1_PANCREAS,ACH-000347,pancreas,3
2,RCC10RGB_KIDNEY,ACH-000189,kidney,1
2,RH30_SOFT_TISSUE,ACH-000833,rhabdomyosarcoma,1
2,SKMEL24_SKIN,ACH-000822,skin,3
2,SKUT1_SOFT_TISSUE,ACH-000939,soft_tissue,3
2,SNB75_CENTRAL_NERVOUS_SYSTEM,ACH-000504,central_nervous_system,3
2,SNU1214_UPPER_AERODIGESTIVE_TRACT,ACH-000715,upper_aerodigestive,1
2,SNU245_BILIARY_TRACT,ACH-000268,bile_duct,0
2,SNU685_ENDOMETRIUM,ACH-000407,uterus,2
2,SW480_LARGE_INTESTINE,ACH-000842,colorectal,3
2,SW900_LUNG,ACH-000669,lung,1
