section,analysis,model,metric,estimate,ci95_low,ci95_high,n
core_benchmark,outer_5fold,B1_MEAN_W5,rmse_delta,0.3237496241855342,0.3062497826572377,0.3428901485625492,94
core_benchmark,outer_5fold,B1_MEAN_W5,pcc_delta,0.4200861744784883,0.4016290492221316,0.4389982355878494,94
core_benchmark,outer_5fold,B1_MEAN_W5,pcc_context,,,,94
core_benchmark,outer_5fold,B1_MEAN_W5,rmse_gain_vs_b1,0.0,0.0,0.0,94
core_benchmark,outer_5fold,B4_DIRECT_RIDGE_W5,rmse_delta,0.3220347668040167,0.3049147289455143,0.3397044459868045,94
core_benchmark,outer_5fold,B4_DIRECT_RIDGE_W5,pcc_delta,0.4280005057446583,0.4086934978641514,0.4485463745972508,94
core_benchmark,outer_5fold,B4_DIRECT_RIDGE_W5,pcc_context,0.1076663459139125,0.0960647491295154,0.1187465599331244,94
core_benchmark,outer_5fold,B4_DIRECT_RIDGE_W5,rmse_gain_vs_b1,0.0017148573815175,0.0011792360478743,0.0022550016183607,94
core_benchmark,outer_5fold,CCLR_NESTED_W6,rmse_delta,0.3223830335247167,0.3059328563387072,0.3405915957953994,94
core_benchmark,outer_5fold,CCLR_NESTED_W6,pcc_delta,0.4255012860680672,0.4062153894307516,0.444294913554637,94
core_benchmark,outer_5fold,CCLR_NESTED_W6,pcc_context,0.0965208388221814,0.0844914506673195,0.1081565899494613,94
core_benchmark,outer_5fold,CCLR_NESTED_W6,rmse_gain_vs_b1,0.0013665906608175,0.0007968148957048,0.0019325251159808,94
temporal_external,time_3h,B1,rmse_delta,0.3727210045085293,0.3399165957065077,0.4060408536207008,17
temporal_external,time_3h,B1,rmse_gain_vs_b1,0.0,0.0,0.0,17
temporal_external,time_3h,B4_FIXED_D20_A100,rmse_delta,0.3800306628320394,0.3480262170889737,0.4109656937854009,17
temporal_external,time_3h,B4_FIXED_D20_A100,rmse_gain_vs_b1,-0.0073096583235101,-0.0100071746554508,-0.0048197709331363,17
temporal_external,time_6h,B1,rmse_delta,0.3941924489498352,0.3532453021488654,0.4387505708337321,17
temporal_external,time_6h,B1,rmse_gain_vs_b1,0.0,0.0,0.0,17
temporal_external,time_6h,B4_FIXED_D20_A100,rmse_delta,0.398904395356658,0.3605101695384302,0.4420559524570867,17
temporal_external,time_6h,B4_FIXED_D20_A100,rmse_gain_vs_b1,-0.0047119464068229,-0.0070766864444118,-0.0023987986204021,17
temporal_external,time_12h,B1,rmse_delta,0.3940391485433855,0.3594691088484613,0.428897775143287,17
temporal_external,time_12h,B1,rmse_gain_vs_b1,0.0,0.0,0.0,17
temporal_external,time_12h,B4_FIXED_D20_A100,rmse_delta,0.3952812339755121,0.3623784032703929,0.4272015193289333,17
temporal_external,time_12h,B4_FIXED_D20_A100,rmse_gain_vs_b1,-0.0012420854321266,-0.0030427496073495,0.0005148492133608,17
temporal_external,time_24h,B1,rmse_delta,0.3640628212672491,0.3345807349515677,0.3943453640182803,17
temporal_external,time_24h,B1,rmse_gain_vs_b1,0.0,0.0,0.0,17
temporal_external,time_24h,B4_FIXED_D20_A100,rmse_delta,0.3619884658305898,0.3337757729910217,0.390469809806868,17
temporal_external,time_24h,B4_FIXED_D20_A100,rmse_gain_vs_b1,0.0020743554366593,0.0003105268503838,0.0040357649004705,17
temporal_external,time_48h,B1,rmse_delta,0.3750384414523819,0.3408604165355227,0.4098654889890178,17
temporal_external,time_48h,B1,rmse_gain_vs_b1,0.0,0.0,0.0,17
temporal_external,time_48h,B4_FIXED_D20_A100,rmse_delta,0.3711990086986544,0.3390514843051815,0.4063210746027705,17
temporal_external,time_48h,B4_FIXED_D20_A100,rmse_gain_vs_b1,0.0038394327537276,0.0021764089070255,0.0054969914766614,17
robustness,cell_line_bootstrap,B4_FIXED,seed_20260827:rmse_gain_vs_b1,0.0017148573815175,0.001180322798135,0.0022464554389655,94
robustness,cell_line_bootstrap,B4_FIXED,seed_20260828:rmse_gain_vs_b1,0.0017148573815175,0.0011920824268654,0.0022504971321488,94
robustness,cell_line_bootstrap,B4_FIXED,seed_20260829:rmse_gain_vs_b1,0.0017148573815175,0.0011886173239939,0.0022520468531203,94
robustness,gene_filter,B4_FIXED,top_1000:rmse_gain_vs_b1,0.0012462593405402,0.0005738716420551,0.0019651266520501,94
robustness,gene_filter,B4_FIXED,top_3000:rmse_gain_vs_b1,0.0014741169875699,0.000809970281694,0.0021489263002358,94
robustness,gene_filter,B4_FIXED,top_5000:rmse_gain_vs_b1,0.0015170975211945,0.0008640764109163,0.0021425282322881,94
robustness,gene_filter,B4_FIXED,top_10000:rmse_gain_vs_b1,0.0016366241562274,0.0010608896649262,0.002250133749047,94
robustness,inclusion_threshold,B4_FIXED,min_cells_10:rmse_gain_vs_b1,0.0014695566451653,0.0008062545053683,0.0021737495185198,97
robustness,inclusion_threshold,B4_FIXED,min_cells_20:rmse_gain_vs_b1,0.0015170975211945,0.000839387389109,0.0022047545112668,94
robustness,inclusion_threshold,B4_FIXED,min_cells_30:rmse_gain_vs_b1,0.0018915213113181,0.0011832448627077,0.0026948881621457,82
robustness,extreme_sensitivity,B4_FIXED,drop_outer_10pct_each_tail:rmse_gain_vs_b1,0.0013136449847013,0.0008434044474796,0.00177957224799,74
robustness,leave_one_lineage_out,B4_FIXED,all_21_lineages:rmse_gain_vs_b1,0.000513830634788,-0.0001321237854984,0.0011777050584486,94
robustness,cell_subsampling,B4_FIXED,n20_repeat0:rmse_gain_vs_b1,-0.0016770448634848,-0.0022231024110245,-0.0011310324193097,94
robustness,cell_subsampling,B4_FIXED,n20_repeat1:rmse_gain_vs_b1,-0.001490038952458,-0.0020725869495446,-0.000883320950165,94
