model,rmse_delta_mean,rmse_delta_ci95_low,rmse_delta_ci95_high,nrmse_delta_mean,nrmse_delta_ci95_low,nrmse_delta_ci95_high,pcc_delta_mean,pcc_delta_ci95_low,pcc_delta_ci95_high,spearman_delta_mean,spearman_delta_ci95_low,spearman_delta_ci95_high,signed_top50_overlap_mean,signed_top50_overlap_ci95_low,signed_top50_overlap_ci95_high,pcc_context_mean,pcc_context_ci95_low,pcc_context_ci95_high,rmse_gain_vs_b1_mean,rmse_gain_vs_b1_ci95_low,rmse_gain_vs_b1_ci95_high,nrmse_gain_vs_b1_mean,nrmse_gain_vs_b1_ci95_low,nrmse_gain_vs_b1_ci95_high,rmse_gain_vs_b4_mean,rmse_gain_vs_b4_ci95_low,rmse_gain_vs_b4_ci95_high,rmse_gain_vs_cclr_mean,rmse_gain_vs_cclr_ci95_low,rmse_gain_vs_cclr_ci95_high
B1_MEAN_W5,0.32374962418553427,0.30624978265723773,0.3428901485625492,0.9079854352329624,0.8989731105536111,0.9171088508515959,0.4200861744784883,0.4016290492221316,0.43899823558784945,0.3327027969402943,0.31842737783106084,0.34667054125366226,0.1808510638297872,0.16457180851063832,0.19649202127659576,,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.0017148573815175762,-0.0022773959374444135,-0.001196480544218408,-0.0013665906608175617,-0.0019141053784117337,-0.0007869469009615903
B4_DIRECT_RIDGE_W5,0.32203476680401677,0.30491472894551436,0.3397044459868045,0.9030905722264105,0.8930698841981812,0.9130824935551753,0.4280005057446583,0.4086934978641514,0.4485463745972508,0.3356710603621854,0.3211339420095093,0.34951449597665213,0.19563829787234047,0.18031648936170214,0.21234042553191487,0.1076663459139125,0.09606474912951549,0.11874655993312447,0.0017148573815175545,0.00117923604787435,0.002255001618360788,0.004894863006552048,0.0033606235503021854,0.0064420433485547785,0.0,0.0,0.0,0.0003482667207000146,0.00010973243152011195,0.0005813031833531291
CCLR_NESTED_W6,0.3223830335247167,0.30593285633870726,0.3405915957953994,0.9042228745300002,0.894170935185001,0.9141859933544209,0.4255012860680672,0.40621538943075164,0.444294913554637,0.3346952570416103,0.3206235030592025,0.34959153311168634,0.1911702127659574,0.1759494680851064,0.2070239361702127,0.09652083882218142,0.08449145066731953,0.10815658994946137,0.001366590660817534,0.0007968148957048803,0.0019325251159808263,0.003762560702962431,0.0021898956411283248,0.005321932446784661,-0.0003482667207000146,-0.00058494809463122,-0.00010789210633317369,0.0,0.0,0.0
FIXED_FULL_D20_R20,0.32235014194535316,0.3053588065797576,0.34036323273960495,0.9042116582343306,0.8940063681161406,0.9147327703940086,0.42508022065300755,0.40652102680178454,0.44568073087629134,0.3340760118677713,0.319697505480399,0.34872777306207325,0.1913829787234043,0.17457446808510643,0.20765957446808514,0.09976336646651567,0.08756806169650054,0.11303613984272136,0.0013994822439277097,0.000801801686588495,0.0019868759118663805,0.0037737770088351317,0.002024216351052196,0.0055081525343708285,-0.00031537514133641963,-0.0006117764984568455,-4.373150479547994e-05,3.289157936359495e-05,-0.0001645716032973239,0.0002479710412484685
CONTROL_D05_R20,0.3224225015830441,0.3042726235489981,0.3403595720523977,0.9041813331417031,0.8947230739300162,0.9136431923833567,0.4259690380873424,0.4079158324467144,0.4453014165462937,0.33529738382799384,0.3201226107730397,0.34923836331857727,0.1868085106382979,0.17094946808510636,0.2025611702127659,0.0900106026475488,0.07709837031310568,0.10296408791358522,0.0013271226062368051,0.0009263345505955905,0.0017817749738426583,0.003804102101462919,0.0025095545021065657,0.005066445880966161,-0.00038773477902732413,-0.0006450665080259852,-0.00015470423276387694,-3.946805832730954e-05,-0.0003461192506357556,0.00027152949373228445
CONTROL_D10_R20,0.32231395595625434,0.30458995732254424,0.340105916030538,0.903977214021814,0.8936871961438494,0.9138990583073237,0.42587708102930794,0.4051622042664698,0.4438984105430573,0.3347156530085831,0.320611573733227,0.3492161039808417,0.19212765957446812,0.17627393617021278,0.20904521276595744,0.0986405518388686,0.08695451661211741,0.11070696369218905,0.0014356682330264943,0.0009023635504951603,0.0019840125562107687,0.004008221221351981,0.0025219469268204725,0.0055643975149226674,-0.00027918915223763504,-0.00042463628633656973,-0.00013982121859230172,6.907756846237955e-05,-0.00016377281355278185,0.0003089005261365396
CONTROL_D30_R20,0.3223644486408963,0.30526216863792727,0.33973993856129264,0.9043072519804674,0.8941924557093858,0.9144640768704355,0.4250121728914092,0.40558169876156486,0.44520008575928777,0.3339820651484396,0.31966316720995414,0.3486527222990585,0.1932978723404255,0.17659574468085107,0.20914893617021277,0.10039072923156316,0.08764174999593378,0.11200789754658996,0.001385175548384574,0.0007552714949103439,0.0019983249300596076,0.0036781832626986716,0.001781450384227273,0.005568796544278791,-0.00032968183687955515,-0.0006512645044906984,-8.388461261453273e-06,1.8584883820459466e-05,-0.00022346218978426343,0.00024268573611042514
RANK_D20_R02,0.32282935749272784,0.306653409796336,0.3413233150899244,0.9053568699514086,0.8957799635312309,0.9150158016172231,0.4220399592023227,0.40293086478047785,0.4417868097180861,0.33321239924930574,0.31968816339265305,0.34786073849540733,0.1842553191489362,0.16818882978723407,0.20010904255319145,0.07181015574414283,0.05142286627216957,0.091790365382195,0.0009202666965530812,0.000474880763194618,0.001364050305887485,0.0026285652917572046,0.0013658764730982169,0.0039150987826676335,-0.0007945906887110481,-0.0011397663230171232,-0.0004508345823848385,-0.00044632396801103357,-0.0007731773644135968,-0.00013304652775745712
RANK_D20_R05,0.32263473581138324,0.3055404179880664,0.34098528536273803,0.9048215161647172,0.8950423987679113,0.9152661462145384,0.4225335972651501,0.4042708213169168,0.4419020515296502,0.33329562620693526,0.31950305089137027,0.3467349048505269,0.18617021276595744,0.1702074468085106,0.20148936170212764,0.08129233104107764,0.06467417845635041,0.09709356355655192,0.0011148883778976755,0.0005910505257468809,0.0016310866991720977,0.0031639190784486125,0.0016603933220596114,0.004643407794222206,-0.0005999690073664539,-0.0009851806249379321,-0.00023113170342288904,-0.0002517022866664393,-0.0005722222265725173,9.246943220349035e-05
RANK_D20_R10,0.322531551953071,0.30562256377414176,0.3402336241641852,0.904567943087611,0.8949099781772808,0.9140081215476636,0.42357056718720293,0.40396278416611775,0.44328008972579264,0.33378305335439407,0.3204046976419046,0.3483982306666415,0.1882978723404256,0.17307978723404255,0.20404521276595747,0.08937091475895752,0.07597254911825688,0.10353560820435549,0.0012180722362098962,0.0007048464692307104,0.0017362377110036013,0.0034174921555547282,0.0018893017981058658,0.005067625883944017,-0.0004967851490542331,-0.0008101501124309798,-0.00017987537722857143,-0.00014851842835421849,-0.0004036755914503073,0.00010897979767206005
