cell_line,depmap_id,lineage,outer_fold,model,b2_fallback,b3_neighbor_cell_line,rmse_delta,nrmse_delta,pcc_delta,spearman_delta,signed_top50_overlap,pcc_context,rmse_gain_vs_b1,nrmse_gain_vs_b1,rmse_gain_vs_b4,nrmse_gain_vs_b4,rmse_gain_vs_cclr,outer_test_response_used_for_fit,report_order
22RV1_PROSTATE,ACH-000956,prostate,1,B1_MEAN_W5,False,,0.4145789406483807,0.965980148187969,0.2602854699118827,0.2341616199719117,0.05,,0.0,0.0,-0.001298046519249585,,-0.0014331514937107048,False,0
42MGBA_CENTRAL_NERVOUS_SYSTEM,ACH-000323,central_nervous_system,2,B1_MEAN_W5,False,,0.2139863223472762,0.8939403069081465,0.4816378635359932,0.3636395885878055,0.3,,0.0,0.0,-0.0019299392662188997,,-0.0018860738107593922,False,0
769P_KIDNEY,ACH-000411,kidney,3,B1_MEAN_W5,False,,0.2610065476149723,0.8919804709481189,0.4596861138909444,0.3322400559456493,0.36,,0.0,0.0,-0.0010730903606473996,,-0.00017861452676209977,False,0
786O_KIDNEY,ACH-000649,kidney,2,B1_MEAN_W5,False,,0.1932254810590707,0.9073329960687488,0.500984997572716,0.3708288202334598,0.35,,0.0,0.0,-0.005357096809018191,,-0.004829624715922687,False,0
8505C_THYROID,ACH-001307,thyroid,0,B1_MEAN_W5,False,,0.2874638794684673,0.8553022999549201,0.5146566721700961,0.4171050817671557,0.22,,0.0,0.0,-0.0025691743371397124,,-0.0018215997923023974,False,0
A2780_OVARY,ACH-000657,ovary,0,B1_MEAN_W5,False,,0.2732165350956175,0.8597529148063868,0.5073839858286764,0.4068573150773094,0.1699999999999999,,0.0,0.0,-0.0007190861766629975,,0.0009421274855684891,False,0
A375_SKIN,ACH-000219,skin,1,B1_MEAN_W5,False,,0.3921292507263841,0.827068563239286,0.622674375555083,0.4839402186531862,0.18,,0.0,0.0,-0.009000226937885714,,-0.008019094623962497,False,0
ACCMESO1_PLEURA,ACH-000086,mesothelioma,3,B1_MEAN_W5,False,,0.1922162736246278,0.8804956183207762,0.5122511137524574,0.3814871682910072,0.38,,0.0,0.0,-0.002350240749960486,,-0.0023669231667253765,False,0
AGS_STOMACH,ACH-000880,gastric,0,B1_MEAN_W5,False,,0.2839293639490524,0.8793951520861574,0.4716052444329574,0.3674491525875456,0.2,,0.0,0.0,-0.0006776936601716743,,-0.0003741920326956749,False,0
BEN_LUNG,ACH-000603,lung,0,B1_MEAN_W5,False,,0.2707240469956049,0.9967800805590544,0.27814248701452,0.2049877004100215,0.19,,0.0,0.0,0.0049025656889223335,,0.007481484754036705,False,0
CAL120_BREAST,ACH-000212,breast,1,B1_MEAN_W5,False,,0.2223777649860951,0.8944787906524142,0.46898490897623,0.3680277322139967,0.26,,0.0,0.0,-0.0025233638166966,,-4.3574948273811254e-05,False,0
CAL62_THYROID,ACH-000174,thyroid,3,B1_MEAN_W5,False,,0.2413345660255218,0.7845610071711038,0.636507894506891,0.4909167174659541,0.26,,0.0,0.0,-0.0015208333444768074,,-0.0007683545091388133,False,0
CAOV3_OVARY,ACH-000713,ovary,2,B1_MEAN_W5,False,,0.2942756974333648,0.898486113568903,0.4432175143403543,0.3496573072980076,0.23,,0.0,0.0,0.0006789652737770879,,0.0011703595577912118,False,0
CJM_SKIN,ACH-000458,skin,3,B1_MEAN_W5,False,,0.4384184229501841,0.9038273594089804,0.4263115608117719,0.3481960266135786,0.13,,0.0,0.0,-0.003393991503917282,,-0.0032363415973774567,False,0
COLO668_LUNG,ACH-000803,lung,1,B1_MEAN_W5,False,,0.4211966240576792,0.9713776287662133,0.2397688963762908,0.2122046853872579,0.12,,0.0,0.0,-0.0007373135232451311,,0.0009636991951147977,False,0
COLO680N_OESOPHAGUS,ACH-000717,esophagus,2,B1_MEAN_W5,False,,0.2744140087810622,0.8832538802367342,0.4784980761445584,0.3658441301423643,0.23,,0.0,0.0,-0.0005192665250359219,,0.00037196172320208554,False,0
COV434_OVARY,ACH-000123,ovary,1,B1_MEAN_W5,False,,0.3466689838485079,0.9792407350157196,0.2506629837448331,0.2159221034949832,0.08,,0.0,0.0,-0.0038121181227794287,,-0.0026337218084077074,False,0
DMS273_LUNG,ACH-000749,lung,0,B1_MEAN_W5,False,,0.2159228625454909,0.9508759969888808,0.3911919704739879,0.3081442331030939,0.28,,0.0,0.0,-0.005506940757293993,,-0.006738839805233404,False,0
EFM192A_BREAST,ACH-000117,breast,4,B1_MEAN_W5,False,,0.3760794096889303,0.952451553119782,0.3011906981025242,0.2541307293947564,0.11,,0.0,0.0,0.0007680644371510503,,5.539823023020807e-05,False,0
G401_SOFT_TISSUE,ACH-000096,rhabdoid,2,B1_MEAN_W5,False,,0.2914336281273836,0.914132533750478,0.4000376366210209,0.3574707652148932,0.11,,0.0,0.0,-0.0015092290543451958,,-0.0004697698002307793,False,0
GCIY_STOMACH,ACH-000047,gastric,1,B1_MEAN_W5,False,,0.2110173024773641,0.8472150039783788,0.5362146140340828,0.4224704273536441,0.27,,0.0,0.0,-0.001972639472618415,,-0.001205690633982709,False,0
GP2D_LARGE_INTESTINE,ACH-000982,colorectal,1,B1_MEAN_W5,False,,0.2620914362845322,0.9185664463856956,0.4080936368388609,0.3389256822141659,0.16,,0.0,0.0,0.0009868697142725869,,-0.00014807686165979606,False,0
HCC1143_BREAST,ACH-000374,breast,2,B1_MEAN_W5,False,,0.3004807173786026,0.9181042445662948,0.4208695056735776,0.3236521292988962,0.23,,0.0,0.0,0.0005504031534864784,,0.0008022766193364061,False,0
HCC1195_LUNG,ACH-000868,lung,0,B1_MEAN_W5,False,,0.3434771239467876,0.9009077008996582,0.4422815002451419,0.3454954365993317,0.18,,0.0,0.0,0.00014655890647780057,,-0.00032654818008348574,False,0
HCC1419_BREAST,ACH-000277,breast,3,B1_MEAN_W5,False,,0.4164359916397935,0.9475669184266786,0.2988995157264842,0.2403862092165172,0.05,,0.0,0.0,-0.00028914053965078956,,-0.0005432486353246224,False,0
HEC1B_ENDOMETRIUM,ACH-000941,uterus,4,B1_MEAN_W5,False,,0.2625146560815929,0.910829066604134,0.4305722574616079,0.3343834951723657,0.18,,0.0,0.0,-0.002549937590296425,,-0.0012882393909141032,False,0
HEP3B217_LIVER,ACH-000625,liver,3,B1_MEAN_W5,False,,0.4972080079700353,0.9606414354210048,0.2649757195820736,0.2063962442911006,0.08,,0.0,0.0,-0.0006137611951496091,,-0.0006215534681821011,False,0
HS766T_PANCREAS,ACH-000178,pancreas,2,B1_MEAN_W5,False,,0.5704641652579164,0.912061976512637,0.4269205992651434,0.3639619800440078,0.07,,0.0,0.0,-0.0018749928259701454,,-0.001811014342482431,False,0
HS852T_SKIN,ACH-000274,skin,4,B1_MEAN_W5,False,,0.5650596226113231,0.944833348651062,0.3103923920911358,0.2718929818529271,0.04,,0.0,0.0,-0.0037383788483511537,,-0.004106633036512264,False,0
HUCCT1_BILIARY_TRACT,ACH-000976,bile_duct,3,B1_MEAN_W5,False,,0.3637427822828422,0.8429418253554326,0.5675511373360357,0.4228635405115239,0.22,,0.0,0.0,-0.005070847880413676,,-0.0050168671493638906,False,0
IGR1_SKIN,ACH-000882,skin,2,B1_MEAN_W5,False,,0.2961199123768651,0.8661862286470604,0.4953404554946881,0.395487233799443,0.19,,0.0,0.0,-0.005383337456807802,,-0.004993175654301074,False,0
IGROV1_OVARY,ACH-000966,ovary,4,B1_MEAN_W5,False,,0.2160703371358782,0.877973806264133,0.4963484391408975,0.3885239098927897,0.2,,0.0,0.0,-0.002636687047383901,,-0.0013669054426153071,False,0
ISTMES1_PLEURA,ACH-000569,mesothelioma,0,B1_MEAN_W5,False,,0.310625844123413,0.8926796878140599,0.4469765140442047,0.3722392363843257,0.15,,0.0,0.0,-0.00042291464622118413,,0.0005106773345390225,False,0
J82_URINARY_TRACT,ACH-000396,urinary_tract,0,B1_MEAN_W5,False,,0.2176714249328222,0.8885321466349909,0.4681104433035181,0.3597691199854539,0.26,,0.0,0.0,-0.0006664447990861189,,0.0023206184850474987,False,0
JHH5_LIVER,ACH-000734,liver,4,B1_MEAN_W5,False,,0.3662182647086007,0.8825064480751819,0.4581430875787012,0.3616566721712451,0.18,,0.0,0.0,-0.0003453158991141847,,0.004313045070350796,False,0
KNS42_CENTRAL_NERVOUS_SYSTEM,ACH-000622,central_nervous_system,3,B1_MEAN_W5,False,,0.2892731568313366,0.9636092233026512,0.3231022133095741,0.2663124559099669,0.13,,0.0,0.0,-0.00117229988249401,,-0.001384686629808063,False,0
KNS60_CENTRAL_NERVOUS_SYSTEM,ACH-000445,central_nervous_system,4,B1_MEAN_W5,False,,0.2810285319584906,0.9421023260571296,0.3732006853678806,0.2918420344017937,0.2299999999999999,,0.0,0.0,-0.0015913011989208137,,-0.0024553686840665945,False,0
KNS81_CENTRAL_NERVOUS_SYSTEM,ACH-000479,central_nervous_system,0,B1_MEAN_W5,False,,0.3447097687361483,0.8965941521306219,0.4402263999170236,0.3537177777625183,0.16,,0.0,0.0,-0.0016124563438814077,,-0.0020065250300344006,False,0
KYSE270_OESOPHAGUS,ACH-000873,esophagus,3,B1_MEAN_W5,False,,0.2519306443314603,0.8743951382627067,0.4890074203372911,0.3874894456070514,0.26,,0.0,0.0,0.0009603414972680913,,0.0004992967518581137,False,0
LI7_LIVER,ACH-000471,liver,1,B1_MEAN_W5,False,,0.4258365832703424,0.965675128962173,0.2639220793735385,0.2143758080945214,0.11,,0.0,0.0,0.0015402634626571765,,0.0013027355495983106,False,0
LK2_LUNG,ACH-000769,lung,3,B1_MEAN_W5,False,,0.3095418633538979,0.9695834208885256,0.2876118567586503,0.2391822380969351,0.16,,0.0,0.0,-0.0010643756835972962,,-0.0009928011700083839,False,0
LMSU_STOMACH,ACH-000255,gastric,3,B1_MEAN_W5,False,,0.2430469768796793,0.8581400952793856,0.5074410700691312,0.3985499328772898,0.22,,0.0,0.0,-0.0036215943844356002,,-0.0033285436922068923,False,0
LN229_CENTRAL_NERVOUS_SYSTEM,ACH-000595,central_nervous_system,1,B1_MEAN_W5,False,,0.3139417423881623,0.8689835342014307,0.4872490212804649,0.3809606290037208,0.15,,0.0,0.0,-0.001547570558362521,,-0.001664229302815623,False,0
LNCAPCLONEFGC_PROSTATE,ACH-000977,prostate,4,B1_MEAN_W5,False,,0.2690688547675526,0.9995415727356084,0.2862263657657045,0.2351672919030315,0.15,,0.0,0.0,-0.0035155558159064015,,-0.001260850967730598,False,0
LOVO_LARGE_INTESTINE,ACH-000950,colorectal,0,B1_MEAN_W5,False,,0.2958571735802484,0.851924917844074,0.523825599996406,0.4006027217186064,0.21,,0.0,0.0,-0.005769939191988371,,-0.003954417868666682,False,0
LUDLU1_LUNG,ACH-000390,lung,2,B1_MEAN_W5,False,,0.3212658265732021,0.9312246821227724,0.371929365835909,0.2845418969731418,0.19,,0.0,0.0,0.00028500937135261806,,0.0005759464118443303,False,0
MALME3M_SKIN,ACH-000477,skin,0,B1_MEAN_W5,False,,0.6077221374061016,0.9354152763690908,0.3526512289540625,0.2711811251149014,0.04,,0.0,0.0,-0.00775438378175608,,-0.008763713798900619,False,0
MDAMB435S_SKIN,ACH-000884,skin,1,B1_MEAN_W5,False,,0.2701579492158599,0.8777809124911977,0.4868476288027714,0.3775736728900825,0.19,,0.0,0.0,0.0015371348766088921,,0.0014158432731228854,False,0
MDAMB468_BREAST,ACH-000849,breast,0,B1_MEAN_W5,False,,0.2612329693785642,0.9038885672556396,0.4539313881317348,0.322818954091028,0.31,,0.0,0.0,-0.0001937893928458112,,-0.0009307034264114389,False,0
MIAPACA2_PANCREAS,ACH-000601,pancreas,0,B1_MEAN_W5,False,,0.2626905482418977,0.7945846804750144,0.6320546859640325,0.4811699283029675,0.24,,0.0,0.0,-0.0011174862671902153,,0.0013190269185798242,False,0
MSTO211H_PLEURA,ACH-000335,mesothelioma,2,B1_MEAN_W5,False,,0.2364829470222949,0.8062709633740299,0.5788991331086513,0.4448024751730569,0.25,,0.0,0.0,-0.00033895705431888357,,0.0009942469349356053,False,0
NCIH1048_LUNG,ACH-000866,lung,4,B1_MEAN_W5,False,,0.4092242219014209,0.962357296614591,0.2716485081453028,0.2337552396142967,0.07,,0.0,0.0,-0.0005043392801443725,,-0.0020969109378936035,False,0
