outer_fold,model,family,control_dimension,response_rank,predictor_dimension,selected_control_genes,parameter_count,fit_runtime_seconds,source
0,B1_MEAN_W5,benchmark_snapshot,0,0,0,0,32738,,existing_w5
0,B4_DIRECT_RIDGE_W5,benchmark_snapshot,10,32738,10,5000,360118,,existing_w5
0,CCLR_NESTED_W6,benchmark_snapshot,30,20,30,5000,688118,,existing_w6
1,B1_MEAN_W5,benchmark_snapshot,0,0,0,0,32738,,existing_w5
1,B4_DIRECT_RIDGE_W5,benchmark_snapshot,10,32738,10,5000,360118,,existing_w5
1,CCLR_NESTED_W6,benchmark_snapshot,20,20,20,5000,687918,,existing_w6
2,B1_MEAN_W5,benchmark_snapshot,0,0,0,0,32738,,existing_w5
2,B4_DIRECT_RIDGE_W5,benchmark_snapshot,10,32738,10,5000,360118,,existing_w5
2,CCLR_NESTED_W6,benchmark_snapshot,10,20,10,5000,687718,,existing_w6
3,B1_MEAN_W5,benchmark_snapshot,0,0,0,0,32738,,existing_w5
3,B4_DIRECT_RIDGE_W5,benchmark_snapshot,5,32738,5,5000,196428,,existing_w5
3,CCLR_NESTED_W6,benchmark_snapshot,5,20,5,5000,687618,,existing_w6
4,B1_MEAN_W5,benchmark_snapshot,0,0,0,0,32738,,existing_w5
4,B4_DIRECT_RIDGE_W5,benchmark_snapshot,10,32738,10,5000,360118,,existing_w5
4,CCLR_NESTED_W6,benchmark_snapshot,20,20,20,5000,687918,,existing_w6
0,FIXED_FULL_D20_R20,fixed_reference,20,20,20,5000,687918,0.006048625014955178,w7_fixed_outer_fit
0,CONTROL_D05_R20,control_dimension,5,20,5,5000,687618,0.005762082990258932,w7_fixed_outer_fit
0,CONTROL_D10_R20,control_dimension,10,20,10,5000,687718,0.005677083012415096,w7_fixed_outer_fit
0,CONTROL_D30_R20,control_dimension,30,20,30,5000,688118,0.005422792019089684,w7_fixed_outer_fit
0,RANK_D20_R02,response_rank,20,2,20,5000,98256,0.004895332996966317,w7_fixed_outer_fit
0,RANK_D20_R05,response_rank,20,5,20,5000,196533,0.004932332987664267,w7_fixed_outer_fit
0,RANK_D20_R10,response_rank,20,10,20,5000,360328,0.0049548340030014515,w7_fixed_outer_fit
0,RANK_D20_R30,response_rank,20,30,20,5000,1015508,0.005015833012294024,w7_fixed_outer_fit
0,RANK_D20_R40,response_rank,20,40,20,5000,1343098,0.0050681669963523746,w7_fixed_outer_fit
0,RANK_D20_R50,response_rank,20,50,20,5000,1670688,0.005270291003398597,w7_fixed_outer_fit
0,PATHWAY_D20_R20,feature_input,20,20,20,918,687918,0.004126000014366582,w7_fixed_outer_fit
0,LINEAGE_D20_R20,metadata_input,20,20,40,5000,688318,0.00759758401545696,w7_fixed_outer_fit
0,BRAF_KRAS_D20_R20,metadata_input,20,20,22,5000,687958,0.0056765830086078495,w7_fixed_outer_fit
1,FIXED_FULL_D20_R20,fixed_reference,20,20,20,5000,687918,0.0056075000029522926,w7_fixed_outer_fit
1,CONTROL_D05_R20,control_dimension,5,20,5,5000,687618,0.005210292001720518,w7_fixed_outer_fit
1,CONTROL_D10_R20,control_dimension,10,20,10,5000,687718,0.005200540996156633,w7_fixed_outer_fit
1,CONTROL_D30_R20,control_dimension,30,20,30,5000,688118,0.005238208017544821,w7_fixed_outer_fit
