model,family,folds,control_dimension_min,control_dimension_max,response_rank_min,response_rank_max,predictor_dimension_mean,selected_control_genes_mean,parameter_count_mean,rmse_delta_mean,rmse_gain_vs_b1_mean,rmse_gain_vs_b4_mean,report_order
B1_MEAN_W5,benchmark_snapshot,5,0,0,0,0,0.0,0.0,32738.0,0.32374962418553427,0.0,-0.0017148573815175762,0
B4_DIRECT_RIDGE_W5,benchmark_snapshot,5,5,10,32738,32738,9.0,5000.0,327380.0,0.32203476680401677,0.0017148573815175545,0.0,1
CCLR_NESTED_W6,benchmark_snapshot,5,5,30,20,20,17.0,5000.0,687858.0,0.3223830335247167,0.001366590660817534,-0.0003482667207000146,2
FIXED_FULL_D20_R20,fixed_reference,5,20,20,20,20,20.0,5000.0,687918.0,0.32235014194535316,0.0013994822439277097,-0.00031537514133641963,3
CONTROL_D05_R20,control_dimension,5,5,5,20,20,5.0,5000.0,687618.0,0.3224225015830441,0.0013271226062368051,-0.00038773477902732413,4
CONTROL_D10_R20,control_dimension,5,10,10,20,20,10.0,5000.0,687718.0,0.32231395595625434,0.0014356682330264943,-0.00027918915223763504,5
CONTROL_D30_R20,control_dimension,5,30,30,20,20,30.0,5000.0,688118.0,0.3223644486408963,0.001385175548384574,-0.00032968183687955515,6
RANK_D20_R02,response_rank,5,20,20,2,2,20.0,5000.0,98256.0,0.32282935749272784,0.0009202666965530812,-0.0007945906887110481,7
RANK_D20_R05,response_rank,5,20,20,5,5,20.0,5000.0,196533.0,0.32263473581138324,0.0011148883778976755,-0.0005999690073664539,8
RANK_D20_R10,response_rank,5,20,20,10,10,20.0,5000.0,360328.0,0.322531551953071,0.0012180722362098962,-0.0004967851490542331,9
RANK_D20_R30,response_rank,5,20,20,30,30,20.0,5000.0,1015508.0,0.32233450347363063,0.0014151207156502755,-0.00029973666961385367,10
RANK_D20_R40,response_rank,5,20,20,40,40,20.0,5000.0,1343098.0,0.3223877048124819,0.001361919376798919,-0.00035293800846521026,11
RANK_D20_R50,response_rank,5,20,20,50,50,20.0,5000.0,1670688.0,0.3223601942526974,0.0013894299365834455,-0.0003254274486806838,12
PATHWAY_D20_R20,feature_input,5,20,20,20,20,20.0,919.6,687918.0,0.32228556824070287,0.0014640559485779555,-0.00025080143668617386,13
LINEAGE_D20_R20,metadata_input,5,20,20,20,20,40.2,5000.0,688322.0,0.32232949093270963,0.0014201332565712073,-0.00029472412869292194,14
BRAF_KRAS_D20_R20,metadata_input,5,20,20,20,20,22.0,5000.0,687958.0,0.32216164507198136,0.0015879791172994774,-0.00012687826796465182,15
