outer_fold,model,inner_fold,dimension,alpha,mean_rmse
0,B3,0,5,,0.42525210987961887
0,B4,0,5,0.01,0.3378800761949566
0,B4,0,5,0.1,0.3378556182381331
0,B4,0,5,1.0,0.33761832616368775
0,B4,0,5,10.0,0.33582525800381724
0,B4,0,5,100.0,0.33271941027353735
0,B3,0,10,,0.4382996275103391
0,B4,0,10,0.01,0.3426358309170309
0,B4,0,10,0.1,0.3425922059728826
0,B4,0,10,1.0,0.3421684049945794
0,B4,0,10,10.0,0.3389265175564649
0,B4,0,10,100.0,0.3327193835970778
0,B3,0,20,,0.4238479536101891
0,B4,0,20,0.01,0.3468405209302082
0,B4,0,20,0.1,0.3467818531884283
0,B4,0,20,1.0,0.34621148809616575
0,B4,0,20,10.0,0.3418179873053459
0,B4,0,20,100.0,0.3329710920148225
0,B3,0,30,,0.43966889638351114
0,B4,0,30,0.01,0.34901675965630935
0,B4,0,30,0.1,0.348950680983039
0,B4,0,30,1.0,0.3483080717252854
0,B4,0,30,10.0,0.343344166829659
0,B4,0,30,100.0,0.33315132206199183
0,B3,1,5,,0.44895013724147553
0,B4,1,5,0.01,0.32297708140808656
0,B4,1,5,0.1,0.32294751210767003
0,B4,1,5,1.0,0.3226605005367022
0,B4,1,5,10.0,0.32048324443243054
0,B4,1,5,100.0,0.31664352064960216
0,B3,1,10,,0.4480231901551836
0,B4,1,10,0.01,0.32809392995592507
0,B4,1,10,0.1,0.32804409137271995
0,B4,1,10,1.0,0.3275597254206007
0,B4,1,10,10.0,0.3238417769345356
0,B4,1,10,100.0,0.3166492144005971
0,B3,1,20,,0.42330755541801324
0,B4,1,20,0.01,0.3324852016741888
0,B4,1,20,0.1,0.3324165680905029
0,B4,1,20,1.0,0.3317491663483929
0,B4,1,20,10.0,0.32660128286934
0,B4,1,20,100.0,0.3163849974503321
0,B3,1,30,,0.42676182969523935
0,B4,1,30,0.01,0.3342848033792213
0,B4,1,30,0.1,0.3342101067464634
0,B4,1,30,1.0,0.3334835357606411
0,B4,1,30,10.0,0.3278643185079923
0,B4,1,30,100.0,0.3165122134067037
0,B3,2,5,,0.4399108461858603
0,B4,2,5,0.01,0.32012012379330085
0,B4,2,5,0.1,0.32009081420331936
0,B4,2,5,1.0,0.3198062971451775
0,B4,2,5,10.0,0.31764483052520326
0,B4,2,5,100.0,0.3137009836278061
0,B3,2,10,,0.44037114112221043
0,B4,2,10,0.01,0.3240593379641923
0,B4,2,10,0.1,0.32401392683540814
0,B4,2,10,1.0,0.32357266445907323
0,B4,2,10,10.0,0.32018977318559916
0,B4,2,10,100.0,0.31363161249761723
0,B3,2,20,,0.4415320216478178
0,B4,2,20,0.01,0.32839075348166535
0,B4,2,20,0.1,0.32832877971257013
0,B4,2,20,1.0,0.3277262160260822
0,B4,2,20,10.0,0.3230813482697068
0,B4,2,20,100.0,0.31373146592174506
0,B3,2,30,,0.42560994934515917
0,B4,2,30,0.01,0.3301832075218153
0,B4,2,30,0.1,0.3301134496140349
0,B4,2,30,1.0,0.329435139048226
0,B4,2,30,10.0,0.3242024063854631
0,B4,2,30,100.0,0.3136368555951458
0,B3,3,5,,0.4256291620990784
0,B4,3,5,0.01,0.34049089227400237
0,B4,3,5,0.1,0.340465649068391
0,B4,3,5,1.0,0.3402207674318525
0,B4,3,5,10.0,0.3383725120516436
0,B4,3,5,100.0,0.335210337134919
0,B3,3,10,,0.4477141366994834
0,B4,3,10,0.01,0.34294261159580586
0,B4,3,10,0.1,0.3429058230725325
0,B4,3,10,1.0,0.34254873418315496
0,B4,3,10,10.0,0.33983879740999684
0,B4,3,10,100.0,0.33498166660671436
0,B3,3,20,,0.42542165375215835
0,B4,3,20,0.01,0.3466823356892126
0,B4,3,20,0.1,0.34663004242566453
0,B4,3,20,1.0,0.3461220702322703
0,B4,3,20,10.0,0.3422399303289158
0,B4,3,20,100.0,0.33490581327991664
0,B3,3,30,,0.42489803403533905
0,B4,3,30,0.01,0.34918289789051055
0,B4,3,30,0.1,0.3491217709391019
0,B4,3,30,1.0,0.3485277147163239
0,B4,3,30,10.0,0.3439681314671123
0,B4,3,30,100.0,0.33507070155623814
1,B3,0,5,,0.43273250414582753
1,B4,0,5,0.01,0.32551502281106875
1,B4,0,5,0.1,0.3254879204328363
1,B4,0,5,1.0,0.32522520520814846
1,B4,0,5,10.0,0.32325707916465674
1,B4,0,5,100.0,0.32012271091849026
1,B3,0,10,,0.440039878103928
1,B4,0,10,0.01,0.3302292716848862
1,B4,0,10,0.1,0.3301838345269429
1,B4,0,10,1.0,0.32974266834677746
