cell_line,depmap_id,lineage,outer_fold,model,b2_fallback,b3_neighbor_cell_line,rmse_delta,nrmse_delta,pcc_delta,spearman_delta,signed_top50_overlap,pcc_context,rmse_gain_vs_b1,nrmse_gain_vs_b1
8505C_THYROID,ACH-001307,thyroid,0,B0,False,,0.3360962311028727,1.0,,,0.0,-0.06596563275847521,-0.048632351634405324,-0.14469770004507987
8505C_THYROID,ACH-001307,thyroid,0,B1,False,,0.28746387946846735,0.8553022999549201,0.5146566721700961,0.4171050817671557,0.22,,0.0,0.0
8505C_THYROID,ACH-001307,thyroid,0,B2,False,,0.35446932462910363,1.0546661694656352,0.37429389789165196,0.3247607032324282,0.21,0.08179811566808369,-0.06700544516063628,-0.19936386951071505
8505C_THYROID,ACH-001307,thyroid,0,B3,False,MSTO211H_PLEURA,0.3559379525857644,1.0590358345221031,0.3572396734183146,0.3144161074428162,0.2,0.0766651915581179,-0.06847407311729703,-0.20373353456718302
8505C_THYROID,ACH-001307,thyroid,0,B4,False,,0.28489470513132764,0.8476581370652941,0.5277577693612379,0.42355053177386576,0.27,0.13701770664497243,0.0025691743371397124,0.007644162889625994
A2780_OVARY,ACH-000657,ovary,0,B0,False,,0.3177849477336694,1.0,,,0.0,-0.02743508179945784,-0.044568412638051835,-0.14024708519361317
A2780_OVARY,ACH-000657,ovary,0,B1,False,,0.27321653509561755,0.8597529148063868,0.5073839858286764,0.40685731507730943,0.16999999999999998,,0.0,0.0
A2780_OVARY,ACH-000657,ovary,0,B2,False,,0.297497178109707,0.9361588087521211,0.3893893384744386,0.3276805930729377,0.13,0.05770001443352562,-0.024280643014089442,-0.07640589394573427
A2780_OVARY,ACH-000657,ovary,0,B3,False,NCIH1581_LUNG,0.35503249948434346,1.1172099308551602,0.27896764145790853,0.26491986454396727,0.13,0.061597065765444936,-0.0818159643887259,-0.25745701604877336
A2780_OVARY,ACH-000657,ovary,0,B4,False,,0.27249744891895455,0.8574901072637664,0.5142439333704409,0.40416992256426154,0.18,0.10963693010737022,0.0007190861766629975,0.0022628075426204264
AGS_STOMACH,ACH-000880,gastric,0,B0,False,,0.32286892107091675,1.0,,,0.01,0.005108775322027924,-0.038939557121864365,-0.12060484791384263
AGS_STOMACH,ACH-000880,gastric,0,B1,False,,0.2839293639490524,0.8793951520861574,0.4716052444329574,0.3674491525875456,0.2,,0.0,0.0
AGS_STOMACH,ACH-000880,gastric,0,B2,False,,0.3148260864365097,0.9750894740573669,0.3628441417022219,0.3067677148605065,0.15,0.03357617368928405,-0.03089672248745734,-0.09569432197120953
AGS_STOMACH,ACH-000880,gastric,0,B3,False,PATU8988S_PANCREAS,0.4165222349943602,1.2900660540903313,0.2885274162637923,0.24645256241344482,0.16,0.08798397845725948,-0.13259287104530781,-0.4106709020041739
