model,metric,macro_mean,ci95_low,ci95_high,n_cell_lines,bootstrap_replicates
B0,rmse_delta,0.35586989439316863,0.3382239841165801,0.3749215920171002,94,2000
B0,nrmse_delta,1.0,1.0,1.0,94,2000
B0,pcc_delta,,,,0,2000
B0,spearman_delta,,,,0,2000
B0,signed_top50_overlap,0.0007446808510638298,0.0002127659574468085,0.001279255319148922,94,2000
B0,pcc_context,0.0476129853361132,0.020610312917625582,0.07493658489784101,94,2000
B0,rmse_gain_vs_b1,-0.0321202702076342,-0.035440736476061316,-0.028758550372469095,94,2000
B0,nrmse_gain_vs_b1,-0.09201456476703745,-0.10131701701651699,-0.08257149589900262,94,2000
B1,rmse_delta,0.32374962418553427,0.3061027290392094,0.34205870016398676,94,2000
B1,nrmse_delta,0.9079854352329627,0.8985917680381736,0.9176536346955196,94,2000
B1,pcc_delta,0.42008617447848834,0.3999489906216828,0.43903099644150373,94,2000
B1,spearman_delta,0.3327027969402943,0.3184664337299828,0.3458862976072907,94,2000
B1,signed_top50_overlap,0.1808510638297872,0.16499734042553194,0.19659840425531913,94,2000
B1,pcc_context,,,,0,2000
B1,rmse_gain_vs_b1,0.0,0.0,0.0,94,2000
B1,nrmse_gain_vs_b1,0.0,0.0,0.0,94,2000
B2,rmse_delta,0.3506234860348117,0.3338602353640934,0.36931785054494565,94,2000
B2,nrmse_delta,0.9917854620023459,0.9734608845170285,1.0114155780279501,94,2000
B2,pcc_delta,0.34555211415420867,0.3259865278217742,0.36541181746570595,94,2000
B2,spearman_delta,0.2810597346230216,0.2668065804461826,0.29432535592114545,94,2000
B2,signed_top50_overlap,0.17255319148936174,0.15744414893617023,0.1879840425531915,94,2000
B2,pcc_context,0.06459696551176251,0.051980247344865525,0.07836659066868482,86,2000
B2,rmse_gain_vs_b1,-0.02687386184927737,-0.03233729964031651,-0.02185872646241812,94,2000
B2,nrmse_gain_vs_b1,-0.08380002676938321,-0.1011698518352916,-0.06724720423474959,94,2000
B3,rmse_delta,0.429704790374438,0.410530439407157,0.44811630280745235,94,2000
B3,nrmse_delta,1.2300115553477664,1.1944546441937234,1.2694530602860674,94,2000
B3,pcc_delta,0.24716426701579955,0.23018276600724086,0.2648490397633125,94,2000
B3,spearman_delta,0.22120026710947568,0.2089927543456828,0.23285083937030346,94,2000
B3,signed_top50_overlap,0.12563829787234046,0.11393617021276595,0.1371276595744681,94,2000
B3,pcc_context,0.058568289015872306,0.04843780846294339,0.06965681628936551,94,2000
B3,rmse_gain_vs_b1,-0.1059551661889036,-0.11540649222154568,-0.09731301780013496,94,2000
B3,nrmse_gain_vs_b1,-0.32202612011480386,-0.35828560582199914,-0.28628965353232677,94,2000
B4,rmse_delta,0.3220347668040167,0.3048523794999759,0.3391134613968948,94,2000
B4,nrmse_delta,0.9030905722264105,0.893203047835049,0.9126943649702941,94,2000
B4,pcc_delta,0.42800050574465837,0.40873368197945487,0.44889503653358165,94,2000
B4,spearman_delta,0.3356710603621854,0.3212349015988277,0.3503574374167436,94,2000
B4,signed_top50_overlap,0.19563829787234038,0.1791462765957447,0.21149202127659575,94,2000
B4,pcc_context,0.10766634591391255,0.09626427504898377,0.11914538264369962,94,2000
B4,rmse_gain_vs_b1,0.00171485738151758,0.0011676497257807157,0.002284273293162492,94,2000
B4,nrmse_gain_vs_b1,0.004894863006552079,0.003357354908717023,0.006416923707493976,94,2000
