outer_fold,model,fold_pipeline_seconds,parameter_count,selected_control_genes
0,B0,0.4098737919994164,0,5000
0,B1,0.4098737919994164,32738,5000
0,B2,0.4098737919994164,32738,5000
0,B3,0.4098737919994164,0,5000
0,B4,0.4098737919994164,360118,5000
1,B0,0.3964016249810811,0,5000
1,B1,0.3964016249810811,32738,5000
1,B2,0.3964016249810811,32738,5000
1,B3,0.3964016249810811,0,5000
1,B4,0.3964016249810811,360118,5000
2,B0,0.39670974999899045,0,5000
2,B1,0.39670974999899045,32738,5000
2,B2,0.39670974999899045,32738,5000
2,B3,0.39670974999899045,0,5000
2,B4,0.39670974999899045,360118,5000
3,B0,0.4265613750030752,0,5000
3,B1,0.4265613750030752,32738,5000
3,B2,0.4265613750030752,32738,5000
3,B3,0.4265613750030752,0,5000
3,B4,0.4265613750030752,196428,5000
4,B0,0.3906731249880977,0,5000
4,B1,0.3906731249880977,32738,5000
4,B2,0.3906731249880977,32738,5000
4,B3,0.3906731249880977,0,5000
4,B4,0.3906731249880977,360118,5000
