cell_line,depmap_id,author_ccle_id,lineage,lineage_subtype,trametinib_auc,trametinib_sensitivity,prism_auc,gdsc_auc,braf_mut,kras_mut,hras_mut,nras_mut,annotation_source,sensitivity_use,outer_fold,response_pc1,response_pc2,response_pc3,response_pc4,response_pc5,braf_or_kras_mut,response_rms,min_condition_cells,baseline_novelty,b4_rmse,cclr_rmse,b4_pcc_context,pathway__MAPK_KRAS_signaling,pathway__E2F_targets,pathway__G2M_checkpoint,pathway__apoptosis,pathway__epithelial_mesenchymal_transition,pathway__immediate_early_response
22RV1_PROSTATE,ACH-000956,22RV1_PROSTATE,prostate,,0.9920530024560072,0.0079469975439927,1.24218265366475,0.925561,True,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input,1,7.0421476,-3.432653,-1.9913108,8.605364,2.7012367,True,0.42917958,43,3.6577530233277726,0.4132808941291311,0.41314578915467,0.0840558215306248,-0.037430346,-0.20807122,-0.22782175,-0.0038721585,-0.052054577,-1.463881
42MGBA_CENTRAL_NERVOUS_SYSTEM,ACH-000323,42MGBA_CENTRAL_NERVOUS_SYSTEM,central_nervous_system,glioma,0.8224133531717482,0.1775866468282517,0.780042008409087,0.862649,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input,2,6.263812,-1.5735644,0.77802145,-0.016312398,-1.1306067,False,0.23937428,77,2.014951171963817,0.2120563830810573,0.2121002485365168,0.139189112930812,-0.062429488,-0.18527012,-0.1401421,-0.029591477,0.07400831,-1.5781295
769P_KIDNEY,ACH-000411,769P_KIDNEY,kidney,,0.7263326203733353,0.2736673796266646,0.841792780927865,0.493203,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input,3,1.9467877,-0.6629753,0.297217,-2.8900754,1.8084543,False,0.29261464,110,2.7858285097154742,0.2599334572543249,0.2608279330882102,0.1001041954235523,-0.014900871,-0.43670627,-0.34497583,-0.073353015,-0.0030169543,-1.9128703
786O_KIDNEY,ACH-000649,786O_KIDNEY,kidney,,0.9650475479192104,0.0349524520807895,1.42993681354175,0.733308,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input,2,7.902538,-0.38118374,0.5430029,-1.4526665,0.12806034,False,0.21295984,108,2.1446987316418933,0.1878683842500525,0.188395856343148,0.2156052127762888,-0.016592667,-0.16447023,-0.094163306,0.060375262,0.061371185,-1.4019328
8505C_THYROID,ACH-001307,8505C_THYROID,thyroid,,0.5029299892855361,0.4970700107144639,0.596159424194532,0.403125,True,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input,0,1.1568942,2.4914904,-0.75368786,-5.2299657,-1.6875641,True,0.33609623,91,2.2856769409944913,0.2848947051313276,0.2856422796761649,0.1370177066449724,-0.07663696,-0.34336358,-0.27592465,-0.030885927,0.067671776,-1.9339113
A2780_OVARY,ACH-000657,A2780_OVARY,ovary,ovary_adenocarcinoma,0.4958855637374039,0.5041144362625961,0.544069317622124,0.499448,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input,0,3.2176425,-1.2509093,1.674084,-1.285866,-0.25890473,False,0.31778497,182,2.940414688110538,0.2724974489189545,0.274158662581186,0.1096369301073702,-0.033101607,-0.30666623,-0.2645536,-0.102545,-0.045343067,-1.9830359
A375_SKIN,ACH-000219,A375_SKIN,skin,melanoma,0.277066262940654,0.722933737059346,0.496151754348511,0.032979,True,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input,1,-23.133102,-2.601942,-1.4963074,-11.234336,-6.1539564,True,0.47411942,102,3.301796975013928,0.3831290237884984,0.3841101561024216,0.2587676735289194,-0.11723033,-1.1495177,-0.9911131,-0.22449774,-0.09823759,-2.367614
ACCMESO1_PLEURA,ACH-000086,ACCMESO1_PLEURA,mesothelioma,,0.8959091436980202,0.1040908563019797,0.844888613664355,,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input,3,6.5522137,-1.3028994,0.056483652,-0.47488025,-0.031095702,False,0.21830463,97,2.8171812246373684,0.1898660328746673,0.1898493504579024,0.1411983891057049,-0.05406347,-0.17556049,-0.11897223,-0.005648045,0.09157438,-1.4228039
AGS_STOMACH,ACH-000880,AGS_STOMACH,gastric,gastric_adenocarcinoma,0.2829364858994315,0.7170635141005686,0.457672571823393,,False,True,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input,0,2.6087728,1.6237035,0.10731248,-2.0353534,1.5338982,True,0.3228689,101,2.5443886090907095,0.2832516702888807,0.2835551719163567,0.0918754057574141,0.0021350614,-0.38696975,-0.27693674,-0.010851617,0.042827275,-1.6350856
BEN_LUNG,ACH-000603,BEN_LUNG,lung,lung_NSC,1.0784506400612672,-0.0784506400612672,1.28064202357905,0.984424,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input,0,11.190668,-2.7576594,-0.6899266,6.165296,1.4328289,False,0.27159858,74,3.2155550216668747,0.2756266126845272,0.2782055317496416,0.0676910565630592,-0.073953755,0.04642474,0.08888576,-0.054375954,-0.1535522,-1.0510163
