component,direction,pathway,top_gene_count,pathway_gene_count,overlap_count,overlap_genes,p_value,fdr_bh
1,negative,MAPK_KRAS_signaling,50,384,5,BTG2;CELSR2;GALNT3;IFI44L;RSAD2,0.00030104163380272097,0.004515624507040815
1,negative,E2F_targets,50,195,0,,1.0,1.0
1,negative,G2M_checkpoint,50,187,0,,1.0,1.0
1,negative,apoptosis,50,159,2,BMF;BTG2,0.02478994479538037,0.09915977918152148
1,negative,epithelial_mesenchymal_transition,50,195,2,MATN2;MYLK,0.03605769434394831,0.11386640319141571
1,negative,immediate_early_response,50,8,0,,1.0,1.0
1,positive,MAPK_KRAS_signaling,50,384,3,DUSP6;ETV4;HBEGF,0.021059636979382085,0.09915977918152148
1,positive,E2F_targets,50,195,13,ASF1B;ATAD2;AURKB;CDC25A;CDK1;MCM4;MYBL2;PSMC3IP;RRM2;SPC25;SUV39H1;TCF19;TOP2A,2.405898238994233e-18,7.217694716982699e-17
1,positive,G2M_checkpoint,50,187,15,AURKB;CCNA2;CCND1;CDC25A;CDC45;CDC6;CDK1;CENPA;CHAF1A;E2F1;GINS2;MYBL2;SUV39H1;TOP2A;UBE2C,2.50483830252556e-22,1.502902981515336e-20
1,positive,apoptosis,50,159,2,CCND1;TOP2A,0.02478994479538037,0.09915977918152148
1,positive,epithelial_mesenchymal_transition,50,195,0,,1.0,1.0
1,positive,immediate_early_response,50,8,2,DUSP6;ETV4,6.400325770302598e-05,0.0012800651540605197
2,negative,MAPK_KRAS_signaling,50,384,4,ADAM8;DUSP6;ETS1;IL1B,0.002833930021249421,0.022312618976180483
2,negative,E2F_targets,50,195,0,,1.0,1.0
2,negative,G2M_checkpoint,50,187,0,,1.0,1.0
2,negative,apoptosis,50,159,2,BMF;IL1B,0.02478994479538037,0.09915977918152148
2,negative,epithelial_mesenchymal_transition,50,195,1,AREG,0.2590389627049177,0.5359426814584505
2,negative,immediate_early_response,50,8,1,DUSP6,0.012189583767522912,0.07313750260513747
2,positive,MAPK_KRAS_signaling,50,384,1,ANGPTL4,0.4468440685515185,0.864859487519068
2,positive,E2F_targets,50,195,0,,1.0,1.0
2,positive,G2M_checkpoint,50,187,0,,1.0,1.0
2,positive,apoptosis,50,159,3,ISG20;NEDD9;TNFSF10,0.001879100618517223,0.022312618976180483
2,positive,epithelial_mesenchymal_transition,50,195,0,,1.0,1.0
2,positive,immediate_early_response,50,8,0,,1.0,1.0
3,negative,MAPK_KRAS_signaling,50,384,0,,1.0,1.0
3,negative,E2F_targets,50,195,0,,1.0,1.0
3,negative,G2M_checkpoint,50,187,1,POLQ,0.2498424474885676,0.5359426814584505
3,negative,apoptosis,50,159,0,,1.0,1.0
3,negative,epithelial_mesenchymal_transition,50,195,2,COL5A3;TFPI2,0.03605769434394831,0.11386640319141571
3,negative,immediate_early_response,50,8,0,,1.0,1.0
3,positive,MAPK_KRAS_signaling,50,384,2,IGFBP3;ST6GAL1,0.11711436088896492,0.33461245968275694
3,positive,E2F_targets,50,195,0,,1.0,1.0
3,positive,G2M_checkpoint,50,187,1,MEIS1,0.2498424474885676,0.5359426814584505
3,positive,apoptosis,50,159,0,,1.0,1.0
3,positive,epithelial_mesenchymal_transition,50,195,2,COL16A1;IGFBP3,0.03605769434394831,0.11386640319141571
3,positive,immediate_early_response,50,8,0,,1.0,1.0
4,negative,MAPK_KRAS_signaling,50,384,1,CXCL10,0.4468440685515185,0.864859487519068
4,negative,E2F_targets,50,195,0,,1.0,1.0
4,negative,G2M_checkpoint,50,187,0,,1.0,1.0
4,negative,apoptosis,50,159,1,DPYD,0.2167651816129296,0.5359426814584505
4,negative,epithelial_mesenchymal_transition,50,195,3,EDIL3;IL15;SPOCK1,0.0033468928464270723,0.022312618976180483
4,negative,immediate_early_response,50,8,0,,1.0,1.0
4,positive,MAPK_KRAS_signaling,50,384,2,ANGPTL4;KRT15,0.11711436088896492,0.33461245968275694
4,positive,E2F_targets,50,195,2,ESPL1;HMGA1,0.03605769434394831,0.11386640319141571
4,positive,G2M_checkpoint,50,187,3,BUB1;ESPL1;HMGA1,0.0029750446061036955,0.022312618976180483
4,positive,apoptosis,50,159,0,,1.0,1.0
4,positive,epithelial_mesenchymal_transition,50,195,1,RGS4,0.2590389627049177,0.5359426814584505
4,positive,immediate_early_response,50,8,0,,1.0,1.0
5,negative,MAPK_KRAS_signaling,50,384,0,,1.0,1.0
5,negative,E2F_targets,50,195,0,,1.0,1.0
5,negative,G2M_checkpoint,50,187,1,FANCC,0.2498424474885676,0.5359426814584505
5,negative,apoptosis,50,159,0,,1.0,1.0
5,negative,epithelial_mesenchymal_transition,50,195,1,MYLK,0.2590389627049177,0.5359426814584505
5,negative,immediate_early_response,50,8,0,,1.0,1.0
5,positive,MAPK_KRAS_signaling,50,384,3,ANGPTL4;INHBA;MAST3,0.021059636979382085,0.09915977918152148
5,positive,E2F_targets,50,195,0,,1.0,1.0
5,positive,G2M_checkpoint,50,187,0,,1.0,1.0
5,positive,apoptosis,50,159,1,CASP9,0.2167651816129296,0.5359426814584505
5,positive,epithelial_mesenchymal_transition,50,195,3,COL7A1;INHBA;PTX3,0.0033468928464270723,0.022312618976180483
5,positive,immediate_early_response,50,8,0,,1.0,1.0
