outer_fold,component,direction,loading_rank,gene_index,gene_id,gene_symbol,loading
0,1,negative,1,15509,ENSG00000167656,LY6D,-0.03215217268610464
0,1,negative,2,8824,ENSG00000250722,SEPP1,-0.029369842907353026
0,1,negative,3,3279,ENSG00000134321,RSAD2,-0.02575758879450577
0,1,negative,4,962,ENSG00000162366,PDZK1IP1,-0.02530696408593166
0,1,negative,5,12492,ENSG00000127954,STEAP4,-0.02495034861932219
0,1,negative,6,31855,ENSG00000100100,PIK3IP1,-0.024932609767724198
0,1,negative,7,17325,ENSG00000138294,MSMB,-0.024857169441522067
0,1,negative,8,1329,ENSG00000162645,GBP2,-0.024257639576003808
0,1,negative,9,25594,ENSG00000179044,EXOC3L1,-0.023934206253449396
0,1,negative,10,9180,ENSG00000164180,TMEM161B,-0.02384309070780611
0,1,negative,11,21387,ENSG00000256262,USP30-AS1,-0.023736412915802287
0,1,negative,12,1264,ENSG00000137959,IFI44L,-0.023671932165668427
0,1,negative,13,15508,ENSG00000180155,LYNX1,-0.023610507858197387
0,1,negative,14,264,ENSG00000215910,C1orf167,-0.023322447961089697
0,1,negative,15,22306,ENSG00000102524,TNFSF13B,-0.02273981712011099
0,1,negative,16,24691,ENSG00000167964,RAB26,-0.02268421045099398
0,1,negative,17,19060,ENSG00000133328,HRASLS2,-0.02258315399340228
0,1,negative,18,1494,ENSG00000143126,CELSR2,-0.02240863164517632
0,1,negative,19,1960,ENSG00000143556,S100A7,-0.02240138283729012
0,1,negative,20,2691,ENSG00000186007,LEMD1,-0.022025135355839543
0,1,negative,21,12730,ENSG00000228742,RP5-884M6.1,-0.02197179024498027
0,1,negative,22,17249,ENSG00000165507,C10orf10,-0.021226664360877914
0,1,negative,23,17458,ENSG00000237512,UNC5B-AS1,-0.021215381190268428
0,1,negative,24,21207,ENSG00000139329,LUM,-0.021108849280874843
0,1,negative,25,16536,ENSG00000185585,OLFML2A,-0.021076303033079516
0,1,negative,26,6996,ENSG00000136514,RTP4,-0.02104127687638069
0,1,negative,27,1331,ENSG00000162654,GBP4,-0.020985186057301725
0,1,negative,28,27027,ENSG00000186832,KRT16,-0.020957599286666483
0,1,negative,29,5889,ENSG00000182179,UBA7,-0.020854976279358787
0,1,negative,30,16815,ENSG00000169583,CLIC3,-0.02073940115472625
0,1,negative,31,6841,ENSG00000121858,TNFSF10,-0.02069495886922401
0,1,negative,32,26263,ENSG00000213859,KCTD11,-0.020677818111491702
0,1,negative,33,23703,ENSG00000104140,RHOV,-0.020093862093111443
0,1,negative,34,1492,ENSG00000116299,KIAA1324,-0.020065860844262505
0,1,negative,35,20194,ENSG00000159403,C1R,-0.01998957444921683
0,1,negative,36,10293,ENSG00000111859,NEDD9,-0.019857638664343927
0,1,negative,37,20895,ENSG00000170581,STAT2,-0.0198318506460966
