outer_fold,model,inner_fold,control_dimension,response_rank,alpha,mean_rmse,n_validation_lines
0,CCLR,0,5,2,0.01,0.3338660093867635,19
0,CCLR,0,5,2,0.1,0.33386276884827737,19
0,CCLR,0,5,2,1.0,0.3338314907752541,19
0,CCLR,0,5,2,10.0,0.3336068662136457,19
0,CCLR,0,5,2,100.0,0.33340278431107206,19
0,CCLR,0,5,5,0.01,0.3348150150292185,19
0,CCLR,0,5,5,0.1,0.33480620684895185,19
0,CCLR,0,5,5,1.0,0.3347209200584569,19
0,CCLR,0,5,5,10.0,0.3340885805267611,19
0,CCLR,0,5,5,100.0,0.3331711926116972,19
0,CCLR,0,5,10,0.01,0.33592178361489927,19
0,CCLR,0,5,10,0.1,0.3359079448402724,19
0,CCLR,0,5,10,1.0,0.3357737790306953,19
0,CCLR,0,5,10,10.0,0.33476666496864266,19
0,CCLR,0,5,10,100.0,0.3331033610397347,19
0,CCLR,0,5,20,0.01,0.3364383200961087,19
0,CCLR,0,5,20,0.1,0.33642012907274405,19
0,CCLR,0,5,20,1.0,0.3362437871574381,19
0,CCLR,0,5,20,10.0,0.33492175911275934,19
0,CCLR,0,5,20,100.0,0.33278254999808726,19
0,CCLR,0,10,2,0.01,0.3339820007928638,19
0,CCLR,0,10,2,0.1,0.3339777294991191,19
0,CCLR,0,10,2,1.0,0.33393647149877326,19
0,CCLR,0,10,2,10.0,0.3336378564911083,19
0,CCLR,0,10,2,100.0,0.33332521184515423,19
0,CCLR,0,10,5,0.01,0.3374910244075484,19
0,CCLR,0,10,5,0.1,0.33747272720816773,19
0,CCLR,0,10,5,1.0,0.3372950467211792,19
0,CCLR,0,10,5,10.0,0.3359401887675389,19
0,CCLR,0,10,5,100.0,0.3333715747266384,19
0,CCLR,0,10,10,0.01,0.3397961685488761,19
0,CCLR,0,10,10,0.1,0.3397682468983296,19
0,CCLR,0,10,10,1.0,0.3394969612002683,19
0,CCLR,0,10,10,10.0,0.3374181605103829,19
0,CCLR,0,10,10,100.0,0.33333364936919635,19
0,CCLR,0,10,20,0.01,0.34056078620040986,19
0,CCLR,0,10,20,0.1,0.34052667525478797,19
0,CCLR,0,10,20,1.0,0.34019539482724337,19
0,CCLR,0,10,20,10.0,0.3376675451227244,19
0,CCLR,0,10,20,100.0,0.332892238579852,19
0,CCLR,0,20,2,0.01,0.3345529984655333,19
0,CCLR,0,20,2,0.1,0.3345470781277074,19
0,CCLR,0,20,2,1.0,0.3344897305877258,19
0,CCLR,0,20,2,10.0,0.33406291967491136,19
0,CCLR,0,20,2,100.0,0.33342094860746996,19
0,CCLR,0,20,5,0.01,0.33862643844384427,19
0,CCLR,0,20,5,0.1,0.3386038815373458,19
0,CCLR,0,20,5,1.0,0.3383847105803273,19
0,CCLR,0,20,5,10.0,0.33670478323406017,19
0,CCLR,0,20,5,100.0,0.3334081853611554,19
0,CCLR,0,20,10,0.01,0.34151707062782466,19
0,CCLR,0,20,10,0.1,0.3414829271995368,19
0,CCLR,0,20,10,1.0,0.3411510331070996,19
0,CCLR,0,20,10,10.0,0.33859671094221183,19
0,CCLR,0,20,10,100.0,0.33342802759851103,19
0,CCLR,0,20,20,0.01,0.3433470131713319,19
0,CCLR,0,20,20,0.1,0.3433028463992011,19
0,CCLR,0,20,20,1.0,0.3428736072211475,19
0,CCLR,0,20,20,10.0,0.3395771403418158,19
0,CCLR,0,20,20,100.0,0.33304972478688005,19
0,CCLR,0,30,2,0.01,0.3343703010762098,19
0,CCLR,0,30,2,0.1,0.3343653274929779,19
0,CCLR,0,30,2,1.0,0.3343171702629612,19
0,CCLR,0,30,2,10.0,0.33396019714655695,19
0,CCLR,0,30,2,100.0,0.3334478237944083,19
0,CCLR,0,30,5,0.01,0.33864972720838027,19
0,CCLR,0,30,5,0.1,0.33862719489425824,19
0,CCLR,0,30,5,1.0,0.338408240270542,19
0,CCLR,0,30,5,10.0,0.33672847649148024,19
0,CCLR,0,30,5,100.0,0.33341831617388373,19
0,CCLR,0,30,10,0.01,0.3417428606197113,19
0,CCLR,0,30,10,0.1,0.34170795993100006,19
0,CCLR,0,30,10,1.0,0.3413686782577744,19
0,CCLR,0,30,10,10.0,0.3387556477577462,19
0,CCLR,0,30,10,100.0,0.3334453872726854,19
0,CCLR,0,30,20,0.01,0.3438763824128963,19
0,CCLR,0,30,20,0.1,0.34383031918479134,19
0,CCLR,0,30,20,1.0,0.3433826030082341,19
0,CCLR,0,30,20,10.0,0.3399409391883014,19
0,CCLR,0,30,20,100.0,0.3330795841669244,19
0,CCLR,1,5,2,0.01,0.3188192454256808,18
0,CCLR,1,5,2,0.1,0.31881385008692537,18
0,CCLR,1,5,2,1.0,0.3187615323541791,18
0,CCLR,1,5,2,10.0,0.3183681575174639,18
0,CCLR,1,5,2,100.0,0.3177178316170277,18
0,CCLR,1,5,5,0.01,0.31938365125315865,18
0,CCLR,1,5,5,0.1,0.3193743826625363,18
0,CCLR,1,5,5,1.0,0.31928449954715143,18
0,CCLR,1,5,5,10.0,0.31860826331270986,18
0,CCLR,1,5,5,100.0,0.31748932394566876,18
0,CCLR,1,5,10,0.01,0.32072226925851066,18
0,CCLR,1,5,10,0.1,0.320705733997018,18
0,CCLR,1,5,10,1.0,0.32054528807982985,18
0,CCLR,1,5,10,10.0,0.31933149512614345,18
0,CCLR,1,5,10,100.0,0.31722201233059155,18
0,CCLR,1,5,20,0.01,0.3222692912668871,18
0,CCLR,1,5,20,0.1,0.32224417609448053,18
0,CCLR,1,5,20,1.0,0.3220004069053905,18
0,CCLR,1,5,20,10.0,0.3201515304014928,18
0,CCLR,1,5,20,100.0,0.3168810763722123,18
0,CCLR,1,10,2,0.01,0.32002393188543143,18
0,CCLR,1,10,2,0.1,0.32001343101592294,18
0,CCLR,1,10,2,1.0,0.31991146905448836,18
0,CCLR,1,10,2,10.0,0.3191348645338241,18
0,CCLR,1,10,2,100.0,0.31768880970911056,18
0,CCLR,1,10,5,0.01,0.3211445254893333,18
0,CCLR,1,10,5,0.1,0.32112794143260476,18
0,CCLR,1,10,5,1.0,0.3209669095633525,18
0,CCLR,1,10,5,10.0,0.31974035332570855,18
0,CCLR,1,10,5,100.0,0.31746566365676365,18
0,CCLR,1,10,10,0.01,0.3236945656213162,18
0,CCLR,1,10,10,0.1,0.3236664826441963,18
0,CCLR,1,10,10,1.0,0.3233936383464981,18
0,CCLR,1,10,10,10.0,0.32130442724519365,18
0,CCLR,1,10,10,100.0,0.3172819482730594,18
0,CCLR,1,10,20,0.01,0.32605933886368554,18
0,CCLR,1,10,20,0.1,0.3260193405947561,18
0,CCLR,1,10,20,1.0,0.3256306844556251,18
0,CCLR,1,10,20,10.0,0.3226520571688314,18
0,CCLR,1,10,20,100.0,0.3169189697041426,18
0,CCLR,1,20,2,0.01,0.31931463607390703,18
0,CCLR,1,20,2,0.1,0.3193030943964091,18
0,CCLR,1,20,2,1.0,0.31919125743764115,18
0,CCLR,1,20,2,10.0,0.31835689607321765,18
0,CCLR,1,20,2,100.0,0.3171151384276127,18
0,CCLR,1,20,5,0.01,0.32080889871047263,18
0,CCLR,1,20,5,0.1,0.32078970890392067,18
0,CCLR,1,20,5,1.0,0.3206035785672508,18
0,CCLR,1,20,5,10.0,0.3192013358103603,18
0,CCLR,1,20,5,100.0,0.31688343757507315,18
0,CCLR,1,20,10,0.01,0.32481408259393874,18
0,CCLR,1,20,10,0.1,0.3247784184920821,18
0,CCLR,1,20,10,1.0,0.32443195606427655,18
0,CCLR,1,20,10,10.0,0.32178286810288037,18
0,CCLR,1,20,10,100.0,0.3168073971058759,18
0,CCLR,1,20,20,0.01,0.32826287393047116,18
0,CCLR,1,20,20,0.1,0.32821156172576393,18
0,CCLR,1,20,20,1.0,0.32771287528563897,18
0,CCLR,1,20,20,10.0,0.32388549253820287,18
0,CCLR,1,20,20,100.0,0.3165158730860591,18
0,CCLR,1,30,2,0.01,0.3193967453281065,18
0,CCLR,1,30,2,0.1,0.31938508248638975,18
0,CCLR,1,30,2,1.0,0.31927204903876416,18
0,CCLR,1,30,2,10.0,0.31842715145270856,18
0,CCLR,1,30,2,100.0,0.31714469061352557,18
0,CCLR,1,30,5,0.01,0.3207442584753255,18
0,CCLR,1,30,5,0.1,0.32072554570454537,18
0,CCLR,1,30,5,1.0,0.3205440364488102,18
0,CCLR,1,30,5,10.0,0.3191762549328765,18
0,CCLR,1,30,5,100.0,0.31691328082558307,18
0,CCLR,1,30,10,0.01,0.3253083919039696,18
0,CCLR,1,30,10,0.1,0.32527115212683266,18
0,CCLR,1,30,10,1.0,0.3249092971854584,18
0,CCLR,1,30,10,10.0,0.32213654675470127,18
0,CCLR,1,30,10,100.0,0.3168521895002465,18
0,CCLR,1,30,20,0.01,0.3292580170982824,18
0,CCLR,1,30,20,0.1,0.32920340848678875,18
0,CCLR,1,30,20,1.0,0.3286725481107952,18
0,CCLR,1,30,20,10.0,0.32458852906627017,18
0,CCLR,1,30,20,100.0,0.31659413417608806,18
0,CCLR,2,5,2,0.01,0.3156608607563835,19
0,CCLR,2,5,2,0.1,0.3156543395676417,19
0,CCLR,2,5,2,1.0,0.31559113413787193,19
0,CCLR,2,5,2,10.0,0.31511782086682427,19
0,CCLR,2,5,2,100.0,0.31435088319963983,19
0,CCLR,2,5,5,0.01,0.3164514402566183,19
0,CCLR,2,5,5,0.1,0.31644066372682667,19
0,CCLR,2,5,5,1.0,0.31633616078712645,19
0,CCLR,2,5,5,10.0,0.315549687341309,19
0,CCLR,2,5,5,100.0,0.31421113287837266,19
0,CCLR,2,5,10,0.01,0.31801508922945,19
0,CCLR,2,5,10,0.1,0.3179971611366042,19
0,CCLR,2,5,10,1.0,0.3178231663858347,19
0,CCLR,2,5,10,10.0,0.31650361730758614,19
0,CCLR,2,5,10,100.0,0.31410540919526675,19
0,CCLR,2,5,20,0.01,0.3190181317263338,19
0,CCLR,2,5,20,0.1,0.31899472277574276,19
0,CCLR,2,5,20,1.0,0.31876751456593283,19
0,CCLR,2,5,20,10.0,0.3170432060582035,19
0,CCLR,2,5,20,100.0,0.3139067134123154,19
0,CCLR,2,10,2,0.01,0.31633786173228196,19
0,CCLR,2,10,2,0.1,0.31632916786664544,19
0,CCLR,2,10,2,1.0,0.3162447398573973,19
0,CCLR,2,10,2,10.0,0.3156010537568716,19
0,CCLR,2,10,2,100.0,0.31440881035261564,19
0,CCLR,2,10,5,0.01,0.3176966827955947,19
0,CCLR,2,10,5,0.1,0.31768135160156796,19
0,CCLR,2,10,5,1.0,0.31753246322822676,19
0,CCLR,2,10,5,10.0,0.3163967282625222,19
0,CCLR,2,10,5,100.0,0.314260284207789,19
0,CCLR,2,10,10,0.01,0.31921828648035877,19
0,CCLR,2,10,10,0.1,0.3191947940733395,19
0,CCLR,2,10,10,1.0,0.31896664988611784,19
0,CCLR,2,10,10,10.0,0.31722673820773223,19
0,CCLR,2,10,10,100.0,0.3139737022361821,19
0,CCLR,2,10,20,0.01,0.32119258037677145,19
0,CCLR,2,10,20,0.1,0.3211596956140877,19
0,CCLR,2,10,20,1.0,0.32084027338214777,19
0,CCLR,2,10,20,10.0,0.31839975369608203,19
0,CCLR,2,10,20,100.0,0.31377510553147187,19
0,CCLR,2,20,2,0.01,0.31648698527837943,19
0,CCLR,2,20,2,0.1,0.31647715240402585,19
0,CCLR,2,20,2,1.0,0.3163816979098144,19
0,CCLR,2,20,2,10.0,0.31565631346732487,19
