cell_line,depmap_id,lineage,outer_fold,model,rmse_delta,nrmse_delta,pcc_delta,spearman_delta,signed_top50_overlap,pcc_context,rmse_gain_vs_b1,nrmse_gain_vs_b1,rmse_gain_vs_b4,nrmse_gain_vs_b4
8505C_THYROID,ACH-001307,thyroid,0,CCLR,0.28564227967616496,0.8498824242653744,0.5213573088179421,0.4198903480646694,0.27,0.11377887620037398,0.0018215997923023974,0.005419875689545717,-0.0007475745448373705,-0.002224287200080277
A2780_OVARY,ACH-000657,ovary,0,CCLR,0.27415866258118604,0.8627175847578349,0.5044956062689064,0.40198844117961263,0.16,0.02622407408794633,-0.0009421274855684891,-0.0029646699514480623,-0.001661213662231542,-0.005227477494068489
AGS_STOMACH,ACH-000880,gastric,0,CCLR,0.2835551719163567,0.8782361924952048,0.47356020896300915,0.36640446102508156,0.21,0.08292002571639516,0.0003741920326956749,0.0011589595909525796,-0.0003035016274759994,-0.0009400149957737858
BEN_LUNG,ACH-000603,lung,0,CCLR,0.27820553174964163,1.0243261927666305,0.27003642157012986,0.19994691633935058,0.21000000000000002,0.04209090529027576,-0.007481484754036705,-0.02754611220757608,-0.0025789190651144267,-0.009495333650659132
DMS273_LUNG,ACH-000749,lung,0,CCLR,0.20918402274025752,0.9211996535817546,0.41155433299482125,0.3171504157119105,0.31000000000000005,0.2527770106673776,0.006738839805233432,0.029676343407126216,0.0012318990479393832,0.005425007901385448
HCC1195_LUNG,ACH-000868,lung,0,CCLR,0.34315057576670416,0.9000511962021358,0.44218300721771236,0.34102057768444843,0.18000000000000002,0.057941286817728505,0.00032654818008343023,0.0008565046975224089,0.0004731070865612308,0.0012409147157621536
ISTMES1_PLEURA,ACH-000569,mesothelioma,0,CCLR,0.311136521457952,0.8941472774953256,0.4437201724778129,0.37132909172640377,0.14,0.04216615940027663,-0.000510677334538967,-0.0014675896812657019,-0.0009335919807602067,-0.0026829660625392604
J82_URINARY_TRACT,ACH-000396,urinary_tract,0,CCLR,0.21999204341786974,0.8980048834660951,0.4629264336219406,0.3555308404962502,0.26,0.008640226414245165,-0.002320618485047471,-0.009472736831104167,-0.0029870632841336453,-0.012193156510115766
KNS81_CENTRAL_NERVOUS_SYSTEM,ACH-000479,central_nervous_system,0,CCLR,0.34270324370611394,0.8913751569897861,0.4522371871538948,0.36021243779920076,0.18,0.10597891703767268,0.0020065250300344006,0.0052189951408357915,0.00039406868615293744,0.0010249772753407882
LOVO_LARGE_INTESTINE,ACH-000950,colorectal,0,CCLR,0.29190275571158175,0.8405381156343542,0.5425771449618747,0.4135460991463226,0.25,0.1643028265195025,0.003954417868666682,0.01138680220971977,-0.0018155213233217449,-0.0052278193409953655
