model,metric,macro_mean,ci95_low,ci95_high,n_cell_lines,bootstrap_replicates
CCLR,rmse_delta,0.32238303352471676,0.30545958137060614,0.3415904156247177,94,2000
CCLR,nrmse_delta,0.9042228745300002,0.8942325631986582,0.9137168099684043,94,2000
CCLR,pcc_delta,0.4255012860680672,0.40649529916661564,0.44494005792121244,94,2000
CCLR,spearman_delta,0.33469525704161035,0.3209780058752731,0.3485834270177892,94,2000
CCLR,signed_top50_overlap,0.19117021276595744,0.17563829787234045,0.20628457446808512,94,2000
CCLR,pcc_context,0.09652083882218145,0.08494832999520624,0.1090307330538829,94,2000
CCLR,rmse_gain_vs_b1,0.0013665906608175576,0.0008227561682265964,0.0019328389507898848,94,2000
CCLR,nrmse_gain_vs_b1,0.003762560702962454,0.0021115881035476177,0.0052690808336030735,94,2000
CCLR,rmse_gain_vs_b4,-0.0003482667207000465,-0.0005839714635708632,-0.00010519054112614201,94,2000
CCLR,nrmse_gain_vs_b4,-0.0011323023035896215,-0.0018760337939408198,-0.00032753740274459156,94,2000
