outer_fold_a,outer_fold_b,common_rank,mean_squared_cosine,minimum_cosine,maximum_cosine
0,1,20,0.6888203177327734,0.002540222102341599,0.999824121739416
0,2,20,0.7554414666250041,0.0015977163301237238,0.9997865094624053
0,3,20,0.6854202849188429,0.01696983653903771,0.9998421893682404
0,4,20,0.6990811886214379,0.019940147634344187,0.9997850542687698
1,2,20,0.6762915168641438,0.01089089857528015,0.999761891140101
1,3,20,0.6270257456674244,0.007671980820249899,0.9998756079498771
1,4,20,0.6428157345814444,0.0035041725413613714,0.9998163723568968
2,3,20,0.658407552145864,0.006477465860495496,0.9998771949633001
2,4,20,0.6977776144081943,0.013144781649721684,0.9997507814598928
3,4,20,0.6292806109332966,0.014729546186223026,0.9998734722462437
