cell_line,dmso_6h_vs_24h_pcc,dmso_6h_vs_24h_spearman,dmso_6h_vs_24h_rmse,trametinib_24h_vs_dmso_24h_rmse,control_to_treatment_rmse_ratio,primary_strict_eligible
22RV1_PROSTATE,0.9578663942057466,0.9421581648214891,0.49896233804339724,0.5702304189116979,0.8750188020409049,True
42MGBA_CENTRAL_NERVOUS_SYSTEM,0.9840317424070748,0.9733697993794307,0.31173533207874593,0.3189039428181559,0.977521097180358,True
769P_KIDNEY,0.9807904536764783,0.9652395422505099,0.34548367611632896,0.395574326121702,0.8733723432041891,True
786O_KIDNEY,0.987449039682598,0.9771473422682335,0.27908314964981007,0.2865707193663609,0.9738718256592764,True
8505C_THYROID,0.9791817480071661,0.9652420101241569,0.36060243069969283,0.45564123605992685,0.7914174621637311,True
A2780_OVARY,0.9825741166056375,0.9694212005990319,0.327823391457716,0.4250014457261549,0.7713465324749635,True
A375_SKIN,0.9765971447760528,0.9627619386091143,0.36979511730430775,0.6447787627592846,0.5735224834667259,True
ACCMESO1_PLEURA,0.9864913945576119,0.9764916276516781,0.2899851276920316,0.29171544160874197,0.9940684870599648,True
AGS_STOMACH,0.983267711635732,0.9676116216634654,0.3216199151525858,0.43209845595172586,0.744320908169404,True
BEN_LUNG,0.9733516649088413,0.9609986317372765,0.3914404465741594,0.35446510968420736,1.1043130505083936,True
CAL120_BREAST,0.9817760286191453,0.9681335214756489,0.3349178364268238,0.3363974491500593,0.9956015935109678,True
CAL62_THYROID,0.988107028282037,0.9765553890483778,0.2677555225425444,0.4221544278019821,0.6342596569143157,True
CAOV3_OVARY,0.974103747656487,0.9610231307403803,0.38845153306992586,0.4416485517501793,0.8795489796820514,True
CJM_SKIN,0.958064477720389,0.9428302525467636,0.4994052077628743,0.6508126694468553,0.7673563088243708,True
COLO668_LUNG,0.9498114694066351,0.9385386646422061,0.5483584876618037,0.5703951168379062,0.9613660276436679,True
COLO680N_OESOPHAGUS,0.974226596658253,0.9605088616641688,0.3918076540983967,0.41528646117181206,0.9434635865393605,True
COV434_OVARY,0.959508647856148,0.9379906828233008,0.48468492204394514,0.4688539101126729,1.033765340524659,True
DMS273_LUNG,0.9823179439617804,0.9720611376838876,0.3074269574189304,0.2997087307274834,1.0257524252720718,True
EFM192A_BREAST,0.9591862311015839,0.9376110838643786,0.49557514114979934,0.5305770003164932,0.9340305758715228,True
G401_SOFT_TISSUE,0.9745015388790738,0.9599175931820471,0.39379883568453683,0.41930217584377993,0.9391767044663634,True
GCIY_STOMACH,0.9858777784747375,0.9759613894540438,0.2865146433021032,0.33322304726724516,0.859828411185251,True
GP2D_LARGE_INTESTINE,0.9816439174467858,0.9659891719843935,0.3405642135770633,0.3823938482751036,0.8906111202187881,True
