cell_line,control_6h_to_24h_rmse,drug_24h_response_rmse,control_vs_drug_pcc,control_vs_drug_cosine,lineage
22RV1_PROSTATE,0.3773215413093567,0.4291795790195465,-0.3696292722905016,-0.37500542402267456,prostate
42MGBA_CENTRAL_NERVOUS_SYSTEM,0.23467011749744415,0.2393742799758911,-0.38328976537739273,-0.3863939046859741,central_nervous_system
769P_KIDNEY,0.257670521736145,0.2926146388053894,-0.2797860363073103,-0.28307947516441345,kidney
786O_KIDNEY,0.20849139988422394,0.21295984089374542,-0.3566244758464465,-0.3569529950618744,kidney
8505C_THYROID,0.26799264550209045,0.33609622716903687,-0.25992222601016834,-0.26731961965560913,thyroid
A2780_OVARY,0.24757584929466248,0.31778496503829956,-0.22892425405015937,-0.23291654884815216,ovary
A375_SKIN,0.2777407169342041,0.4741194248199463,-0.15327493413466867,-0.15642833709716797,skin
ACCMESO1_PLEURA,0.21759408712387085,0.21830463409423828,-0.3860385518282552,-0.3908018469810486,mesothelioma
AGS_STOMACH,0.24087823927402496,0.3228689134120941,-0.2656319408298347,-0.26863181591033936,gastric
BEN_LUNG,0.29993653297424316,0.27159857749938965,-0.4025384138571724,-0.4086781144142151,lung
CAL120_BREAST,0.24935472011566162,0.24861155450344086,-0.37895376302965866,-0.3759080469608307,breast
CAL62_THYROID,0.19854019582271576,0.30760458111763,-0.27395023632860904,-0.2763500213623047,thyroid
CAOV3_OVARY,0.290144145488739,0.3275239169597626,-0.40887449968341655,-0.40814629197120667,ovary
CJM_SKIN,0.3756355345249176,0.48506876826286316,-0.4176131537699773,-0.4283008277416229,skin
COLO668_LUNG,0.41976696252822876,0.4336074888706207,-0.41181150859262694,-0.40748298168182373,lung
COLO680N_OESOPHAGUS,0.2931293547153473,0.31068530678749084,-0.3259990558228339,-0.3267528712749481,esophagus
COV434_OVARY,0.36399829387664795,0.35401812195777893,-0.42740754826900357,-0.44004106521606445,ovary
DMS273_LUNG,0.23428978025913239,0.22707784175872803,-0.3269404012140642,-0.3233218491077423,lung
EFM192A_BREAST,0.3698614239692688,0.3948540985584259,-0.3773634146306203,-0.3842300772666931,breast
G401_SOFT_TISSUE,0.2982771396636963,0.3188089430332184,-0.3808398843313869,-0.3873477876186371,rhabdoid
GCIY_STOMACH,0.21553359925746918,0.24907171726226807,-0.2469797873601119,-0.2547845244407654,gastric
