cell_line,depmap_id,lineage,trametinib_sensitivity,braf_mut,kras_mut,b4_rmse,cclr_rmse,b4_pcc_context,response_rms,baseline_novelty,min_condition_cells,high_error,high_response_magnitude,high_baseline_novelty,low_cell_support,error_type
22RV1_PROSTATE,ACH-000956,prostate,0.0079469975439927,True,False,0.4132808941291311,0.41314578915467,0.0840558215306248,0.42917958,3.6577530233277726,43,True,True,True,False,high_magnitude_target
42MGBA_CENTRAL_NERVOUS_SYSTEM,ACH-000323,central_nervous_system,0.1775866468282517,False,False,0.2120563830810573,0.2121002485365168,0.139189112930812,0.23937428,2.014951171963817,77,False,False,False,False,not_high_error
769P_KIDNEY,ACH-000411,kidney,0.2736673796266646,False,False,0.2599334572543249,0.2608279330882102,0.1001041954235523,0.29261464,2.7858285097154742,110,False,False,False,False,not_high_error
786O_KIDNEY,ACH-000649,kidney,0.0349524520807895,False,False,0.1878683842500525,0.188395856343148,0.2156052127762888,0.21295984,2.1446987316418933,108,False,False,False,False,not_high_error
8505C_THYROID,ACH-001307,thyroid,0.4970700107144639,True,False,0.2848947051313276,0.2856422796761649,0.1370177066449724,0.33609623,2.2856769409944913,91,False,False,False,False,not_high_error
A2780_OVARY,ACH-000657,ovary,0.5041144362625961,False,False,0.2724974489189545,0.274158662581186,0.1096369301073702,0.31778497,2.940414688110538,182,False,False,True,False,not_high_error
A375_SKIN,ACH-000219,skin,0.722933737059346,True,False,0.3831290237884984,0.3841101561024216,0.2587676735289194,0.47411942,3.301796975013928,102,True,True,True,False,high_magnitude_target
ACCMESO1_PLEURA,ACH-000086,mesothelioma,0.1040908563019797,False,False,0.1898660328746673,0.1898493504579024,0.1411983891057049,0.21830463,2.8171812246373684,97,False,False,False,False,not_high_error
AGS_STOMACH,ACH-000880,gastric,0.7170635141005686,False,True,0.2832516702888807,0.2835551719163567,0.0918754057574141,0.3228689,2.5443886090907095,101,False,False,False,False,not_high_error
BEN_LUNG,ACH-000603,lung,-0.0784506400612672,False,False,0.2756266126845272,0.2782055317496416,0.0676910565630592,0.27159858,3.2155550216668747,74,False,False,True,False,not_high_error
