model,rmse_delta_mean,rmse_delta_ci95_low,rmse_delta_ci95_high,nrmse_delta_mean,nrmse_delta_ci95_low,nrmse_delta_ci95_high,pcc_delta_mean,pcc_delta_ci95_low,pcc_delta_ci95_high,spearman_delta_mean,spearman_delta_ci95_low,spearman_delta_ci95_high,signed_top50_overlap_mean,signed_top50_overlap_ci95_low,signed_top50_overlap_ci95_high,pcc_context_mean,pcc_context_ci95_low,pcc_context_ci95_high,rmse_gain_vs_b1_mean,rmse_gain_vs_b1_ci95_low,rmse_gain_vs_b1_ci95_high,nrmse_gain_vs_b1_mean,nrmse_gain_vs_b1_ci95_low,nrmse_gain_vs_b1_ci95_high,rmse_gain_vs_b4_mean,rmse_gain_vs_b4_ci95_low,rmse_gain_vs_b4_ci95_high,rmse_gain_vs_cclr_mean,rmse_gain_vs_cclr_ci95_low,rmse_gain_vs_cclr_ci95_high
B1_MEAN_W5,0.3237496241855342,0.3062497826572377,0.3428901485625492,0.9079854352329624,0.8989731105536111,0.917108850851596,0.4200861744784883,0.4016290492221316,0.4389982355878494,0.3327027969402943,0.3184273778310608,0.3466705412536622,0.1808510638297872,0.1645718085106383,0.1964920212765957,,,,0.0,0.0,0.0,0.0,0.0,0.0,-0.0017148573815175,-0.0022773959374444,-0.0011964805442184,-0.0013665906608175,-0.0019141053784117,-0.0007869469009615
B4_DIRECT_RIDGE_W5,0.3220347668040167,0.3049147289455143,0.3397044459868045,0.9030905722264104,0.8930698841981812,0.9130824935551752,0.4280005057446583,0.4086934978641514,0.4485463745972508,0.3356710603621854,0.3211339420095093,0.3495144959766521,0.1956382978723404,0.1803164893617021,0.2123404255319148,0.1076663459139125,0.0960647491295154,0.1187465599331244,0.0017148573815175,0.0011792360478743,0.0022550016183607,0.004894863006552,0.0033606235503021,0.0064420433485547,0.0,0.0,0.0,0.0003482667207,0.0001097324315201,0.0005813031833531
CCLR_NESTED_W6,0.3223830335247167,0.3059328563387072,0.3405915957953994,0.9042228745300002,0.894170935185001,0.9141859933544207,0.4255012860680672,0.4062153894307516,0.444294913554637,0.3346952570416103,0.3206235030592025,0.3495915331116863,0.1911702127659574,0.1759494680851064,0.2070239361702127,0.0965208388221814,0.0844914506673195,0.1081565899494613,0.0013665906608175,0.0007968148957048,0.0019325251159808,0.0037625607029624,0.0021898956411283,0.0053219324467846,-0.0003482667207,-0.0005849480946312,-0.0001078921063331,0.0,0.0,0.0
FIXED_FULL_D20_R20,0.3223501419453531,0.3053588065797576,0.3403632327396049,0.9042116582343306,0.8940063681161406,0.9147327703940086,0.4250802206530075,0.4065210268017845,0.4456807308762913,0.3340760118677713,0.319697505480399,0.3487277730620732,0.1913829787234043,0.1745744680851064,0.2076595744680851,0.0997633664665156,0.0875680616965005,0.1130361398427213,0.0013994822439277,0.0008018016865884,0.0019868759118663,0.0037737770088351,0.0020242163510521,0.0055081525343708,-0.0003153751413364,-0.0006117764984568,-4.373150479547994e-05,3.289157936359495e-05,-0.0001645716032973,0.0002479710412484
CONTROL_D05_R20,0.3224225015830441,0.3042726235489981,0.3403595720523977,0.9041813331417032,0.8947230739300162,0.9136431923833568,0.4259690380873424,0.4079158324467144,0.4453014165462937,0.3352973838279938,0.3201226107730397,0.3492383633185772,0.1868085106382979,0.1709494680851063,0.2025611702127659,0.0900106026475488,0.0770983703131056,0.1029640879135852,0.0013271226062368,0.0009263345505955,0.0017817749738426,0.0038041021014629,0.0025095545021065,0.0050664458809661,-0.0003877347790273,-0.0006450665080259,-0.0001547042327638,-3.946805832730954e-05,-0.0003461192506357,0.0002715294937322
CONTROL_D10_R20,0.3223139559562543,0.3045899573225442,0.340105916030538,0.903977214021814,0.8936871961438494,0.9138990583073237,0.4258770810293079,0.4051622042664698,0.4438984105430573,0.3347156530085831,0.320611573733227,0.3492161039808417,0.1921276595744681,0.1762739361702127,0.2090452127659574,0.0986405518388686,0.0869545166121174,0.110706963692189,0.0014356682330264,0.0009023635504951,0.0019840125562107,0.0040082212213519,0.0025219469268204,0.0055643975149226,-0.0002791891522376,-0.0004246362863365,-0.0001398212185923,6.907756846237955e-05,-0.0001637728135527,0.0003089005261365
CONTROL_D30_R20,0.3223644486408963,0.3052621686379272,0.3397399385612926,0.9043072519804674,0.8941924557093858,0.9144640768704356,0.4250121728914092,0.4055816987615648,0.4452000857592877,0.3339820651484396,0.3196631672099541,0.3486527222990585,0.1932978723404255,0.176595744680851,0.2091489361702127,0.1003907292315631,0.0876417499959337,0.1120078975465899,0.0013851755483845,0.0007552714949103,0.0019983249300596,0.0036781832626986,0.0017814503842272,0.0055687965442787,-0.0003296818368795,-0.0006512645044906,-8.388461261453273e-06,1.8584883820459463e-05,-0.0002234621897842,0.0002426857361104
RANK_D20_R02,0.3228293574927278,0.306653409796336,0.3413233150899244,0.9053568699514086,0.8957799635312309,0.9150158016172232,0.4220399592023227,0.4029308647804778,0.4417868097180861,0.3332123992493057,0.319688163392653,0.3478607384954073,0.1842553191489362,0.168188829787234,0.2001090425531914,0.0718101557441428,0.0514228662721695,0.091790365382195,0.000920266696553,0.0004748807631946,0.0013640503058874,0.0026285652917572,0.0013658764730982,0.0039150987826676,-0.000794590688711,-0.0011397663230171,-0.0004508345823848,-0.000446323968011,-0.0007731773644135,-0.0001330465277574
RANK_D20_R05,0.3226347358113832,0.3055404179880664,0.340985285362738,0.9048215161647172,0.8950423987679113,0.9152661462145384,0.4225335972651501,0.4042708213169168,0.4419020515296502,0.3332956262069352,0.3195030508913702,0.3467349048505269,0.1861702127659574,0.1702074468085106,0.2014893617021276,0.0812923310410776,0.0646741784563504,0.0970935635565519,0.0011148883778976,0.0005910505257468,0.001631086699172,0.0031639190784486,0.0016603933220596,0.0046434077942222,-0.0005999690073664,-0.0009851806249379,-0.0002311317034228,-0.0002517022866664,-0.0005722222265725,9.246943220349036e-05
RANK_D20_R10,0.322531551953071,0.3056225637741417,0.3402336241641852,0.904567943087611,0.8949099781772808,0.9140081215476636,0.4235705671872029,0.4039627841661177,0.4432800897257926,0.333783053354394,0.3204046976419046,0.3483982306666415,0.1882978723404256,0.1730797872340425,0.2040452127659574,0.0893709147589575,0.0759725491182568,0.1035356082043554,0.0012180722362098,0.0007048464692307,0.0017362377110036,0.0034174921555547,0.0018893017981058,0.005067625883944,-0.0004967851490542,-0.0008101501124309,-0.0001798753772285,-0.0001485184283542,-0.0004036755914503,0.000108979797672
