cell_line,held_out_lineage,b1_rmse,b4_rmse,rmse_gain_vs_b1
HUCCT1_BILIARY_TRACT,bile_duct,0.36231585919194115,0.3511483944239408,0.011167464768000346
SNU245_BILIARY_TRACT,bile_duct,0.3540220804101823,0.3520361383058524,0.0019859421043298964
CAL120_BREAST,breast,0.22202414753474134,0.22282914708116336,-0.0008049995464220194
EFM192A_BREAST,breast,0.3751610276698168,0.3760465367475657,-0.000885509077748925
HCC1143_BREAST,breast,0.2994765587820507,0.29948358871059316,-7.029928542456876e-06
HCC1419_BREAST,breast,0.4165456043929689,0.4174639313622227,-0.0009183269692538132
MDAMB468_BREAST,breast,0.2610347239370048,0.25873507032727355,0.0022996536097312226
42MGBA_CENTRAL_NERVOUS_SYSTEM,central_nervous_system,0.2142917049561984,0.2158875574337679,-0.0015958524775694927
KNS42_CENTRAL_NERVOUS_SYSTEM,central_nervous_system,0.2904472757713866,0.2932389820730902,-0.002791706301703556
KNS60_CENTRAL_NERVOUS_SYSTEM,central_nervous_system,0.28169422482725615,0.27837534155906674,0.00331888326818941
KNS81_CENTRAL_NERVOUS_SYSTEM,central_nervous_system,0.34514357705553933,0.3431744127617014,0.0019691642938379217
LN229_CENTRAL_NERVOUS_SYSTEM,central_nervous_system,0.3144915643644713,0.31276776700292225,0.0017237973615490398
SNB75_CENTRAL_NERVOUS_SYSTEM,central_nervous_system,0.34261338589621476,0.34739425850078215,-0.004780872604567388
SNU1105_CENTRAL_NERVOUS_SYSTEM,central_nervous_system,0.3393095970589691,0.3381454300889361,0.0011641669700330204
GP2D_LARGE_INTESTINE,colorectal,0.26131001998733455,0.2609300962120709,0.0003799237752636353
LOVO_LARGE_INTESTINE,colorectal,0.29498631081912646,0.2891477336159692,0.00583857720315728
SW480_LARGE_INTESTINE,colorectal,0.4399150397210725,0.4381545609995222,0.0017604787215502737
SW48_LARGE_INTESTINE,colorectal,0.42818833451019644,0.42899682135317885,-0.0008084868429824033
COLO680N_OESOPHAGUS,esophagus,0.27422762162023695,0.2746104122363919,-0.0003827906161549266
KYSE270_OESOPHAGUS,esophagus,0.2524947275422438,0.2574482719150827,-0.004953544372838903
TE11_OESOPHAGUS,esophagus,0.2887690236197642,0.30009956439984875,-0.011330540780084553
