cell_line,depmap_id,author_ccle_id,lineage,lineage_subtype,trametinib_auc,trametinib_sensitivity,prism_auc,gdsc_auc,braf_mut,kras_mut,hras_mut,nras_mut,annotation_source,sensitivity_use,control_pc1,control_pc2,response_pc1,response_pc2
22RV1_PROSTATE,ACH-000956,22RV1_PROSTATE,prostate,,0.9920530024560072,0.0079469975439927,1.24218265366475,0.925561,True,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input,27.113907,-31.25889,7.043379,-3.461905
42MGBA_CENTRAL_NERVOUS_SYSTEM,ACH-000323,42MGBA_CENTRAL_NERVOUS_SYSTEM,central_nervous_system,glioma,0.8224133531717482,0.1775866468282517,0.780042008409087,0.862649,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input,-40.89357,10.551243,6.263787,-1.5719662
769P_KIDNEY,ACH-000411,769P_KIDNEY,kidney,,0.7263326203733353,0.2736673796266646,0.841792780927865,0.493203,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input,-6.4313707,3.2276003,1.9468032,-0.65985465
786O_KIDNEY,ACH-000649,786O_KIDNEY,kidney,,0.9650475479192104,0.0349524520807895,1.42993681354175,0.733308,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input,-23.798168,14.307675,7.902458,-0.3833382
8505C_THYROID,ACH-001307,8505C_THYROID,thyroid,,0.5029299892855361,0.4970700107144639,0.596159424194532,0.403125,True,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input,-21.412,14.043962,1.1567798,2.4944222
A2780_OVARY,ACH-000657,A2780_OVARY,ovary,ovary_adenocarcinoma,0.4958855637374039,0.5041144362625961,0.544069317622124,0.499448,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input,-8.54737,-47.20638,3.2175908,-1.246428
A375_SKIN,ACH-000219,A375_SKIN,skin,melanoma,0.277066262940654,0.722933737059346,0.496151754348511,0.032979,True,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input,-23.762733,-1.565836,-23.132828,-2.6114366
ACCMESO1_PLEURA,ACH-000086,ACCMESO1_PLEURA,mesothelioma,,0.8959091436980202,0.1040908563019797,0.844888613664355,,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input,-23.71838,7.2889113,6.5521784,-1.3016435
AGS_STOMACH,ACH-000880,AGS_STOMACH,gastric,gastric_adenocarcinoma,0.2829364858994315,0.7170635141005686,0.457672571823393,,False,True,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input,30.880888,-1.0453246,2.6085987,1.6261626
BEN_LUNG,ACH-000603,BEN_LUNG,lung,lung_NSC,1.0784506400612672,-0.0784506400612672,1.28064202357905,0.984424,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input,30.129705,-16.2164,11.190643,-2.7529032
CAL120_BREAST,ACH-000212,CAL120_BREAST,breast,TNBC,0.8452282039322672,0.1547717960677328,1.04812123509912,0.67427,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input,-11.55453,-4.9284186,6.281829,-1.2610008
CAL62_THYROID,ACH-000174,CAL62_THYROID,thyroid,,0.5790433573278708,0.4209566426721292,0.713479691082356,0.304272,False,True,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input,-8.447172,-4.5321956,-2.6148298,2.201606
CAOV3_OVARY,ACH-000713,CAOV3_OVARY,ovary,ovary_adenocarcinoma,0.879057959879154,0.1209420401208459,0.822080944092519,,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input,14.371536,-0.38122934,4.763927,0.43434647
CJM_SKIN,ACH-000458,CJM_SKIN,skin,melanoma,1.0465528487664546,-0.0465528487664546,1.10739217565127,,False,False,True,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input,21.416887,36.68774,-15.290383,9.159845
COLO668_LUNG,ACH-000803,COLO668_LUNG,lung,lung_small,0.924542843542832,0.0754571564571678,0.912105620398494,0.955053,False,True,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input,24.751686,-27.877325,7.8326263,-4.143004
COLO680N_OESOPHAGUS,ACH-000717,COLO680N_OESOPHAGUS,esophagus,esophagus_squamous,0.7676131639519772,0.2323868360480228,0.70160986673789,0.869733,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input,21.339197,24.00234,3.4844236,4.7222147
COV434_OVARY,ACH-000123,COV434_OVARY,ovary,ovary_adenocarcinoma,0.826943406907677,0.173056593092323,0.773865236359736,,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input,-5.156153,-44.845932,7.5304217,-4.884384
DMS273_LUNG,ACH-000749,DMS273_LUNG,lung,lung_small,1.0579514916580717,-0.0579514916580716,1.12571841283787,,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input,-8.990569,-33.873295,7.9559445,-3.0348508
EFM192A_BREAST,ACH-000117,EFM192A_BREAST,breast,TPBC,0.9457194707881382,0.0542805292118617,0.99782953682142,0.954094,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input,33.602127,3.8196762,3.1148205,-1.6196778
G401_SOFT_TISSUE,ACH-000096,G401_SOFT_TISSUE,rhabdoid,,0.7254543200715405,0.2745456799284594,0.732031820270718,0.698728,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input,-7.3609304,-42.12748,3.7297738,-2.9937868
GCIY_STOMACH,ACH-000047,GCIY_STOMACH,gastric,gastric_adenocarcinoma,0.4071512201213993,0.5928487798786006,0.535414887905799,,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input,5.693471,-8.046462,4.163251,-0.5666753
GP2D_LARGE_INTESTINE,ACH-000982,GP2D_LARGE_INTESTINE,colorectal,colorectal_MSI,0.8963281117707331,0.1036718882292668,0.844997281649037,,False,True,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input,39.69391,-7.263163,7.2899184,-0.54594165
HCC1143_BREAST,ACH-000374,HCC1143_BREAST,breast,TNBC,0.6030452958252157,0.3969547041747843,0.65173348159007,0.520594,False,False,False,False,Figshare all_CL_features.rds v3,interpretation_only_not_model_input,14.905327,17.854654,4.352536,2.2645254
HCC1195_LUNG,ACH-000868,HCC1195_LUNG,lung,lung_NSC,0.929764606529185,0.0702353934708149,0.885078774233005,,False,False,False,True,Figshare all_CL_features.rds v3,interpretation_only_not_model_input,25.016293,0.00962051,-2.320379,1.5930401
