analysis,variant,model,metric,estimate,ci95_low,ci95_high,n,seed
cell_line_bootstrap,seed_20260827,B4_FIXED,rmse_gain_vs_b1,0.0017148573815175762,0.0011803227981350107,0.0022464554389655038,94,20260827
cell_line_bootstrap,seed_20260828,B4_FIXED,rmse_gain_vs_b1,0.0017148573815175762,0.001192082426865403,0.002250497132148803,94,20260828
cell_line_bootstrap,seed_20260829,B4_FIXED,rmse_gain_vs_b1,0.0017148573815175762,0.0011886173239939602,0.0022520468531203814,94,20260829
gene_filter,top_1000,B4_FIXED,b4_rmse,0.3225033648450829,0.3052483147931148,0.34034931944648583,94,20261827
gene_filter,top_1000,B4_FIXED,rmse_gain_vs_b1,0.0012462593405402156,0.0005738716420551792,0.001965126652050172,94,20261827
gene_filter,top_1000,B4_FIXED,b4_pcc,0.42479763715867647,0.40571295006559616,0.44466733476707193,94,20261827
gene_filter,top_1000,B4_FIXED,b4_spearman,0.3321493023486794,0.31838046620013555,0.3465697430836342,94,20261827
gene_filter,top_3000,B4_FIXED,b4_rmse,0.3222755071980531,0.3050620820430568,0.3400168910404036,94,20263827
gene_filter,top_3000,B4_FIXED,rmse_gain_vs_b1,0.0014741169875699504,0.0008099702816940574,0.0021489263002358117,94,20263827
gene_filter,top_3000,B4_FIXED,b4_pcc,0.42601154841925887,0.4057882165103281,0.4467535109733024,94,20263827
gene_filter,top_3000,B4_FIXED,b4_spearman,0.3333497140372277,0.31868554573142616,0.34827124432372714,94,20263827
gene_filter,top_5000,B4_FIXED,b4_rmse,0.3222325266644285,0.30504822129893844,0.33990916426887335,94,20265827
gene_filter,top_5000,B4_FIXED,rmse_gain_vs_b1,0.001517097521194568,0.0008640764109163394,0.002142528232288106,94,20265827
gene_filter,top_5000,B4_FIXED,b4_pcc,0.42639370255650116,0.407961506514118,0.44556403214216234,94,20265827
gene_filter,top_5000,B4_FIXED,b4_spearman,0.33383677674307294,0.320138519783271,0.3477417281994589,94,20265827
gene_filter,top_10000,B4_FIXED,b4_rmse,0.3221130000293956,0.304604144440492,0.34039145925829545,94,20270827
gene_filter,top_10000,B4_FIXED,rmse_gain_vs_b1,0.0016366241562274927,0.0010608896649262661,0.0022501337490470315,94,20270827
gene_filter,top_10000,B4_FIXED,b4_pcc,0.42724964364695406,0.40793607998757825,0.44669131901268677,94,20270827
gene_filter,top_10000,B4_FIXED,b4_spearman,0.33479225268874824,0.32057651429487116,0.3490686534872295,94,20270827
inclusion_threshold,min_cells_10,B4_FIXED,b4_rmse,0.32682892869376734,0.309639278104559,0.3447545565303856,97,20260837
inclusion_threshold,min_cells_10,B4_FIXED,rmse_gain_vs_b1,0.0014695566451653184,0.0008062545053683853,0.0021737495185198755,97,20260837
inclusion_threshold,min_cells_10,B4_FIXED,b4_pcc,0.42428426875253433,0.4049560464495227,0.4438165326268424,97,20260837
inclusion_threshold,min_cells_10,B4_FIXED,b4_spearman,0.3323260881061187,0.31850226176763735,0.3464710454826594,97,20260837
inclusion_threshold,min_cells_20,B4_FIXED,b4_rmse,0.3222325266644285,0.3049577042573561,0.3402087214525899,94,20260847
inclusion_threshold,min_cells_20,B4_FIXED,rmse_gain_vs_b1,0.001517097521194568,0.0008393873891090136,0.002204754511266866,94,20260847
inclusion_threshold,min_cells_20,B4_FIXED,b4_pcc,0.42639370255650116,0.4071724979843922,0.44580997344281703,94,20260847
inclusion_threshold,min_cells_20,B4_FIXED,b4_spearman,0.33383677674307294,0.32005987682786474,0.3482003798450558,94,20260847
inclusion_threshold,min_cells_30,B4_FIXED,b4_rmse,0.3031366600416452,0.2887615186750953,0.3201360654824386,82,20260857
inclusion_threshold,min_cells_30,B4_FIXED,rmse_gain_vs_b1,0.0018915213113181596,0.001183244862707749,0.0026948881621457615,82,20260857
inclusion_threshold,min_cells_30,B4_FIXED,b4_pcc,0.4389293556729126,0.41672743268004275,0.459502877847146,82,20260857
inclusion_threshold,min_cells_30,B4_FIXED,b4_spearman,0.342534306983045,0.3268112913587152,0.3577740642083524,82,20260857
extreme_sensitivity,drop_outer_10pct_each_tail,B4_FIXED,rmse_gain_vs_b1,0.0013136449847013097,0.0008434044474796686,0.001779572247990007,74,20260827
leave_one_lineage_out,all_21_lineages,B4_FIXED,rmse_gain_vs_b1,0.0005138306347880658,-0.00013212378549842433,0.001177705058448663,94,20260827
cell_subsampling,n20_repeat0,B4_FIXED,b1_rmse,0.5524250369444084,0.5381859156778525,0.5667595126663276,94,20260827
cell_subsampling,n20_repeat0,B4_FIXED,b4_rmse,0.5541020818078931,0.5400078174281858,0.5680649355058519,94,20260827
cell_subsampling,n20_repeat0,B4_FIXED,rmse_gain_vs_b1,-0.0016770448634848036,-0.002223102411024596,-0.001131032419309724,94,20260827
cell_subsampling,n20_repeat0,B4_FIXED,b4_pcc,0.27341619939007744,0.26200980091237347,0.2855464164469712,94,20260827
cell_subsampling,n20_repeat0,B4_FIXED,b4_spearman,0.22289141368927476,0.2131291298020752,0.23333171816914527,94,20260827
cell_subsampling,n20_repeat1,B4_FIXED,b1_rmse,0.5549137198108043,0.5415678122491923,0.5684419363136566,94,20260828
cell_subsampling,n20_repeat1,B4_FIXED,b4_rmse,0.5564037587632623,0.5431802345644803,0.569757039909995,94,20260828
cell_subsampling,n20_repeat1,B4_FIXED,rmse_gain_vs_b1,-0.001490038952458043,-0.002072586949544689,-0.0008833209501650837,94,20260828
cell_subsampling,n20_repeat1,B4_FIXED,b4_pcc,0.2789169217376168,0.2664039167327316,0.2912782410554188,94,20260828
cell_subsampling,n20_repeat1,B4_FIXED,b4_spearman,0.22923018788029917,0.218790342329863,0.23965794060887585,94,20260828
cell_subsampling,n20_repeat2,B4_FIXED,b1_rmse,0.5491645364833025,0.5346503339724166,0.5634046999735526,94,20260829
cell_subsampling,n20_repeat2,B4_FIXED,b4_rmse,0.5508241547371722,0.5365101432727337,0.5648279372334629,94,20260829
cell_subsampling,n20_repeat2,B4_FIXED,rmse_gain_vs_b1,-0.0016596182538695327,-0.002163543750030054,-0.0011661077850596841,94,20260829
cell_subsampling,n20_repeat2,B4_FIXED,b4_pcc,0.27545894880658717,0.2638053911937639,0.2869711946669788,94,20260829
cell_subsampling,n20_repeat2,B4_FIXED,b4_spearman,0.2264971294084472,0.21695099706265203,0.23607220338776602,94,20260829
cell_subsampling,n20_repeat3,B4_FIXED,b1_rmse,0.552290256435116,0.5387725573576826,0.5668019273638905,94,20260830
cell_subsampling,n20_repeat3,B4_FIXED,b4_rmse,0.5537329611312806,0.5403982847442913,0.5680428852263194,94,20260830
cell_subsampling,n20_repeat3,B4_FIXED,rmse_gain_vs_b1,-0.0014427046961646476,-0.0019631732077568303,-0.0009185856838674418,94,20260830
cell_subsampling,n20_repeat3,B4_FIXED,b4_pcc,0.2767641276345337,0.2646007757126771,0.2890622897217387,94,20260830
cell_subsampling,n20_repeat3,B4_FIXED,b4_spearman,0.22641940929604187,0.21548216102572942,0.23706523115712422,94,20260830
cell_subsampling,n20_repeat4,B4_FIXED,b1_rmse,0.5505673210650767,0.5372181407663577,0.5643177294280488,94,20260831
cell_subsampling,n20_repeat4,B4_FIXED,b4_rmse,0.5522211341459905,0.5388844988371868,0.5657843414953126,94,20260831
cell_subsampling,n20_repeat4,B4_FIXED,rmse_gain_vs_b1,-0.0016538130809139373,-0.002127606395268755,-0.001140371492493019,94,20260831
cell_subsampling,n20_repeat4,B4_FIXED,b4_pcc,0.2772518899647897,0.2662614601777093,0.2888481184134377,94,20260831
cell_subsampling,n20_repeat4,B4_FIXED,b4_spearman,0.2271572778591995,0.217655599031913,0.23664347336961344,94,20260831
split_half_noise,five_repeats,OBSERVED_TARGET,split_half_rmse,0.5580559930718297,0.543133602351074,0.5729576620634272,470,20260827
split_half_noise,five_repeats,OBSERVED_TARGET,full_target_noise_floor_approx,0.27902799653591487,0.271566801175537,0.2864788310317136,470,20260827
split_half_noise,five_repeats,OBSERVED_TARGET,split_half_pcc,0.23637306868058205,0.2259062756735977,0.2468185410247925,470,20260827
split_half_noise,five_repeats,OBSERVED_TARGET,split_half_spearman,0.2219007643904127,0.21387233614652537,0.22967570699661405,470,20260827
response_rank,RANK_D20_R20,CCLR_FIXED,rmse_gain_vs_b1,0.0013994822439277,0.0008018016865884,0.0019868759118663,94,20260827
response_rank,RANK_D20_R02,CCLR_FIXED,rmse_gain_vs_b1,0.000920266696553,0.0004748807631946,0.0013640503058874,94,20260827
response_rank,RANK_D20_R05,CCLR_FIXED,rmse_gain_vs_b1,0.0011148883778976,0.0005910505257468,0.001631086699172,94,20260827
response_rank,RANK_D20_R10,CCLR_FIXED,rmse_gain_vs_b1,0.0012180722362098,0.0007048464692307,0.0017362377110036,94,20260827
response_rank,RANK_D20_R30,CCLR_FIXED,rmse_gain_vs_b1,0.0014151207156502,0.0007731498416993,0.0020321157938767,94,20260827
response_rank,RANK_D20_R40,CCLR_FIXED,rmse_gain_vs_b1,0.0013619193767989,0.0007353909259669,0.0019900948362573,94,20260827
response_rank,RANK_D20_R50,CCLR_FIXED,rmse_gain_vs_b1,0.0013894299365834,0.0007518517266198,0.0020194984588268,94,20260827
