cell_line,model,n_control_cells,n_treated_cells,energy_distance,sliced_wasserstein,distribution_metric_used_for_tuning,paired_cell_trajectory_claim
BICR31_UPPER_AERODIGESTIVE_TRACT,NO_CHANGE,61,75,4.994810196491699,3.4582013253629476,False,False
BICR31_UPPER_AERODIGESTIVE_TRACT,B1,61,75,2.1098289857357173,2.345340111528893,False,False
BICR31_UPPER_AERODIGESTIVE_TRACT,B4_FIXED_D20_A100,61,75,2.098157774372467,2.3716614162037923,False,False
BICR31_UPPER_AERODIGESTIVE_TRACT,CCLR_FIXED_D20_R20_A100,61,75,2.1359340846027237,2.390561018543109,False,False
BICR6_UPPER_AERODIGESTIVE_TRACT,NO_CHANGE,24,38,24.950926640106484,7.294575765325674,False,False
BICR6_UPPER_AERODIGESTIVE_TRACT,B1,24,38,15.391591630307442,5.570863774625314,False,False
BICR6_UPPER_AERODIGESTIVE_TRACT,B4_FIXED_D20_A100,24,38,15.286410245882319,5.553050743631621,False,False
BICR6_UPPER_AERODIGESTIVE_TRACT,CCLR_FIXED_D20_R20_A100,24,38,15.445253670414129,5.580995703523327,False,False
BT474_BREAST,NO_CHANGE,28,39,2.5938624095537754,2.32092845653917,False,False
BT474_BREAST,B1,28,39,1.8867747186002823,1.9468729861047394,False,False
BT474_BREAST,B4_FIXED_D20_A100,28,39,1.8479384842911593,1.9438211264802394,False,False
BT474_BREAST,CCLR_FIXED_D20_R20_A100,28,39,1.8466780865432604,1.941192654022202,False,False
BT549_BREAST,NO_CHANGE,32,46,2.064920641188152,1.9599179910712263,False,False
BT549_BREAST,B1,32,46,2.3731022331995817,2.2500797333745344,False,False
BT549_BREAST,B4_FIXED_D20_A100,32,46,1.8741092085916193,1.987015873290209,False,False
BT549_BREAST,CCLR_FIXED_D20_R20_A100,32,46,1.8684672293382718,1.983563010190337,False,False
CCFSTTG1_CENTRAL_NERVOUS_SYSTEM,NO_CHANGE,44,79,2.0361988985445763,2.720526609016292,False,False
CCFSTTG1_CENTRAL_NERVOUS_SYSTEM,B1,44,79,3.0978513682719964,3.1324765504003063,False,False
CCFSTTG1_CENTRAL_NERVOUS_SYSTEM,B4_FIXED_D20_A100,44,79,2.9081280614107143,3.069896874413753,False,False
CCFSTTG1_CENTRAL_NERVOUS_SYSTEM,CCLR_FIXED_D20_R20_A100,44,79,2.93097927821983,3.081098196440387,False,False
DKMG_CENTRAL_NERVOUS_SYSTEM,NO_CHANGE,64,75,16.465510400928032,5.95963239724957,False,False
DKMG_CENTRAL_NERVOUS_SYSTEM,B1,64,75,9.755287866520227,4.390351160499284,False,False
DKMG_CENTRAL_NERVOUS_SYSTEM,B4_FIXED_D20_A100,64,75,9.812582609459703,4.363062104595949,False,False
DKMG_CENTRAL_NERVOUS_SYSTEM,CCLR_FIXED_D20_R20_A100,64,75,9.550078783179949,4.301048024529738,False,False
IALM_LUNG,NO_CHANGE,21,25,10.360622281661751,4.196789635004471,False,False
IALM_LUNG,B1,21,25,4.876577360926927,2.808220687802311,False,False
IALM_LUNG,B4_FIXED_D20_A100,21,25,4.207876657379732,2.5778180059377886,False,False
IALM_LUNG,CCLR_FIXED_D20_R20_A100,21,25,4.313694285540851,2.6121593119488904,False,False
LS1034_LARGE_INTESTINE,NO_CHANGE,40,45,21.510557553335673,7.9650505454330105,False,False
LS1034_LARGE_INTESTINE,B1,40,45,13.339348878693329,6.255859758886983,False,False
LS1034_LARGE_INTESTINE,B4_FIXED_D20_A100,40,45,11.976451862482321,5.903615332605948,False,False
LS1034_LARGE_INTESTINE,CCLR_FIXED_D20_R20_A100,40,45,11.798067329985471,5.870835402787024,False,False
NCIH226_LUNG,NO_CHANGE,46,80,4.3745187082064625,3.051994719855598,False,False
NCIH226_LUNG,B1,46,80,2.354664863222606,2.2604725459781565,False,False
NCIH226_LUNG,B4_FIXED_D20_A100,46,80,2.4287095316913927,2.300453833892683,False,False
NCIH226_LUNG,CCLR_FIXED_D20_R20_A100,46,80,2.4295968880206225,2.2890514524991947,False,False
RCM1_LARGE_INTESTINE,NO_CHANGE,70,60,25.53791103222307,7.805402240386923,False,False
RCM1_LARGE_INTESTINE,B1,70,60,16.198052444949035,6.120049234847398,False,False
RCM1_LARGE_INTESTINE,B4_FIXED_D20_A100,70,60,15.46461884943892,5.966221809021963,False,False
RCM1_LARGE_INTESTINE,CCLR_FIXED_D20_R20_A100,70,60,15.241570574936581,5.927789147212832,False,False
RERFLCAD1_LUNG,NO_CHANGE,59,97,21.22425501219837,7.462374939229431,False,False
RERFLCAD1_LUNG,B1,59,97,13.358104621656096,5.832952382727761,False,False
RERFLCAD1_LUNG,B4_FIXED_D20_A100,59,97,11.70514148204414,5.489848736469959,False,False
RERFLCAD1_LUNG,CCLR_FIXED_D20_R20_A100,59,97,11.715921413791037,5.497730349955866,False,False
SH10TC_STOMACH,NO_CHANGE,54,79,6.046881416798286,3.092873493565055,False,False
SH10TC_STOMACH,B1,54,79,1.4065273529543632,1.4905940861062057,False,False
SH10TC_STOMACH,B4_FIXED_D20_A100,54,79,1.5093068669440513,1.5387989275777902,False,False
SH10TC_STOMACH,CCLR_FIXED_D20_R20_A100,54,79,1.5094845507869081,1.5369033158144776,False,False
SKMEL2_SKIN,NO_CHANGE,94,82,19.138792860306438,6.503918522660262,False,False
SKMEL2_SKIN,B1,94,82,11.122210618072685,4.664849273218425,False,False
SKMEL2_SKIN,B4_FIXED_D20_A100,94,82,8.809769677616416,4.091779994038419,False,False
SKMEL2_SKIN,CCLR_FIXED_D20_R20_A100,94,82,8.85522589240616,4.0985518381107475,False,False
SKMEL3_SKIN,NO_CHANGE,31,41,9.145771784082676,4.701039008608616,False,False
SKMEL3_SKIN,B1,31,41,4.476930783800817,3.273283566007267,False,False
SKMEL3_SKIN,B4_FIXED_D20_A100,31,41,3.753673240128979,2.9695596240081454,False,False
SKMEL3_SKIN,CCLR_FIXED_D20_R20_A100,31,41,3.6723390693758766,2.9290367174424046,False,False
SNU1079_BILIARY_TRACT,NO_CHANGE,19,23,16.93234278755942,6.1612263186621306,False,False
