component,direction,rank,gene_id,gene_symbol,loading
1,negative,1,ENSG00000134339,SAA2,-0.06363948092395845
1,negative,2,ENSG00000134321,RSAD2,-0.05138206684520464
1,negative,3,ENSG00000185745,IFIT1,-0.049955447630089314
1,negative,4,ENSG00000183486,MX2,-0.04951172305643884
1,negative,5,ENSG00000132530,XAF1,-0.04899593685083746
1,negative,6,ENSG00000126709,IFI6,-0.04783684429112101
1,negative,7,ENSG00000166920,C15orf48,-0.0476931323677846
1,negative,8,ENSG00000169583,CLIC3,-0.04727380635917327
1,negative,9,ENSG00000165949,IFI27,-0.04649513311601297
1,negative,10,ENSG00000137959,IFI44L,-0.04628038640489525
1,negative,11,ENSG00000111335,OAS2,-0.04578986800416715
1,negative,12,ENSG00000119922,IFIT2,-0.04502063937126122
1,negative,13,ENSG00000173432,SAA1,-0.04308987151104263
1,negative,14,ENSG00000078804,TP53INP2,-0.04273268539807721
1,negative,15,ENSG00000157601,MX1,-0.04196349074435556
1,negative,16,ENSG00000133321,RARRES3,-0.04155929381264044
1,negative,17,ENSG00000168386,FILIP1L,-0.04149066057654024
1,negative,18,ENSG00000132274,TRIM22,-0.040025211330234074
1,negative,19,ENSG00000243649,CFB,-0.03968221309476285
1,negative,20,ENSG00000177409,SAMD9L,-0.03916329636333644
1,negative,21,ENSG00000167552,TUBA1A,-0.03854125257803136
1,negative,22,ENSG00000101335,MYL9,-0.03839241263581868
1,negative,23,ENSG00000149591,TAGLN,-0.038043889987634735
1,negative,24,ENSG00000133106,EPSTI1,-0.03749495839357966
1,negative,25,ENSG00000119917,IFIT3,-0.036673414203054096
1,positive,1,ENSG00000171320,ESCO2,0.06645363581879107
1,positive,2,ENSG00000189057,FAM111B,0.06611474083736367
1,positive,3,ENSG00000092853,CLSPN,0.0653315334473157
1,positive,4,ENSG00000184661,CDCA2,0.06383463088529902
1,positive,5,ENSG00000075218,GTSE1,0.06179695228662385
1,positive,6,ENSG00000148773,MKI67,0.06178165691959865
1,positive,7,ENSG00000143476,DTL,0.06096711159827057
1,positive,8,ENSG00000126787,DLGAP5,0.06094007607789634
1,positive,9,ENSG00000152253,SPC25,0.060899009763113784
1,positive,10,ENSG00000109805,NCAPG,0.06089021819537561
1,positive,11,ENSG00000117724,CENPF,0.06063604837521929
1,positive,12,ENSG00000169607,CKAP2L,0.0602244116261845
1,positive,13,ENSG00000171848,RRM2,0.059457529389389634
1,positive,14,ENSG00000131747,TOP2A,0.05945530563992643
1,positive,15,ENSG00000178999,AURKB,0.058732848374315264
1,positive,16,ENSG00000066279,ASPM,0.05862068633289134
1,positive,17,ENSG00000072571,HMMR,0.0581905985050916
1,positive,18,ENSG00000115163,CENPA,0.05816750859424351
1,positive,19,ENSG00000184357,HIST1H1B,0.05793379032027782
1,positive,20,ENSG00000198901,PRC1,0.05786855140217752
1,positive,21,ENSG00000121152,NCAPH,0.05747997354609036
1,positive,22,ENSG00000137804,NUSAP1,0.057136736516022746
1,positive,23,ENSG00000134690,CDCA8,0.05712855488539081
1,positive,24,ENSG00000171241,SHCBP1,0.05693797913116986
1,positive,25,ENSG00000065328,MCM10,0.05682778478536272
2,negative,1,ENSG00000176401,EID2B,-0.05280276651734422
2,negative,2,ENSG00000197594,ENPP1,-0.04927959215521437
2,negative,3,ENSG00000165092,ALDH1A1,-0.044037448857363284
