cell_line,depmap_id,disease,time_hours,response_rms,rmse_to_time_mean
BICR6_UPPER_AERODIGESTIVE_TRACT,ACH-000415,head and neck cancer,3,0.3748656085222023,0.3595720449861859
BICR6_UPPER_AERODIGESTIVE_TRACT,ACH-000415,head and neck cancer,6,0.4644445556004976,0.44125274444241513
BICR6_UPPER_AERODIGESTIVE_TRACT,ACH-000415,head and neck cancer,12,0.4035460530173119,0.3721491847048953
BICR6_UPPER_AERODIGESTIVE_TRACT,ACH-000415,head and neck cancer,24,0.46247716591102134,0.40120120215201444
BICR6_UPPER_AERODIGESTIVE_TRACT,ACH-000415,head and neck cancer,48,0.5337746468820509,0.4457406952998248
BICR31_UPPER_AERODIGESTIVE_TRACT,ACH-000228,head and neck cancer,3,0.30841697015133873,0.29273416255186435
BICR31_UPPER_AERODIGESTIVE_TRACT,ACH-000228,head and neck cancer,6,0.33663679155929566,0.318199131786673
BICR31_UPPER_AERODIGESTIVE_TRACT,ACH-000228,head and neck cancer,12,0.38365585521103757,0.3602137513096896
BICR31_UPPER_AERODIGESTIVE_TRACT,ACH-000228,head and neck cancer,24,0.35188308723803313,0.31007577388623203
BICR31_UPPER_AERODIGESTIVE_TRACT,ACH-000228,head and neck cancer,48,0.4157179877055018,0.3392907183077428
BT474_BREAST,ACH-000927,breast cancer,3,0.354778866747043,0.3453469436019915
BT474_BREAST,ACH-000927,breast cancer,6,0.34451353196899565,0.33095373398771755
BT474_BREAST,ACH-000927,breast cancer,12,0.44277084458743304,0.4287784558139265
BT474_BREAST,ACH-000927,breast cancer,24,0.3434993458969449,0.3369890379744567
BT474_BREAST,ACH-000927,breast cancer,48,0.3137987747149659,0.2825181047163026
BT549_BREAST,ACH-000288,breast cancer,3,0.3860554045182003,0.36867334702950405
BT549_BREAST,ACH-000288,breast cancer,6,0.410733008067796,0.39561647459894395
BT549_BREAST,ACH-000288,breast cancer,12,0.4044649901338092,0.39005205947617755
BT549_BREAST,ACH-000288,breast cancer,24,0.3259660713731291,0.3283838732772801
BT549_BREAST,ACH-000288,breast cancer,48,0.3013634376754466,0.2993410451827226
CAOV3_OVARY,ACH-000713,ovarian cancer,3,0.3354961501252862,0.32151336765161864
CAOV3_OVARY,ACH-000713,ovarian cancer,6,0.3362040964955341,0.32454893294236853
CAOV3_OVARY,ACH-000713,ovarian cancer,12,0.3314066507074505,0.3146693964466236
CAOV3_OVARY,ACH-000713,ovarian cancer,24,0.3129677292301705,0.3030574930542878
CAOV3_OVARY,ACH-000713,ovarian cancer,48,0.3129039784866214,0.306143329002682
CCFSTTG1_CENTRAL_NERVOUS_SYSTEM,ACH-000329,brain cancer,3,0.41574975887429083,0.39998618023487964
CCFSTTG1_CENTRAL_NERVOUS_SYSTEM,ACH-000329,brain cancer,6,0.39900709371236925,0.3833635131087414
CCFSTTG1_CENTRAL_NERVOUS_SYSTEM,ACH-000329,brain cancer,12,0.42795610969982656,0.4106235616974118
CCFSTTG1_CENTRAL_NERVOUS_SYSTEM,ACH-000329,brain cancer,24,0.33705352236028197,0.3425981391800537
CCFSTTG1_CENTRAL_NERVOUS_SYSTEM,ACH-000329,brain cancer,48,0.30536998385420705,0.3098199494056082
COLO680N_OESOPHAGUS,ACH-000717,esophageal cancer,3,0.2124397079667963,0.20742160758398537
COLO680N_OESOPHAGUS,ACH-000717,esophageal cancer,6,0.2074729390030131,0.2028735186766011
COLO680N_OESOPHAGUS,ACH-000717,esophageal cancer,12,0.21908005103029873,0.20558928305015467
COLO680N_OESOPHAGUS,ACH-000717,esophageal cancer,24,0.23280304298837615,0.20614871844770893
COLO680N_OESOPHAGUS,ACH-000717,esophageal cancer,48,0.2372813674692822,0.20460955717340895
DKMG_CENTRAL_NERVOUS_SYSTEM,ACH-000244,brain cancer,3,0.3781743674442147,0.3603719710543628
DKMG_CENTRAL_NERVOUS_SYSTEM,ACH-000244,brain cancer,6,0.4318618963946747,0.4099171314519453
DKMG_CENTRAL_NERVOUS_SYSTEM,ACH-000244,brain cancer,12,0.47753075913090676,0.4424521381080958
DKMG_CENTRAL_NERVOUS_SYSTEM,ACH-000244,brain cancer,24,0.45108188831521534,0.3928430022861501
DKMG_CENTRAL_NERVOUS_SYSTEM,ACH-000244,brain cancer,48,0.41642039185241403,0.3553378418066269
IALM_LUNG,ACH-000672,lung cancer,3,0.46678895816443716,0.4512518018488886
IALM_LUNG,ACH-000672,lung cancer,6,0.6214842330848487,0.5958868523997476
IALM_LUNG,ACH-000672,lung cancer,12,0.4511607535516189,0.43129736806553626
IALM_LUNG,ACH-000672,lung cancer,24,0.4194765012834767,0.3742753061505049
IALM_LUNG,ACH-000672,lung cancer,48,0.436486028696062,0.3755374337826834
LNCAPCLONEFGC_PROSTATE,ACH-000977,prostate cancer,3,0.4663785974487312,0.45615185841206024
LNCAPCLONEFGC_PROSTATE,ACH-000977,prostate cancer,6,0.4339727413537184,0.4280299712807405
LNCAPCLONEFGC_PROSTATE,ACH-000977,prostate cancer,12,0.41675673558273835,0.4132854233272064
