cell_line,depmap_id,disease,time_hours,model,rmse_delta,pcc_delta,spearman_delta,rmse_gain_vs_b1,external_test,temporal_response_used_for_fit
BICR31_UPPER_AERODIGESTIVE_TRACT,ACH-000228,head and neck cancer,3,B1,0.34555349819339215,0.023105209967534235,-0.027401815774354903,0.0,True,False
BICR6_UPPER_AERODIGESTIVE_TRACT,ACH-000415,head and neck cancer,3,B1,0.40122607098821783,0.05253898743236088,0.010297623452222007,0.0,True,False
BT474_BREAST,ACH-000927,breast cancer,3,B1,0.37351762486561274,0.10274892125655936,0.1017695585091925,0.0,True,False
BT549_BREAST,ACH-000288,breast cancer,3,B1,0.4060896751698441,0.06917349795137714,0.03269326193216806,0.0,True,False
CCFSTTG1_CENTRAL_NERVOUS_SYSTEM,ACH-000329,brain cancer,3,B1,0.4374083064666663,0.05554683683357625,0.026636386365918502,0.0,True,False
DKMG_CENTRAL_NERVOUS_SYSTEM,ACH-000244,brain cancer,3,B1,0.40624148039987723,0.032447292974301524,-0.00726344467263548,0.0,True,False
IALM_LUNG,ACH-000672,lung cancer,3,B1,0.4854352568653363,0.0635381450954031,0.054736726241604194,0.0,True,False
LS1034_LARGE_INTESTINE,ACH-000252,colon/colorectal cancer,3,B1,0.4422514710884715,0.113236950260468,0.07542583738822846,0.0,True,False
NCIH226_LUNG,ACH-000367,lung cancer,3,B1,0.32393244129637766,0.027192435365529996,-0.023505102931605296,0.0,True,False
RCM1_LARGE_INTESTINE,ACH-000565,colon/colorectal cancer,3,B1,0.2714257659436728,0.1483304829038434,0.060637430784472535,0.0,True,False
RERFLCAD1_LUNG,ACH-000791,lung cancer,3,B1,0.3975391772195148,0.09954432384098517,0.034733324674244594,0.0,True,False
SH10TC_STOMACH,ACH-000764,gastric cancer,3,B1,0.2980960500239148,0.041730300399921386,-0.005985782989331557,0.0,True,False
SKMEL2_SKIN,ACH-001190,skin cancer,3,B1,0.30864865772401434,0.1446664843430958,0.09894596446360972,0.0,True,False
SKMEL3_SKIN,ACH-000423,skin cancer,3,B1,0.38735925345446925,0.08024508460916008,0.06304242545053024,0.0,True,False
SNU1079_BILIARY_TRACT,ACH-000209,bile duct cancer,3,B1,0.4913685878803145,0.04367412660616973,-0.006373501435021322,0.0,True,False
SQ1_LUNG,ACH-000553,lung cancer,3,B1,0.2908788069082053,0.12872776249067425,0.09187359453920219,0.0,True,False
UMUC1_URINARY_TRACT,ACH-000834,bladder cancer,3,B1,0.26928495215709514,0.12143716768972089,0.04909955070793146,0.0,True,False
