cell_line,depmap_id,disease,condition,time_hours,n_cells,library_size,source_tag,eligible_t10,eligible_t20,eligible_t30
BICR6_UPPER_AERODIGESTIVE_TRACT,ACH-000415,head and neck cancer,control,3,26,985448,DMSO_3hr,True,False,False
BICR6_UPPER_AERODIGESTIVE_TRACT,ACH-000415,head and neck cancer,control,6,16,536363,DMSO_6hr,True,False,False
BICR6_UPPER_AERODIGESTIVE_TRACT,ACH-000415,head and neck cancer,control,12,25,880182,DMSO_12hr,True,False,False
BICR6_UPPER_AERODIGESTIVE_TRACT,ACH-000415,head and neck cancer,control,24,24,820040,DMSO_24hr,True,False,False
BICR6_UPPER_AERODIGESTIVE_TRACT,ACH-000415,head and neck cancer,control,48,62,2311685,DMSO_48hr,True,False,False
BICR6_UPPER_AERODIGESTIVE_TRACT,ACH-000415,head and neck cancer,trametinib,3,28,958939,Tram_3hr,True,False,False
BICR6_UPPER_AERODIGESTIVE_TRACT,ACH-000415,head and neck cancer,trametinib,6,20,704202,Tram_6hr,True,False,False
BICR6_UPPER_AERODIGESTIVE_TRACT,ACH-000415,head and neck cancer,trametinib,12,23,878408,Tram_12hr,True,False,False
BICR6_UPPER_AERODIGESTIVE_TRACT,ACH-000415,head and neck cancer,trametinib,24,38,1152751,Tram_24hr,True,False,False
BICR6_UPPER_AERODIGESTIVE_TRACT,ACH-000415,head and neck cancer,trametinib,48,24,572405,Tram_48hr,True,False,False
BICR6_UPPER_AERODIGESTIVE_TRACT,ACH-000415,head and neck cancer,untreated,48,30,1090822,Untreated_48hr,True,False,False
BICR31_UPPER_AERODIGESTIVE_TRACT,ACH-000228,head and neck cancer,control,3,55,1452996,DMSO_3hr,True,True,True
BICR31_UPPER_AERODIGESTIVE_TRACT,ACH-000228,head and neck cancer,control,6,57,1806220,DMSO_6hr,True,True,True
BICR31_UPPER_AERODIGESTIVE_TRACT,ACH-000228,head and neck cancer,control,12,37,831606,DMSO_12hr,True,True,True
BICR31_UPPER_AERODIGESTIVE_TRACT,ACH-000228,head and neck cancer,control,24,61,1405580,DMSO_24hr,True,True,True
BICR31_UPPER_AERODIGESTIVE_TRACT,ACH-000228,head and neck cancer,control,48,109,2588590,DMSO_48hr,True,True,True
BICR31_UPPER_AERODIGESTIVE_TRACT,ACH-000228,head and neck cancer,trametinib,3,59,1682246,Tram_3hr,True,True,True
BICR31_UPPER_AERODIGESTIVE_TRACT,ACH-000228,head and neck cancer,trametinib,6,43,1195358,Tram_6hr,True,True,True
BICR31_UPPER_AERODIGESTIVE_TRACT,ACH-000228,head and neck cancer,trametinib,12,56,1278138,Tram_12hr,True,True,True
BICR31_UPPER_AERODIGESTIVE_TRACT,ACH-000228,head and neck cancer,trametinib,24,75,1755345,Tram_24hr,True,True,True
BICR31_UPPER_AERODIGESTIVE_TRACT,ACH-000228,head and neck cancer,trametinib,48,55,1088900,Tram_48hr,True,True,True
BICR31_UPPER_AERODIGESTIVE_TRACT,ACH-000228,head and neck cancer,untreated,48,55,1669021,Untreated_48hr,True,True,True
BT474_BREAST,ACH-000927,breast cancer,control,3,27,958113,DMSO_3hr,True,False,False
BT474_BREAST,ACH-000927,breast cancer,control,6,28,1060760,DMSO_6hr,True,False,False
BT474_BREAST,ACH-000927,breast cancer,control,12,14,630398,DMSO_12hr,True,False,False
BT474_BREAST,ACH-000927,breast cancer,control,24,28,1132148,DMSO_24hr,True,False,False
BT474_BREAST,ACH-000927,breast cancer,control,48,71,2750330,DMSO_48hr,True,False,False
BT474_BREAST,ACH-000927,breast cancer,trametinib,3,29,1080458,Tram_3hr,True,False,False
