cell_line,rmse_dmso_vs_untreated,pcc_dmso_vs_untreated
BICR31_UPPER_AERODIGESTIVE_TRACT,0.2711724939017346,0.9870885110196705
BICR6_UPPER_AERODIGESTIVE_TRACT,0.28970656244130855,0.9849030292346278
BT474_BREAST,0.26447920157074023,0.9866663080151413
BT549_BREAST,0.30958912862532567,0.9815430727317315
CAOV3_OVARY,0.23594420655995724,0.9895984703291545
CCFSTTG1_CENTRAL_NERVOUS_SYSTEM,0.32418079741752664,0.981332285896793
COLO680N_OESOPHAGUS,0.1722991497192715,0.9945291740294785
DKMG_CENTRAL_NERVOUS_SYSTEM,0.311130567141485,0.9827912483903999
IALM_LUNG,0.41606262157062635,0.9680331189152749
LNCAPCLONEFGC_PROSTATE,0.35865152862160704,0.9751655256217517
LS1034_LARGE_INTESTINE,0.31402455131496837,0.9813962433924235
NCIH226_LUNG,0.2608241963356837,0.9867376282460408
RCC10RGB_KIDNEY,0.18106260282828876,0.9938184763900088
RCM1_LARGE_INTESTINE,0.17050808598637762,0.9943292281458475
RERFLCAD1_LUNG,0.25813038644174247,0.9883403184635456
SH10TC_STOMACH,0.1964529328055463,0.992872144355601
SKMEL2_SKIN,0.21753341615500285,0.9911616459703626
SKMEL3_SKIN,0.2994223132098155,0.9836452912436819
SNU1079_BILIARY_TRACT,0.34200708956359,0.976408480710104
SQ1_LUNG,0.1995634541129292,0.9930216804793127
TEN_ENDOMETRIUM,0.2023260719280594,0.9920518990116629
UMUC1_URINARY_TRACT,0.20087015806290826,0.9924819232575491
