cell_line,depmap_id,disease,time_hours,pathway,mapped_genes,mean_delta_log1p_cpm
BICR6_UPPER_AERODIGESTIVE_TRACT,ACH-000415,head and neck cancer,3,MAPK_KRAS_signaling,386,-0.0655065007469197
BICR6_UPPER_AERODIGESTIVE_TRACT,ACH-000415,head and neck cancer,6,MAPK_KRAS_signaling,386,0.07426293603496847
BICR6_UPPER_AERODIGESTIVE_TRACT,ACH-000415,head and neck cancer,12,MAPK_KRAS_signaling,386,0.05274943659960297
BICR6_UPPER_AERODIGESTIVE_TRACT,ACH-000415,head and neck cancer,24,MAPK_KRAS_signaling,386,0.2139035660985838
BICR6_UPPER_AERODIGESTIVE_TRACT,ACH-000415,head and neck cancer,48,MAPK_KRAS_signaling,386,0.16312038072341464
BICR31_UPPER_AERODIGESTIVE_TRACT,ACH-000228,head and neck cancer,3,MAPK_KRAS_signaling,386,-0.015611796953517538
BICR31_UPPER_AERODIGESTIVE_TRACT,ACH-000228,head and neck cancer,6,MAPK_KRAS_signaling,386,-0.06264691456303077
BICR31_UPPER_AERODIGESTIVE_TRACT,ACH-000228,head and neck cancer,12,MAPK_KRAS_signaling,386,0.004040212211213581
BICR31_UPPER_AERODIGESTIVE_TRACT,ACH-000228,head and neck cancer,24,MAPK_KRAS_signaling,386,-0.023991929666365985
BICR31_UPPER_AERODIGESTIVE_TRACT,ACH-000228,head and neck cancer,48,MAPK_KRAS_signaling,386,0.022468338358587553
BT474_BREAST,ACH-000927,breast cancer,3,MAPK_KRAS_signaling,386,-0.03547507864205948
BT474_BREAST,ACH-000927,breast cancer,6,MAPK_KRAS_signaling,386,-0.0036639558836586116
BT474_BREAST,ACH-000927,breast cancer,12,MAPK_KRAS_signaling,386,-0.025620872492617276
BT474_BREAST,ACH-000927,breast cancer,24,MAPK_KRAS_signaling,386,-0.03256917802781021
BT474_BREAST,ACH-000927,breast cancer,48,MAPK_KRAS_signaling,386,-0.014193264545554325
BT549_BREAST,ACH-000288,breast cancer,3,MAPK_KRAS_signaling,386,-0.08877688553666821
BT549_BREAST,ACH-000288,breast cancer,6,MAPK_KRAS_signaling,386,-0.06832976183743057
BT549_BREAST,ACH-000288,breast cancer,12,MAPK_KRAS_signaling,386,-0.04944824678292546
BT549_BREAST,ACH-000288,breast cancer,24,MAPK_KRAS_signaling,386,-0.013372137138880595
BT549_BREAST,ACH-000288,breast cancer,48,MAPK_KRAS_signaling,386,-0.023097678941766214
CAOV3_OVARY,ACH-000713,ovarian cancer,3,MAPK_KRAS_signaling,386,-0.05593380579058988
CAOV3_OVARY,ACH-000713,ovarian cancer,6,MAPK_KRAS_signaling,386,-0.07647863648098367
CAOV3_OVARY,ACH-000713,ovarian cancer,12,MAPK_KRAS_signaling,386,-0.01827386423096138
CAOV3_OVARY,ACH-000713,ovarian cancer,24,MAPK_KRAS_signaling,386,-0.0709763036490722
CAOV3_OVARY,ACH-000713,ovarian cancer,48,MAPK_KRAS_signaling,386,-0.00959585468077289
CCFSTTG1_CENTRAL_NERVOUS_SYSTEM,ACH-000329,brain cancer,3,MAPK_KRAS_signaling,386,-0.04014245602133361
CCFSTTG1_CENTRAL_NERVOUS_SYSTEM,ACH-000329,brain cancer,6,MAPK_KRAS_signaling,386,0.05064747833835029
CCFSTTG1_CENTRAL_NERVOUS_SYSTEM,ACH-000329,brain cancer,12,MAPK_KRAS_signaling,386,-0.034661881046591646
CCFSTTG1_CENTRAL_NERVOUS_SYSTEM,ACH-000329,brain cancer,24,MAPK_KRAS_signaling,386,-0.019624620212792116
CCFSTTG1_CENTRAL_NERVOUS_SYSTEM,ACH-000329,brain cancer,48,MAPK_KRAS_signaling,386,-0.0750709193821398
COLO680N_OESOPHAGUS,ACH-000717,esophageal cancer,3,MAPK_KRAS_signaling,386,-0.030975208690129413
COLO680N_OESOPHAGUS,ACH-000717,esophageal cancer,6,MAPK_KRAS_signaling,386,-0.019472331426304237
COLO680N_OESOPHAGUS,ACH-000717,esophageal cancer,12,MAPK_KRAS_signaling,386,-0.04048036556169777
COLO680N_OESOPHAGUS,ACH-000717,esophageal cancer,24,MAPK_KRAS_signaling,386,0.023318236973619216
COLO680N_OESOPHAGUS,ACH-000717,esophageal cancer,48,MAPK_KRAS_signaling,386,0.02455968066200691
DKMG_CENTRAL_NERVOUS_SYSTEM,ACH-000244,brain cancer,3,MAPK_KRAS_signaling,386,-0.04111360577104005
DKMG_CENTRAL_NERVOUS_SYSTEM,ACH-000244,brain cancer,6,MAPK_KRAS_signaling,386,-0.037550772409982634
DKMG_CENTRAL_NERVOUS_SYSTEM,ACH-000244,brain cancer,12,MAPK_KRAS_signaling,386,-0.04624517099844977
DKMG_CENTRAL_NERVOUS_SYSTEM,ACH-000244,brain cancer,24,MAPK_KRAS_signaling,386,-0.0015737360314384025
DKMG_CENTRAL_NERVOUS_SYSTEM,ACH-000244,brain cancer,48,MAPK_KRAS_signaling,386,-0.0544875537484421
IALM_LUNG,ACH-000672,lung cancer,3,MAPK_KRAS_signaling,386,-0.0033053865395679376
IALM_LUNG,ACH-000672,lung cancer,6,MAPK_KRAS_signaling,386,-0.1276208511288302
IALM_LUNG,ACH-000672,lung cancer,12,MAPK_KRAS_signaling,386,-0.09424526039800496
IALM_LUNG,ACH-000672,lung cancer,24,MAPK_KRAS_signaling,386,-0.050571863206557044
IALM_LUNG,ACH-000672,lung cancer,48,MAPK_KRAS_signaling,386,0.03642848828913634
LNCAPCLONEFGC_PROSTATE,ACH-000977,prostate cancer,3,MAPK_KRAS_signaling,386,-0.11937801424085785
LNCAPCLONEFGC_PROSTATE,ACH-000977,prostate cancer,6,MAPK_KRAS_signaling,386,-0.004893604183444087
LNCAPCLONEFGC_PROSTATE,ACH-000977,prostate cancer,12,MAPK_KRAS_signaling,386,0.07861216729169065
LNCAPCLONEFGC_PROSTATE,ACH-000977,prostate cancer,24,MAPK_KRAS_signaling,386,0.053236208740293674
LNCAPCLONEFGC_PROSTATE,ACH-000977,prostate cancer,48,MAPK_KRAS_signaling,386,-0.01939493108907512
LS1034_LARGE_INTESTINE,ACH-000252,colon/colorectal cancer,3,MAPK_KRAS_signaling,386,-0.05292038812538503
LS1034_LARGE_INTESTINE,ACH-000252,colon/colorectal cancer,6,MAPK_KRAS_signaling,386,0.02173872593153326
LS1034_LARGE_INTESTINE,ACH-000252,colon/colorectal cancer,12,MAPK_KRAS_signaling,386,0.07143250926170942
LS1034_LARGE_INTESTINE,ACH-000252,colon/colorectal cancer,24,MAPK_KRAS_signaling,386,0.07575322401955956
LS1034_LARGE_INTESTINE,ACH-000252,colon/colorectal cancer,48,MAPK_KRAS_signaling,386,-0.0037639323293853916
NCIH226_LUNG,ACH-000367,lung cancer,3,MAPK_KRAS_signaling,386,-0.06453834999101768
NCIH226_LUNG,ACH-000367,lung cancer,6,MAPK_KRAS_signaling,386,-0.024270324972627075
NCIH226_LUNG,ACH-000367,lung cancer,12,MAPK_KRAS_signaling,386,0.009159081263245696
NCIH226_LUNG,ACH-000367,lung cancer,24,MAPK_KRAS_signaling,386,0.03052466443783261
NCIH226_LUNG,ACH-000367,lung cancer,48,MAPK_KRAS_signaling,386,0.03459554624989861
RCC10RGB_KIDNEY,ACH-000189,kidney cancer,3,MAPK_KRAS_signaling,386,-0.006148195637322461
RCC10RGB_KIDNEY,ACH-000189,kidney cancer,6,MAPK_KRAS_signaling,386,-0.03359871739859408
RCC10RGB_KIDNEY,ACH-000189,kidney cancer,12,MAPK_KRAS_signaling,386,0.0027972133974954873
RCC10RGB_KIDNEY,ACH-000189,kidney cancer,24,MAPK_KRAS_signaling,386,0.006308150569391992
RCC10RGB_KIDNEY,ACH-000189,kidney cancer,48,MAPK_KRAS_signaling,386,0.06425968692710363
RCM1_LARGE_INTESTINE,ACH-000565,colon/colorectal cancer,3,MAPK_KRAS_signaling,386,-0.05351309007313585
RCM1_LARGE_INTESTINE,ACH-000565,colon/colorectal cancer,6,MAPK_KRAS_signaling,386,-0.026278851717864912
RCM1_LARGE_INTESTINE,ACH-000565,colon/colorectal cancer,12,MAPK_KRAS_signaling,386,0.04311704450320703
RCM1_LARGE_INTESTINE,ACH-000565,colon/colorectal cancer,24,MAPK_KRAS_signaling,386,0.123307562708237
RCM1_LARGE_INTESTINE,ACH-000565,colon/colorectal cancer,48,MAPK_KRAS_signaling,386,0.07238994338042995
RERFLCAD1_LUNG,ACH-000791,lung cancer,3,MAPK_KRAS_signaling,386,-0.011281160029722619
RERFLCAD1_LUNG,ACH-000791,lung cancer,6,MAPK_KRAS_signaling,386,-0.04442460209594489
RERFLCAD1_LUNG,ACH-000791,lung cancer,12,MAPK_KRAS_signaling,386,-0.06388778606227025
RERFLCAD1_LUNG,ACH-000791,lung cancer,24,MAPK_KRAS_signaling,386,-0.1232368319917837
RERFLCAD1_LUNG,ACH-000791,lung cancer,48,MAPK_KRAS_signaling,386,-0.050884261186876445
SH10TC_STOMACH,ACH-000764,gastric cancer,3,MAPK_KRAS_signaling,386,0.007990008808788241
SH10TC_STOMACH,ACH-000764,gastric cancer,6,MAPK_KRAS_signaling,386,-0.04074086117620913
SH10TC_STOMACH,ACH-000764,gastric cancer,12,MAPK_KRAS_signaling,386,-0.03071987675261621
SH10TC_STOMACH,ACH-000764,gastric cancer,24,MAPK_KRAS_signaling,386,-0.04254110898687432
SH10TC_STOMACH,ACH-000764,gastric cancer,48,MAPK_KRAS_signaling,386,-0.025612017110839408
SKMEL2_SKIN,ACH-001190,skin cancer,3,MAPK_KRAS_signaling,386,-0.0495688756204022
SKMEL2_SKIN,ACH-001190,skin cancer,6,MAPK_KRAS_signaling,386,-0.12016324629437738
SKMEL2_SKIN,ACH-001190,skin cancer,12,MAPK_KRAS_signaling,386,-0.09272420444945598
SKMEL2_SKIN,ACH-001190,skin cancer,24,MAPK_KRAS_signaling,386,-0.09713459339166552
SKMEL2_SKIN,ACH-001190,skin cancer,48,MAPK_KRAS_signaling,386,-0.21410182813288633
SKMEL3_SKIN,ACH-000423,skin cancer,3,MAPK_KRAS_signaling,386,-0.018521729991843663
SKMEL3_SKIN,ACH-000423,skin cancer,6,MAPK_KRAS_signaling,386,-0.004635152112634688
SKMEL3_SKIN,ACH-000423,skin cancer,12,MAPK_KRAS_signaling,386,-0.053513702950947026
SKMEL3_SKIN,ACH-000423,skin cancer,24,MAPK_KRAS_signaling,386,-0.08488612208959352
SKMEL3_SKIN,ACH-000423,skin cancer,48,MAPK_KRAS_signaling,386,-0.07297003253753939
SNU1079_BILIARY_TRACT,ACH-000209,bile duct cancer,3,MAPK_KRAS_signaling,386,-0.07751831180691102
SNU1079_BILIARY_TRACT,ACH-000209,bile duct cancer,6,MAPK_KRAS_signaling,386,-0.05299217250063012
SNU1079_BILIARY_TRACT,ACH-000209,bile duct cancer,12,MAPK_KRAS_signaling,386,-0.02860224910968326
SNU1079_BILIARY_TRACT,ACH-000209,bile duct cancer,24,MAPK_KRAS_signaling,386,-0.01212811747980859
SNU1079_BILIARY_TRACT,ACH-000209,bile duct cancer,48,MAPK_KRAS_signaling,386,0.04244839836278728
SQ1_LUNG,ACH-000553,lung cancer,3,MAPK_KRAS_signaling,386,-0.050998963608642936
SQ1_LUNG,ACH-000553,lung cancer,6,MAPK_KRAS_signaling,386,-0.045714507140026193
SQ1_LUNG,ACH-000553,lung cancer,12,MAPK_KRAS_signaling,386,-0.004654144144428826
SQ1_LUNG,ACH-000553,lung cancer,24,MAPK_KRAS_signaling,386,0.030225477996885467
SQ1_LUNG,ACH-000553,lung cancer,48,MAPK_KRAS_signaling,386,0.08458801702514214
TEN_ENDOMETRIUM,ACH-000397,endometrial/uterine cancer,3,MAPK_KRAS_signaling,386,-0.03867053784854672
TEN_ENDOMETRIUM,ACH-000397,endometrial/uterine cancer,6,MAPK_KRAS_signaling,386,-0.034816924463281974
TEN_ENDOMETRIUM,ACH-000397,endometrial/uterine cancer,12,MAPK_KRAS_signaling,386,-0.06299383544551276
TEN_ENDOMETRIUM,ACH-000397,endometrial/uterine cancer,24,MAPK_KRAS_signaling,386,0.03736233394689511
TEN_ENDOMETRIUM,ACH-000397,endometrial/uterine cancer,48,MAPK_KRAS_signaling,386,0.0037866127846154524
UMUC1_URINARY_TRACT,ACH-000834,bladder cancer,3,MAPK_KRAS_signaling,386,-0.06735827322142111
UMUC1_URINARY_TRACT,ACH-000834,bladder cancer,6,MAPK_KRAS_signaling,386,-0.02426836960056285
UMUC1_URINARY_TRACT,ACH-000834,bladder cancer,12,MAPK_KRAS_signaling,386,-0.02542680610029191
UMUC1_URINARY_TRACT,ACH-000834,bladder cancer,24,MAPK_KRAS_signaling,386,-0.014453443992940873
UMUC1_URINARY_TRACT,ACH-000834,bladder cancer,48,MAPK_KRAS_signaling,386,0.0372631047982626
BICR6_UPPER_AERODIGESTIVE_TRACT,ACH-000415,head and neck cancer,3,E2F_targets,196,0.05324929374821332
BICR6_UPPER_AERODIGESTIVE_TRACT,ACH-000415,head and neck cancer,6,E2F_targets,196,-0.02913742041101261
BICR6_UPPER_AERODIGESTIVE_TRACT,ACH-000415,head and neck cancer,12,E2F_targets,196,-0.09149887944970812
BICR6_UPPER_AERODIGESTIVE_TRACT,ACH-000415,head and neck cancer,24,E2F_targets,196,-0.638469790925785
BICR6_UPPER_AERODIGESTIVE_TRACT,ACH-000415,head and neck cancer,48,E2F_targets,196,-0.9907234390171207
BICR31_UPPER_AERODIGESTIVE_TRACT,ACH-000228,head and neck cancer,3,E2F_targets,196,0.22312759623235587
BICR31_UPPER_AERODIGESTIVE_TRACT,ACH-000228,head and neck cancer,6,E2F_targets,196,0.04978421452094098
BICR31_UPPER_AERODIGESTIVE_TRACT,ACH-000228,head and neck cancer,12,E2F_targets,196,-0.053502871065723656
BICR31_UPPER_AERODIGESTIVE_TRACT,ACH-000228,head and neck cancer,24,E2F_targets,196,-0.5149197356433285
BICR31_UPPER_AERODIGESTIVE_TRACT,ACH-000228,head and neck cancer,48,E2F_targets,196,-0.776207939398532
BT474_BREAST,ACH-000927,breast cancer,3,E2F_targets,196,-0.16654070542783153
BT474_BREAST,ACH-000927,breast cancer,6,E2F_targets,196,-0.18580987775812344
BT474_BREAST,ACH-000927,breast cancer,12,E2F_targets,196,0.09833198147160667
BT474_BREAST,ACH-000927,breast cancer,24,E2F_targets,196,-0.15785330260286526
BT474_BREAST,ACH-000927,breast cancer,48,E2F_targets,196,-0.596486151370467
BT549_BREAST,ACH-000288,breast cancer,3,E2F_targets,196,0.0030068201678139822
BT549_BREAST,ACH-000288,breast cancer,6,E2F_targets,196,-0.006219589284488133
BT549_BREAST,ACH-000288,breast cancer,12,E2F_targets,196,-0.1627757442849023
BT549_BREAST,ACH-000288,breast cancer,24,E2F_targets,196,-0.08757836858228761
BT549_BREAST,ACH-000288,breast cancer,48,E2F_targets,196,-0.12872492719669731
CAOV3_OVARY,ACH-000713,ovarian cancer,3,E2F_targets,196,0.009817335374501288
CAOV3_OVARY,ACH-000713,ovarian cancer,6,E2F_targets,196,0.09979552608363483
CAOV3_OVARY,ACH-000713,ovarian cancer,12,E2F_targets,196,0.017252076341181387
CAOV3_OVARY,ACH-000713,ovarian cancer,24,E2F_targets,196,-0.08315888564197385
CAOV3_OVARY,ACH-000713,ovarian cancer,48,E2F_targets,196,-0.015741991753480872
CCFSTTG1_CENTRAL_NERVOUS_SYSTEM,ACH-000329,brain cancer,3,E2F_targets,196,-0.016667262632019664
CCFSTTG1_CENTRAL_NERVOUS_SYSTEM,ACH-000329,brain cancer,6,E2F_targets,196,-0.02202540027851961
CCFSTTG1_CENTRAL_NERVOUS_SYSTEM,ACH-000329,brain cancer,12,E2F_targets,196,-0.19045535642273573
CCFSTTG1_CENTRAL_NERVOUS_SYSTEM,ACH-000329,brain cancer,24,E2F_targets,196,0.03387659788131714
CCFSTTG1_CENTRAL_NERVOUS_SYSTEM,ACH-000329,brain cancer,48,E2F_targets,196,-0.09574213213458353
COLO680N_OESOPHAGUS,ACH-000717,esophageal cancer,3,E2F_targets,196,0.12221051615719893
COLO680N_OESOPHAGUS,ACH-000717,esophageal cancer,6,E2F_targets,196,0.04616114542800553
COLO680N_OESOPHAGUS,ACH-000717,esophageal cancer,12,E2F_targets,196,-0.05332949848807588
COLO680N_OESOPHAGUS,ACH-000717,esophageal cancer,24,E2F_targets,196,-0.23613797067379466
COLO680N_OESOPHAGUS,ACH-000717,esophageal cancer,48,E2F_targets,196,-0.2700459523772707
DKMG_CENTRAL_NERVOUS_SYSTEM,ACH-000244,brain cancer,3,E2F_targets,196,0.20650312730244227
DKMG_CENTRAL_NERVOUS_SYSTEM,ACH-000244,brain cancer,6,E2F_targets,196,0.2225505776551305
DKMG_CENTRAL_NERVOUS_SYSTEM,ACH-000244,brain cancer,12,E2F_targets,196,-0.5234801690189206
DKMG_CENTRAL_NERVOUS_SYSTEM,ACH-000244,brain cancer,24,E2F_targets,196,-1.0744251158772682
DKMG_CENTRAL_NERVOUS_SYSTEM,ACH-000244,brain cancer,48,E2F_targets,196,-1.0728819862920411
IALM_LUNG,ACH-000672,lung cancer,3,E2F_targets,196,-0.17164846312026588
IALM_LUNG,ACH-000672,lung cancer,6,E2F_targets,196,-0.07529047922212251
IALM_LUNG,ACH-000672,lung cancer,12,E2F_targets,196,-0.09034733930412604
IALM_LUNG,ACH-000672,lung cancer,24,E2F_targets,196,-0.6117653463568006
IALM_LUNG,ACH-000672,lung cancer,48,E2F_targets,196,-0.7131447159514135
LNCAPCLONEFGC_PROSTATE,ACH-000977,prostate cancer,3,E2F_targets,196,-0.0016665610731864463
LNCAPCLONEFGC_PROSTATE,ACH-000977,prostate cancer,6,E2F_targets,196,0.21070981785959128
LNCAPCLONEFGC_PROSTATE,ACH-000977,prostate cancer,12,E2F_targets,196,0.10383539631658671
LNCAPCLONEFGC_PROSTATE,ACH-000977,prostate cancer,24,E2F_targets,196,0.05450203984367604
LNCAPCLONEFGC_PROSTATE,ACH-000977,prostate cancer,48,E2F_targets,196,0.07541894973540793
LS1034_LARGE_INTESTINE,ACH-000252,colon/colorectal cancer,3,E2F_targets,196,0.05615710543126476
LS1034_LARGE_INTESTINE,ACH-000252,colon/colorectal cancer,6,E2F_targets,196,-0.2541028717342688
LS1034_LARGE_INTESTINE,ACH-000252,colon/colorectal cancer,12,E2F_targets,196,-0.6814198919704982
LS1034_LARGE_INTESTINE,ACH-000252,colon/colorectal cancer,24,E2F_targets,196,-1.206723387448155
LS1034_LARGE_INTESTINE,ACH-000252,colon/colorectal cancer,48,E2F_targets,196,-1.135986651997177
NCIH226_LUNG,ACH-000367,lung cancer,3,E2F_targets,196,0.08224724217945216
NCIH226_LUNG,ACH-000367,lung cancer,6,E2F_targets,196,-0.03358951150154581
NCIH226_LUNG,ACH-000367,lung cancer,12,E2F_targets,196,0.014134954585104572
NCIH226_LUNG,ACH-000367,lung cancer,24,E2F_targets,196,-0.27406276975359234
NCIH226_LUNG,ACH-000367,lung cancer,48,E2F_targets,196,-0.19751868290560587
RCC10RGB_KIDNEY,ACH-000189,kidney cancer,3,E2F_targets,196,-0.09577744226066434
RCC10RGB_KIDNEY,ACH-000189,kidney cancer,6,E2F_targets,196,-0.21374594937173688
RCC10RGB_KIDNEY,ACH-000189,kidney cancer,12,E2F_targets,196,-0.07643788916115858
RCC10RGB_KIDNEY,ACH-000189,kidney cancer,24,E2F_targets,196,-0.7331031089534565
RCC10RGB_KIDNEY,ACH-000189,kidney cancer,48,E2F_targets,196,-0.5085977825279139
RCM1_LARGE_INTESTINE,ACH-000565,colon/colorectal cancer,3,E2F_targets,196,0.023825304392649203
RCM1_LARGE_INTESTINE,ACH-000565,colon/colorectal cancer,6,E2F_targets,196,-0.06287473014422826
RCM1_LARGE_INTESTINE,ACH-000565,colon/colorectal cancer,12,E2F_targets,196,-0.27655327441741007
RCM1_LARGE_INTESTINE,ACH-000565,colon/colorectal cancer,24,E2F_targets,196,-0.9628093251768424
RCM1_LARGE_INTESTINE,ACH-000565,colon/colorectal cancer,48,E2F_targets,196,-1.1717368709493656
RERFLCAD1_LUNG,ACH-000791,lung cancer,3,E2F_targets,196,0.14854725860819526
RERFLCAD1_LUNG,ACH-000791,lung cancer,6,E2F_targets,196,0.02472006149437963
RERFLCAD1_LUNG,ACH-000791,lung cancer,12,E2F_targets,196,-0.12465021379139958
RERFLCAD1_LUNG,ACH-000791,lung cancer,24,E2F_targets,196,-0.4727506956883839
RERFLCAD1_LUNG,ACH-000791,lung cancer,48,E2F_targets,196,-0.4942299395191426
SH10TC_STOMACH,ACH-000764,gastric cancer,3,E2F_targets,196,0.033846729263967396
SH10TC_STOMACH,ACH-000764,gastric cancer,6,E2F_targets,196,0.027147974286760603
SH10TC_STOMACH,ACH-000764,gastric cancer,12,E2F_targets,196,0.047729543581300854
