pathway,time_hours,mapped_genes,mean_delta_log1p_cpm,ci95_low,ci95_high,cross_line_sd
E2F_targets,3,196,0.03044181659209485,-0.010781470357728968,0.0691194946964052,0.09983259154850474
E2F_targets,6,196,-0.053779436859383425,-0.13836111416867442,0.013185140776494571,0.19634473639564554
E2F_targets,12,196,-0.12619204882788082,-0.2065447328061017,-0.05561024799220723,0.18513254059174739
E2F_targets,24,196,-0.46171975689413164,-0.6086883337337158,-0.31045813283663604,0.3774991037270937
E2F_targets,48,196,-0.5441363041940558,-0.7179596508379701,-0.3712766792943118,0.42339626209036724
G2M_checkpoint,3,190,0.004450802497886588,-0.02900430953958958,0.03803213721684857,0.08491073380640393
G2M_checkpoint,6,190,-0.05400674964109677,-0.1327407348849343,0.009797051595835838,0.18195856436852847
G2M_checkpoint,12,190,-0.08559080241470815,-0.14464582036966767,-0.032994825713889134,0.1371196507292131
G2M_checkpoint,24,190,-0.3926403681128219,-0.5150370231866123,-0.2699926594539621,0.3070995569961397
G2M_checkpoint,48,190,-0.46947042691793167,-0.6168360988858141,-0.3225265563302563,0.36440902507980416
MAPK_KRAS_signaling,3,386,-0.04451211845810212,-0.057303101508261824,-0.03260254151233022,0.03026724699288505
MAPK_KRAS_signaling,6,386,-0.032086882594616645,-0.05245924421467213,-0.013059246216936186,0.04662933805478722
MAPK_KRAS_signaling,12,386,-0.018617754636285896,-0.0381565510591442,0.0012311710985276518,0.047631607782624624
MAPK_KRAS_signaling,24,386,0.0003127018011688786,-0.02896271341954531,0.030458924447871072,0.07468873960541732
MAPK_KRAS_signaling,48,386,0.0010334510852776204,-0.029067461719772425,0.03159962685518159,0.07373615820278143
apoptosis,3,159,-0.04017075298171918,-0.06296807786587173,-0.01927267942021683,0.05206227511669444
apoptosis,6,159,-0.025706640264182314,-0.06990190740608707,0.009448610225307916,0.09286317971868363
apoptosis,12,159,0.015261691640860149,-0.0121894287985945,0.041815828698542945,0.06705339346893159
apoptosis,24,159,0.022693414434901367,-0.007371935424096178,0.054489864740816775,0.07711512280496247
apoptosis,48,159,0.0592316916375381,0.017630642830469282,0.10161289542630143,0.10118877567370776
epithelial_mesenchymal_transition,3,196,-0.047011343482363424,-0.065851172424528,-0.029424403249139253,0.04420303398010813
epithelial_mesenchymal_transition,6,196,-0.03775991709878693,-0.07394821077700989,-0.009045084619787506,0.07870084440667617
epithelial_mesenchymal_transition,12,196,-0.0043697692661205795,-0.030447455741990363,0.022500991437701644,0.06554761827855789
epithelial_mesenchymal_transition,24,196,0.045693337385143536,0.010081813330304203,0.0836367047585353,0.0915870224775889
epithelial_mesenchymal_transition,48,196,0.09501112721763648,0.040445197766546516,0.1487449413354652,0.12759922387775266
immediate_early_response,3,8,-1.4132248357954351,-1.618580361680043,-1.192976007157598,0.5044682113551563
immediate_early_response,6,8,-1.51409490135583,-1.730039588785307,-1.30907782797109,0.5203360954624684
immediate_early_response,12,8,-1.5974619986320084,-1.8176314801866695,-1.3398124434096232,0.5711837386417512
immediate_early_response,24,8,-1.5557637304406275,-1.814899715086953,-1.2276096581862392,0.7135711873525845
immediate_early_response,48,8,-1.6262247899377889,-1.8838442355733025,-1.378186925894327,0.6203853921517012
