cell_line,depmap_id,lineage,outer_fold
22RV1_PROSTATE,ACH-000956,prostate,1
42MGBA_CENTRAL_NERVOUS_SYSTEM,ACH-000323,central_nervous_system,2
769P_KIDNEY,ACH-000411,kidney,3
786O_KIDNEY,ACH-000649,kidney,2
8505C_THYROID,ACH-001307,thyroid,0
A2780_OVARY,ACH-000657,ovary,0
A375_SKIN,ACH-000219,skin,1
ACCMESO1_PLEURA,ACH-000086,mesothelioma,3
AGS_STOMACH,ACH-000880,gastric,0
BEN_LUNG,ACH-000603,lung,0
CAL120_BREAST,ACH-000212,breast,1
CAL62_THYROID,ACH-000174,thyroid,3
CAOV3_OVARY,ACH-000713,ovary,2
CJM_SKIN,ACH-000458,skin,3
COLO668_LUNG,ACH-000803,lung,1
COLO680N_OESOPHAGUS,ACH-000717,esophagus,2
COV434_OVARY,ACH-000123,ovary,1
DMS273_LUNG,ACH-000749,lung,0
EFM192A_BREAST,ACH-000117,breast,4
G401_SOFT_TISSUE,ACH-000096,rhabdoid,2
GCIY_STOMACH,ACH-000047,gastric,1
GP2D_LARGE_INTESTINE,ACH-000982,colorectal,1
HCC1143_BREAST,ACH-000374,breast,2
HCC1195_LUNG,ACH-000868,lung,0
HCC1419_BREAST,ACH-000277,breast,3
HEC1B_ENDOMETRIUM,ACH-000941,uterus,4
HEP3B217_LIVER,ACH-000625,liver,3
HS766T_PANCREAS,ACH-000178,pancreas,2
HS852T_SKIN,ACH-000274,skin,4
HUCCT1_BILIARY_TRACT,ACH-000976,bile_duct,3
IGR1_SKIN,ACH-000882,skin,2
IGROV1_OVARY,ACH-000966,ovary,4
ISTMES1_PLEURA,ACH-000569,mesothelioma,0
J82_URINARY_TRACT,ACH-000396,urinary_tract,0
JHH5_LIVER,ACH-000734,liver,4
KNS42_CENTRAL_NERVOUS_SYSTEM,ACH-000622,central_nervous_system,3
KNS60_CENTRAL_NERVOUS_SYSTEM,ACH-000445,central_nervous_system,4
KNS81_CENTRAL_NERVOUS_SYSTEM,ACH-000479,central_nervous_system,0
KYSE270_OESOPHAGUS,ACH-000873,esophagus,3
LI7_LIVER,ACH-000471,liver,1
LK2_LUNG,ACH-000769,lung,3
LMSU_STOMACH,ACH-000255,gastric,3
LN229_CENTRAL_NERVOUS_SYSTEM,ACH-000595,central_nervous_system,1
LNCAPCLONEFGC_PROSTATE,ACH-000977,prostate,4
LOVO_LARGE_INTESTINE,ACH-000950,colorectal,0
LUDLU1_LUNG,ACH-000390,lung,2
MALME3M_SKIN,ACH-000477,skin,0
MDAMB435S_SKIN,ACH-000884,skin,1
MDAMB468_BREAST,ACH-000849,breast,0
MIAPACA2_PANCREAS,ACH-000601,pancreas,0
MSTO211H_PLEURA,ACH-000335,mesothelioma,2
NCIH1048_LUNG,ACH-000866,lung,4
NCIH1299_LUNG,ACH-000510,lung,3
NCIH1355_LUNG,ACH-000666,lung,1
NCIH1573_LUNG,ACH-000916,lung,4
NCIH1581_LUNG,ACH-000015,lung,2
NCIH1650_LUNG,ACH-000035,lung,4
NCIH1693_LUNG,ACH-000021,lung,3
NCIH1793_LUNG,ACH-000888,lung,2
NCIH1915_LUNG,ACH-000434,lung,2
NCIH2126_LUNG,ACH-000785,lung,1
NCIH2347_LUNG,ACH-000875,lung,0
NCIH23_LUNG,ACH-000900,lung,0
NCIH2444_LUNG,ACH-000186,lung,2
NCIH322_LUNG,ACH-000837,lung,4
NCIH522_LUNG,ACH-000343,lung,1
NCIH838_LUNG,ACH-000416,lung,4
NCIH841_LUNG,ACH-000292,lung,1
NUGC3_STOMACH,ACH-000911,gastric,4
OAW42_OVARY,ACH-000704,ovary,3
OSRC2_KIDNEY,ACH-000159,kidney,4
PANC0403_PANCREAS,ACH-000235,pancreas,1
PATU8988S_PANCREAS,ACH-000022,pancreas,3
PC3_PROSTATE,ACH-000090,prostate,2
QGP1_PANCREAS,ACH-000347,pancreas,4
RCC10RGB_KIDNEY,ACH-000189,kidney,0
RH30_SOFT_TISSUE,ACH-000833,rhabdomyosarcoma,4
SKMEL24_SKIN,ACH-000822,skin,3
SKUT1_SOFT_TISSUE,ACH-000939,soft_tissue,1
SNB75_CENTRAL_NERVOUS_SYSTEM,ACH-000504,central_nervous_system,4
SNU1041_UPPER_AERODIGESTIVE_TRACT,ACH-000618,upper_aerodigestive,2
SNU1105_CENTRAL_NERVOUS_SYSTEM,ACH-000368,central_nervous_system,2
SNU1214_UPPER_AERODIGESTIVE_TRACT,ACH-000715,upper_aerodigestive,1
SNU245_BILIARY_TRACT,ACH-000268,bile_duct,4
SNU685_ENDOMETRIUM,ACH-000407,uterus,0
SW480_LARGE_INTESTINE,ACH-000842,colorectal,3
SW48_LARGE_INTESTINE,ACH-000958,colorectal,2
SW579_THYROID,ACH-000163,thyroid,2
SW900_LUNG,ACH-000669,lung,3
TE11_OESOPHAGUS,ACH-000488,esophagus,4
TE6_OESOPHAGUS,ACH-000605,esophagus,0
TEN_ENDOMETRIUM,ACH-000397,uterus,1
TUHR4TKB_KIDNEY,ACH-000495,kidney,1
UACC257_SKIN,ACH-000579,skin,0
